RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,145,61
CO1 Control 5-4 34,105,37
CO1 Control 5-4 41,203,43
nCO1 Lithium 5-4 32,63,10
AO1 Control 5-4 25,100,18
nCO1 Lithium 5-4 46,209,97
CO1 Control 5-4 14,160,73
nCO1 Control 5-4 8,153,77
AO1 Lithium 5-4 40,66,9
nCO1 Lithium 5-4 19,202,50
ACO1 Lithium 5-4 14,54,0
ACO1 Control 5-4 33,273,0
AO1 Control 5-4 7,126,15
AO1 Lithium 5-4 14,74,4
ACO1 Lithium 5-4 9,155,31
ACO1 Control 5-4 36,211,36
ACO1 Control 5-4 40,71,0
CO1 Control 5-4 45,135,81
CO1 Lithium 5-4 50,188,54
AO1 Control 5-4 27,111,3
ACO1 Lithium 5-4 6,82,26
AO1 Control 5-4 42,110,22
ACO1 Control 5-4 17,96,5
CO1 Lithium 5-4 13,137,62
AO1 Lithium 5-4 46,26,0
AO1 Control 5-4 33,132,36
CO1 Lithium 5-4 35,154,86
nCO1 Lithium 5-4 50,241,94
CO1 Lithium 5-4 43,161,52
CO1 Control 5-4 3,141,51
ACO1 Lithium 5-4 26,119,4
CO1 Control 5-4 5,43,0
AO1 Control 5-4 41,183,28
CO1 Control 5-4 21,187,69
nCO1 Control 5-4 30,168,55
AO1 Lithium 5-4 37,155,42
nCO1 Control 5-4 14,103,48
CO1 Lithium 5-4 23,163,92
ACO1 Lithium 5-4 40,73,9
nCO1 Lithium 5-4 41,200,76
ACO1 Control 5-4 21,146,58
CO1 Lithium 5-4 20,144,61
AO1 Control 5-4 19,70,0
ACO1 Lithium 5-4 23,71,10
ACO1 Control 5-4 39,107,5
AO1 Lithium 5-4 39,71,0
ACO1 Lithium 5-4 20,92,19
CO1 Lithium 5-4 42,159,0
CO1 Lithium 5-4 32,201,82
nCO1 Control 5-4 44,252,113
nCO1 Control 5-4 45,146,29
AO1 Lithium 5-4 34,56,0
AO1 Control 5-4 9,115,37
AO1 Control 5-4 36,141,6
AO1 Lithium 5-4 12,49,28
nCO1 Lithium 5-4 11,225,92
CO1 Lithium 5-4 38,158,59
nCO1 Lithium 5-4 9,236,80
nCO1 Lithium 5-4 15,190,89
AO1 Lithium 5-4 33,109,49
nCO1 Lithium 5-4 49,154,14
AO1 Control 5-4 6,143,67
CO1 Control 5-4 12,209,69
CO1 Control 5-4 15,153,82
nCO1 Lithium 5-4 6,189,90
ACO1 Control 5-4 25,78,24
ACO1 Lithium 5-4 3,67,38
CO1 Control 5-4 29,144,82
