RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,41,61
CO1 Control 5-4 34,18,37
CO1 Control 5-4 41,40,43
nCO1 Lithium 5-4 32,0,10
AO1 Control 5-4 25,14,18
nCO1 Lithium 5-4 46,78,97
CO1 Control 5-4 14,44,73
nCO1 Control 5-4 8,55,77
AO1 Lithium 5-4 40,0,9
nCO1 Lithium 5-4 19,58,50
ACO1 Lithium 5-4 14,2,0
ACO1 Control 5-4 33,0,0
AO1 Control 5-4 7,16,15
AO1 Lithium 5-4 14,14,4
ACO1 Lithium 5-4 9,15,31
ACO1 Control 5-4 36,63,36
ACO1 Control 5-4 40,0,0
CO1 Control 5-4 45,70,81
CO1 Lithium 5-4 50,43,54
AO1 Control 5-4 27,6,3
ACO1 Lithium 5-4 6,24,26
AO1 Control 5-4 42,13,22
ACO1 Control 5-4 17,5,5
CO1 Lithium 5-4 13,48,62
AO1 Lithium 5-4 46,15,0
AO1 Control 5-4 33,37,36
CO1 Lithium 5-4 35,47,86
nCO1 Lithium 5-4 50,83,94
CO1 Lithium 5-4 43,34,52
CO1 Control 5-4 3,13,51
ACO1 Lithium 5-4 26,5,4
CO1 Control 5-4 5,0,0
AO1 Control 5-4 41,9,28
CO1 Control 5-4 21,67,69
nCO1 Control 5-4 30,52,55
AO1 Lithium 5-4 37,44,42
nCO1 Control 5-4 14,30,48
CO1 Lithium 5-4 23,66,92
ACO1 Lithium 5-4 40,1,9
nCO1 Lithium 5-4 41,79,76
ACO1 Control 5-4 21,58,58
CO1 Lithium 5-4 20,38,61
AO1 Control 5-4 19,28,0
ACO1 Lithium 5-4 23,10,10
ACO1 Control 5-4 39,9,5
AO1 Lithium 5-4 39,0,0
ACO1 Lithium 5-4 20,7,19
CO1 Lithium 5-4 42,9,0
CO1 Lithium 5-4 32,62,82
nCO1 Control 5-4 44,119,113
nCO1 Control 5-4 45,31,29
AO1 Lithium 5-4 34,0,0
AO1 Control 5-4 9,24,37
AO1 Control 5-4 36,27,6
AO1 Lithium 5-4 12,5,28
nCO1 Lithium 5-4 11,77,92
CO1 Lithium 5-4 38,53,59
nCO1 Lithium 5-4 9,109,80
nCO1 Lithium 5-4 15,63,89
AO1 Lithium 5-4 33,31,49
nCO1 Lithium 5-4 49,5,14
AO1 Control 5-4 6,45,67
CO1 Control 5-4 12,58,69
CO1 Control 5-4 15,66,82
nCO1 Lithium 5-4 6,67,90
ACO1 Control 5-4 25,20,24
ACO1 Lithium 5-4 3,13,38
CO1 Control 5-4 29,40,82
AO1 Control 5-4 26,7,5
nCO1 Lithium 5-4 23,124,112
ACO1 Control 5-4 47,14,22
AO1 Lithium 5-4 15,5,10
CO1 Control 5-4 49,13,47
ACO1 Control 5-4 42,12,25
CO1 Lithium 5-4 46,14,52
ACO1 Control 5-4 26,16,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,77,78
