RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,46,61
CO1 Control 5-4 34,8,37
CO1 Control 5-4 41,54,43
nCO1 Lithium 5-4 32,0,10
AO1 Control 5-4 25,13,18
nCO1 Lithium 5-4 46,84,97
CO1 Control 5-4 14,54,73
nCO1 Control 5-4 8,74,77
AO1 Lithium 5-4 40,0,9
nCO1 Lithium 5-4 19,76,50
ACO1 Lithium 5-4 14,2,0
ACO1 Control 5-4 33,0,0
AO1 Control 5-4 7,24,15
AO1 Lithium 5-4 14,4,4
ACO1 Lithium 5-4 9,27,31
ACO1 Control 5-4 36,51,36
ACO1 Control 5-4 40,0,0
CO1 Control 5-4 45,88,81
CO1 Lithium 5-4 50,64,54
AO1 Control 5-4 27,6,3
ACO1 Lithium 5-4 6,24,26
AO1 Control 5-4 42,26,22
ACO1 Control 5-4 17,7,5
CO1 Lithium 5-4 13,60,62
AO1 Lithium 5-4 46,0,0
AO1 Control 5-4 33,53,36
CO1 Lithium 5-4 35,60,86
nCO1 Lithium 5-4 50,104,94
CO1 Lithium 5-4 43,42,52
CO1 Control 5-4 3,32,51
ACO1 Lithium 5-4 26,8,4
CO1 Control 5-4 5,0,0
AO1 Control 5-4 41,16,28
CO1 Control 5-4 21,81,69
nCO1 Control 5-4 30,61,55
AO1 Lithium 5-4 37,55,42
nCO1 Control 5-4 14,43,48
CO1 Lithium 5-4 23,84,92
ACO1 Lithium 5-4 40,3,9
nCO1 Lithium 5-4 41,100,76
ACO1 Control 5-4 21,60,58
CO1 Lithium 5-4 20,52,61
AO1 Control 5-4 19,12,0
ACO1 Lithium 5-4 23,10,10
ACO1 Control 5-4 39,7,5
AO1 Lithium 5-4 39,0,0
ACO1 Lithium 5-4 20,14,19
CO1 Lithium 5-4 42,14,0
CO1 Lithium 5-4 32,70,82
nCO1 Control 5-4 44,131,113
nCO1 Control 5-4 45,34,29
AO1 Lithium 5-4 34,0,0
AO1 Control 5-4 9,27,37
AO1 Control 5-4 36,19,6
AO1 Lithium 5-4 12,18,28
nCO1 Lithium 5-4 11,106,92
CO1 Lithium 5-4 38,56,59
nCO1 Lithium 5-4 9,111,80
nCO1 Lithium 5-4 15,77,89
AO1 Lithium 5-4 33,36,49
nCO1 Lithium 5-4 49,47,14
AO1 Control 5-4 6,58,67
CO1 Control 5-4 12,65,69
CO1 Control 5-4 15,91,82
nCO1 Lithium 5-4 6,69,90
ACO1 Control 5-4 25,30,24
ACO1 Lithium 5-4 3,24,38
CO1 Control 5-4 29,68,82
AO1 Control 5-4 26,6,5
nCO1 Lithium 5-4 23,122,112
ACO1 Control 5-4 47,35,22
AO1 Lithium 5-4 15,9,10
CO1 Control 5-4 49,51,47
ACO1 Control 5-4 42,17,25
CO1 Lithium 5-4 46,28,52
ACO1 Control 5-4 26,36,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,92,78
ACO1 Lithium 5-4 42,38,37
nCO1 Lithium 5-4 13,49,90
nCO1 Control 5-4 48,0,0
AO1 Control 5-4 39,26,35
ACO1 Control 5-4 41,1,18
CO1 Lithium 5-4 28,73,76
nCO1 Control 5-4 16,0,0
ACO1 Lithium 5-4 1,20,13
ACO1 Lithium 5-4 38,6,0
nCO1 Lithium 5-4 7,87,88
CO1 Control 5-4 28,39,50
AO1 Lithium 5-4 30,32,41
ACO1 Control 5-4 22,34,29
nCO1 Lithium 5-4 16,109,117
ACO1 Control 5-4 18,19,22
CO1 Control 5-4 37,50,52
AO1 Control 5-4 47,31,33
AO1 Lithium 5-4 6,0,0
AO1 Control 5-4 44,24,30
nCO1 Control 5-4 36,21,1
AO1 Control 5-4 17,3,0
CO1 Lithium 5-4 14,120,0
nCO1 Lithium 5-4 17,85,83
nCO1 Control 5-4 38,82,91
AO1 Control 5-4 49,13,23
CO1 Lithium 5-4 8,39,36
CO1 Control 5-4 2,43,23
CO1 Lithium 5-4 34,16,25
