RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,176,61
CO1 Control 5-4 34,156,37
CO1 Control 5-4 41,218,43
nCO1 Lithium 5-4 32,90,10
AO1 Control 5-4 25,169,18
nCO1 Lithium 5-4 46,223,97
CO1 Control 5-4 14,157,73
nCO1 Control 5-4 8,217,77
AO1 Lithium 5-4 40,83,9
nCO1 Lithium 5-4 19,244,50
ACO1 Lithium 5-4 14,64,0
ACO1 Control 5-4 33,30,0
AO1 Control 5-4 7,162,15
AO1 Lithium 5-4 14,126,4
ACO1 Lithium 5-4 9,159,31
ACO1 Control 5-4 36,220,36
ACO1 Control 5-4 40,83,0
CO1 Control 5-4 45,232,81
CO1 Lithium 5-4 50,230,54
AO1 Control 5-4 27,172,3
ACO1 Lithium 5-4 6,120,26
AO1 Control 5-4 42,140,22
ACO1 Control 5-4 17,157,5
CO1 Lithium 5-4 13,158,62
AO1 Lithium 5-4 46,31,0
AO1 Control 5-4 33,177,36
CO1 Lithium 5-4 35,206,86
nCO1 Lithium 5-4 50,291,94
CO1 Lithium 5-4 43,171,52
CO1 Control 5-4 3,218,51
ACO1 Lithium 5-4 26,161,4
CO1 Control 5-4 5,48,0
AO1 Control 5-4 41,209,28
CO1 Control 5-4 21,201,69
nCO1 Control 5-4 30,214,55
AO1 Lithium 5-4 37,152,42
nCO1 Control 5-4 14,144,48
CO1 Lithium 5-4 23,211,92
ACO1 Lithium 5-4 40,65,9
nCO1 Lithium 5-4 41,214,76
ACO1 Control 5-4 21,184,58
CO1 Lithium 5-4 20,212,61
AO1 Control 5-4 19,36,0
ACO1 Lithium 5-4 23,83,10
ACO1 Control 5-4 39,118,5
AO1 Lithium 5-4 39,74,0
ACO1 Lithium 5-4 20,136,19
CO1 Lithium 5-4 42,189,0
CO1 Lithium 5-4 32,246,82
nCO1 Control 5-4 44,291,113
nCO1 Control 5-4 45,202,29
AO1 Lithium 5-4 34,80,0
AO1 Control 5-4 9,122,37
AO1 Control 5-4 36,153,6
AO1 Lithium 5-4 12,43,28
nCO1 Lithium 5-4 11,252,92
CO1 Lithium 5-4 38,188,59
nCO1 Lithium 5-4 9,262,80
nCO1 Lithium 5-4 15,213,89
AO1 Lithium 5-4 33,156,49
nCO1 Lithium 5-4 49,235,14
AO1 Control 5-4 6,200,67
CO1 Control 5-4 12,264,69
CO1 Control 5-4 15,180,82
nCO1 Lithium 5-4 6,235,90
ACO1 Control 5-4 25,104,24
ACO1 Lithium 5-4 3,112,38
CO1 Control 5-4 29,192,82
AO1 Control 5-4 26,155,5
nCO1 Lithium 5-4 23,252,112
ACO1 Control 5-4 47,151,22
AO1 Lithium 5-4 15,64,10
CO1 Control 5-4 49,157,47
ACO1 Control 5-4 42,145,25
CO1 Lithium 5-4 46,215,52
ACO1 Control 5-4 26,202,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,268,78
ACO1 Lithium 5-4 42,174,37
nCO1 Lithium 5-4 13,200,90
nCO1 Control 5-4 48,104,0
AO1 Control 5-4 39,158,35
ACO1 Control 5-4 41,122,18
CO1 Lithium 5-4 28,274,76
nCO1 Control 5-4 16,13,0
ACO1 Lithium 5-4 1,141,13
ACO1 Lithium 5-4 38,123,0
nCO1 Lithium 5-4 7,229,88
CO1 Control 5-4 28,220,50
AO1 Lithium 5-4 30,123,41
ACO1 Control 5-4 22,197,29
nCO1 Lithium 5-4 16,234,117
ACO1 Control 5-4 18,153,22
CO1 Control 5-4 37,207,52
AO1 Control 5-4 47,139,33
AO1 Lithium 5-4 6,0,0
AO1 Control 5-4 44,172,30
nCO1 Control 5-4 36,237,1
AO1 Control 5-4 17,262,0
CO1 Lithium 5-4 14,149,0
nCO1 Lithium 5-4 17,259,83
nCO1 Control 5-4 38,200,91
AO1 Control 5-4 49,101,23
CO1 Lithium 5-4 8,156,36
CO1 Control 5-4 2,199,23
CO1 Lithium 5-4 34,219,25
AO1 Control 5-4 4,195,36
AO1 Lithium 5-4 41,85,4
ACO1 Lithium 5-4 48,140,36
nCO1 Control 5-4 22,227,75
AO1 Lithium 5-4 28,57,0
ACO1 Control 5-4 34,159,36
AO1 Lithium 5-4 4,85,0
AO1 Lithium 5-4 16,115,22
AO1 Control 5-4 31,164,35
nCO1 Control 5-4 34,209,68
AO1 Control 5-4 37,118,9
ACO1 Lithium 5-4 36,120,26
nCO1 Control 5-4 50,199,45
CO1 Control 5-4 1,128,0
AO1 Control 5-4 32,118,11
AO1 Control 5-4 5,165,9
AO1 Lithium 5-4 31,144,19
nCO1 Control 5-4 11,239,114
nCO1 Lithium 5-4 30,77,5
AO1 Lithium 5-4 11,275,13
nCO1 Lithium 5-4 28,240,84
CO1 Lithium 5-4 2,237,86
CO1 Lithium 5-4 6,207,0
nCO1 Lithium 5-4 29,246,92
CO1 Lithium 5-4 11,204,79
ACO1 Lithium 5-4 27,216,49
CO1 Control 5-4 24,178,0
CO1 Lithium 5-4 12,230,103
CO1 Lithium 5-4 5,187,92
ACO1 Lithium 5-4 2,122,1
ACO1 Lithium 5-4 19,150,35
CO1 Lithium 5-4 7,173,59
ACO1 Lithium 5-4 4,71,2
ACO1 Control 5-4 28,148,0
CO1 Control 5-4 26,214,105
CO1 Control 5-4 18,374,0
AO1 Lithium 5-4 8,150,9
CO1 Lithium 5-4 4,145,0
ACO1 Control 5-4 45,55,0
CO1 Lithium 5-4 26,248,87
CO1 Control 5-4 6,233,44
ACO1 Control 5-4 27,143,9
CO1 Control 5-4 31,247,81
ACO1 Control 5-4 50,140,3
AO1 Control 5-4 14,128,18
CO1 Lithium 5-4 40,224,88
nCO1 Control 5-4 39,185,49
ACO1 Lithium 5-4 43,123,0
nCO1 Lithium 5-4 48,188,64
AO1 Lithium 5-4 42,191,49
ACO1 Control 5-4 32,158,35
nCO1 Lithium 5-4 2,289,118
nCO1 Control 5-4 29,191,63
AO1 Control 5-4 29,115,49
nCO1 Lithium 5-4 24,221,53
nCO1 Control 5-4 33,254,94
nCO1 Control 5-4 4,34,0
AO1 Lithium 5-4 21,119,14
CO1 Control 5-4 33,170,66
nCO1 Lithium 5-4 34,59,0
CO1 Control 5-4 8,170,60
AO1 Control 5-4 43,162,28
nCO1 Control 5-4 10,208,87
AO1 Lithium 5-4 35,126,2
CO1 Lithium 5-4 18,170,34
nCO1 Control 5-4 46,237,62
CO1 Control 5-4 50,210,46
AO1 Lithium 5-4 45,247,38
ACO1 Lithium 5-4 34,217,0
nCO1 Control 5-4 2,204,87
ACO1 Lithium 5-4 11,183,45
nCO1 Lithium 5-4 22,29,0
AO1 Lithium 5-4 7,147,49
AO1 Control 5-4 11,160,45
ACO1 Lithium 5-4 16,36,16
ACO1 Lithium 5-4 17,119,34
nCO1 Control 5-4 9,10,0
nCO1 Control 5-4 18,268,105
