RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,88,61
CO1 Control 5-4 34,27,37
CO1 Control 5-4 41,175,43
nCO1 Lithium 5-4 32,8,10
AO1 Control 5-4 25,66,18
nCO1 Lithium 5-4 46,155,97
CO1 Control 5-4 14,116,73
nCO1 Control 5-4 8,113,77
AO1 Lithium 5-4 40,8,9
nCO1 Lithium 5-4 19,113,50
ACO1 Lithium 5-4 14,0,0
ACO1 Control 5-4 33,24,0
AO1 Control 5-4 7,43,15
AO1 Lithium 5-4 14,9,4
ACO1 Lithium 5-4 9,81,31
ACO1 Control 5-4 36,126,36
ACO1 Control 5-4 40,5,0
CO1 Control 5-4 45,117,81
CO1 Lithium 5-4 50,125,54
AO1 Control 5-4 27,33,3
ACO1 Lithium 5-4 6,13,26
AO1 Control 5-4 42,60,22
ACO1 Control 5-4 17,36,5
CO1 Lithium 5-4 13,94,62
AO1 Lithium 5-4 46,26,0
AO1 Control 5-4 33,61,36
CO1 Lithium 5-4 35,132,86
nCO1 Lithium 5-4 50,188,94
CO1 Lithium 5-4 43,94,52
CO1 Control 5-4 3,84,51
ACO1 Lithium 5-4 26,51,4
CO1 Control 5-4 5,60,0
AO1 Control 5-4 41,130,28
CO1 Control 5-4 21,141,69
nCO1 Control 5-4 30,139,55
AO1 Lithium 5-4 37,90,42
nCO1 Control 5-4 14,65,48
CO1 Lithium 5-4 23,126,92
ACO1 Lithium 5-4 40,7,9
nCO1 Lithium 5-4 41,174,76
ACO1 Control 5-4 21,93,58
CO1 Lithium 5-4 20,109,61
AO1 Control 5-4 19,24,0
ACO1 Lithium 5-4 23,4,10
ACO1 Control 5-4 39,20,5
AO1 Lithium 5-4 39,5,0
ACO1 Lithium 5-4 20,13,19
CO1 Lithium 5-4 42,110,0
CO1 Lithium 5-4 32,182,82
nCO1 Control 5-4 44,198,113
nCO1 Control 5-4 45,103,29
AO1 Lithium 5-4 34,4,0
AO1 Control 5-4 9,48,37
AO1 Control 5-4 36,71,6
AO1 Lithium 5-4 12,7,28
nCO1 Lithium 5-4 11,177,92
CO1 Lithium 5-4 38,105,59
nCO1 Lithium 5-4 9,194,80
nCO1 Lithium 5-4 15,130,89
AO1 Lithium 5-4 33,31,49
nCO1 Lithium 5-4 49,95,14
AO1 Control 5-4 6,83,67
CO1 Control 5-4 12,145,69
CO1 Control 5-4 15,120,82
nCO1 Lithium 5-4 6,165,90
ACO1 Control 5-4 25,26,24
ACO1 Lithium 5-4 3,36,38
CO1 Control 5-4 29,112,82
AO1 Control 5-4 26,19,5
nCO1 Lithium 5-4 23,183,112
ACO1 Control 5-4 47,39,22
AO1 Lithium 5-4 15,10,10
CO1 Control 5-4 49,50,47
ACO1 Control 5-4 42,69,25
CO1 Lithium 5-4 46,114,52
ACO1 Control 5-4 26,92,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,152,78
ACO1 Lithium 5-4 42,72,37
nCO1 Lithium 5-4 13,97,90
nCO1 Control 5-4 48,16,0
AO1 Control 5-4 39,38,35
ACO1 Control 5-4 41,32,18
CO1 Lithium 5-4 28,158,76
nCO1 Control 5-4 16,95,0
ACO1 Lithium 5-4 1,47,13
ACO1 Lithium 5-4 38,12,0
nCO1 Lithium 5-4 7,144,88
CO1 Control 5-4 28,81,50
AO1 Lithium 5-4 30,47,41
ACO1 Control 5-4 22,97,29
nCO1 Lithium 5-4 16,192,117
ACO1 Control 5-4 18,49,22
CO1 Control 5-4 37,135,52
AO1 Control 5-4 47,28,33
AO1 Lithium 5-4 6,9,0
AO1 Control 5-4 44,61,30
nCO1 Control 5-4 36,115,1
AO1 Control 5-4 17,104,0
CO1 Lithium 5-4 14,121,0
nCO1 Lithium 5-4 17,131,83
nCO1 Control 5-4 38,118,91
AO1 Control 5-4 49,30,23
CO1 Lithium 5-4 8,75,36
CO1 Control 5-4 2,115,23
CO1 Lithium 5-4 34,118,25
AO1 Control 5-4 4,87,36
AO1 Lithium 5-4 41,5,4
ACO1 Lithium 5-4 48,30,36
nCO1 Control 5-4 22,158,75
AO1 Lithium 5-4 28,73,0
ACO1 Control 5-4 34,43,36
AO1 Lithium 5-4 4,88,0
AO1 Lithium 5-4 16,34,22
AO1 Control 5-4 31,64,35
nCO1 Control 5-4 34,119,68
AO1 Control 5-4 37,8,9
ACO1 Lithium 5-4 36,63,26
nCO1 Control 5-4 50,122,45
CO1 Control 5-4 1,164,0
AO1 Control 5-4 32,9,11
AO1 Control 5-4 5,41,9
AO1 Lithium 5-4 31,29,19
nCO1 Control 5-4 11,211,114
nCO1 Lithium 5-4 30,25,5
AO1 Lithium 5-4 11,159,13
nCO1 Lithium 5-4 28,165,84
