RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,73,61
CO1 Control 5-4 34,24,37
CO1 Control 5-4 41,83,43
nCO1 Lithium 5-4 32,2,10
AO1 Control 5-4 25,55,18
nCO1 Lithium 5-4 46,112,97
CO1 Control 5-4 14,79,73
nCO1 Control 5-4 8,71,77
AO1 Lithium 5-4 40,0,9
nCO1 Lithium 5-4 19,92,50
ACO1 Lithium 5-4 14,4,0
ACO1 Control 5-4 33,15,0
AO1 Control 5-4 7,32,15
AO1 Lithium 5-4 14,9,4
ACO1 Lithium 5-4 9,42,31
ACO1 Control 5-4 36,83,36
ACO1 Control 5-4 40,1,0
CO1 Control 5-4 45,88,81
CO1 Lithium 5-4 50,75,54
AO1 Control 5-4 27,12,3
ACO1 Lithium 5-4 6,39,26
AO1 Control 5-4 42,31,22
ACO1 Control 5-4 17,15,5
CO1 Lithium 5-4 13,69,62
AO1 Lithium 5-4 46,15,0
AO1 Control 5-4 33,60,36
CO1 Lithium 5-4 35,77,86
nCO1 Lithium 5-4 50,152,94
CO1 Lithium 5-4 43,51,52
CO1 Control 5-4 3,84,51
ACO1 Lithium 5-4 26,31,4
CO1 Control 5-4 5,0,0
AO1 Control 5-4 41,57,28
CO1 Control 5-4 21,120,69
nCO1 Control 5-4 30,147,55
AO1 Lithium 5-4 37,67,42
nCO1 Control 5-4 14,64,48
CO1 Lithium 5-4 23,97,92
ACO1 Lithium 5-4 40,7,9
nCO1 Lithium 5-4 41,127,76
ACO1 Control 5-4 21,83,58
CO1 Lithium 5-4 20,77,61
AO1 Control 5-4 19,24,0
ACO1 Lithium 5-4 23,14,10
ACO1 Control 5-4 39,37,5
AO1 Lithium 5-4 39,6,0
ACO1 Lithium 5-4 20,28,19
CO1 Lithium 5-4 42,20,0
CO1 Lithium 5-4 32,85,82
nCO1 Control 5-4 44,175,113
nCO1 Control 5-4 45,69,29
AO1 Lithium 5-4 34,6,0
AO1 Control 5-4 9,39,37
AO1 Control 5-4 36,28,6
AO1 Lithium 5-4 12,19,28
nCO1 Lithium 5-4 11,99,92
CO1 Lithium 5-4 38,57,59
nCO1 Lithium 5-4 9,135,80
nCO1 Lithium 5-4 15,100,89
AO1 Lithium 5-4 33,54,49
nCO1 Lithium 5-4 49,63,14
AO1 Control 5-4 6,91,67
CO1 Control 5-4 12,100,69
CO1 Control 5-4 15,97,82
nCO1 Lithium 5-4 6,89,90
ACO1 Control 5-4 25,33,24
ACO1 Lithium 5-4 3,26,38
CO1 Control 5-4 29,72,82
AO1 Control 5-4 26,17,5
nCO1 Lithium 5-4 23,149,112
ACO1 Control 5-4 47,75,22
AO1 Lithium 5-4 15,11,10
CO1 Control 5-4 49,75,47
ACO1 Control 5-4 42,26,25
CO1 Lithium 5-4 46,45,52
ACO1 Control 5-4 26,78,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,118,78
ACO1 Lithium 5-4 42,58,37
nCO1 Lithium 5-4 13,77,90
nCO1 Control 5-4 48,10,0
AO1 Control 5-4 39,53,35
ACO1 Control 5-4 41,5,18
CO1 Lithium 5-4 28,101,76
nCO1 Control 5-4 16,25,0
ACO1 Lithium 5-4 1,33,13
ACO1 Lithium 5-4 38,13,0
nCO1 Lithium 5-4 7,105,88
CO1 Control 5-4 28,53,50
AO1 Lithium 5-4 30,49,41
ACO1 Control 5-4 22,55,29
nCO1 Lithium 5-4 16,129,117
ACO1 Control 5-4 18,30,22
CO1 Control 5-4 37,118,52
AO1 Control 5-4 47,51,33
AO1 Lithium 5-4 6,24,0
AO1 Control 5-4 44,75,30
nCO1 Control 5-4 36,32,1
AO1 Control 5-4 17,40,0
CO1 Lithium 5-4 14,149,0
nCO1 Lithium 5-4 17,100,83
