RootImage,BotSum,HumanSum
CO1 Control 5-4 50,98,46
AO1 Lithium 5-4 45,154,38
ACO1 Lithium 5-4 34,72,0
nCO1 Control 5-4 2,124,87
ACO1 Lithium 5-4 11,112,45
nCO1 Lithium 5-4 22,28,0
AO1 Lithium 5-4 7,82,49
AO1 Control 5-4 11,96,45
ACO1 Lithium 5-4 16,50,16
ACO1 Lithium 5-4 17,61,34
nCO1 Control 5-4 9,15,0
nCO1 Control 5-4 18,139,105
ACO1 Control 5-4 46,135,46
CO1 Lithium 5-4 30,122,89
ACO1 Lithium 5-4 31,45,11
ACO1 Control 5-4 24,56,16
CO1 Lithium 5-4 9,98,62
CO1 Lithium 5-4 25,124,90
AO1 Control 5-4 16,108,37
CO1 Lithium 5-4 3,112,89
ACO1 Lithium 5-4 30,30,0
ACO1 Lithium 5-4 39,50,10
ACO1 Lithium 5-4 49,71,0
ACO1 Control 5-4 31,152,92
CO1 Lithium 5-4 17,218,82
ACO1 Lithium 5-4 22,68,24
ACO1 Control 5-4 49,105,9
ACO1 Control 5-4 8,8,0
nCO1 Lithium 5-4 43,16,10
nCO1 Control 5-4 41,249,111
AO1 Lithium 5-4 49,65,8
AO1 Control 5-4 50,67,23
AO1 Lithium 5-4 5,18,2
nCO1 Control 5-4 20,198,85
nCO1 Control 5-4 5,99,80
ACO1 Control 5-4 12,55,5
nCO1 Lithium 5-4 47,123,61
AO1 Control 5-4 10,55,0
ACO1 Lithium 5-4 50,34,4
CO1 Control 5-4 36,176,76
ACO1 Control 5-4 3,51,10
nCO1 Lithium 5-4 39,121,63
ACO1 Lithium 5-4 47,92,0
nCO1 Control 5-4 26,135,0
CO1 Lithium 5-4 21,169,67
AO1 Control 5-4 45,48,29
nCO1 Control 5-4 23,146,100
CO1 Control 5-4 32,110,51
ACO1 Control 5-4 10,88,17
nCO1 Control 5-4 6,150,74
nCO1 Control 5-4 31,178,71
nCO1 Lithium 5-4 36,215,121
ACO1 Control 5-4 9,45,14
CO1 Lithium 5-4 15,142,125
AO1 Lithium 5-4 20,38,18
nCO1 Control 5-4 12,160,52
nCO1 Lithium 5-4 18,132,58
AO1 Control 5-4 20,66,5
nCO1 Lithium 5-4 26,201,97
CO1 Lithium 5-4 19,128,80
nCO1 Lithium 5-4 8,131,48
AO1 Control 5-4 40,45,11
CO1 Control 5-4 40,204,100
AO1 Lithium 5-4 17,81,13
nCO1 Lithium 5-4 44,181,101
CO1 Control 5-4 48,82,28
CO1 Control 5-4 27,117,62
CO1 Control 5-4 22,153,0
CO1 Control 5-4 13,112,66
AO1 Lithium 5-4 29,45,18
nCO1 Lithium 5-4 10,213,109
ACO1 Control 5-4 15,79,17
AO1 Control 5-4 1,84,12
AO1 Control 5-4 38,50,4
nCO1 Lithium 5-4 33,44,0
ACO1 Lithium 5-4 13,66,52
CO1 Lithium 5-4 16,48,0
ACO1 Control 5-4 23,156,67
AO1 Control 5-4 12,54,47
ACO1 Lithium 5-4 25,131,37
CO1 Control 5-4 10,109,71
nCO1 Lithium 5-4 31,142,56
AO1 Control 5-4 28,43,0
AO1 Lithium 5-4 24,27,12
ACO1 Control 5-4 30,26,0
nCO1 Lithium 5-4 20,178,119
ACO1 Control 5-4 14,94,1
nCO1 Control 5-4 27,88,51
CO1 Lithium 5-4 45,133,89
AO1 Control 5-4 8,81,40
