RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,132,61
CO1 Control 5-4 34,50,37
CO1 Control 5-4 41,209,43
nCO1 Lithium 5-4 32,23,10
AO1 Control 5-4 25,102,18
nCO1 Lithium 5-4 46,189,97
CO1 Control 5-4 14,151,73
nCO1 Control 5-4 8,142,77
AO1 Lithium 5-4 40,10,9
nCO1 Lithium 5-4 19,169,50
ACO1 Lithium 5-4 14,3,0
ACO1 Control 5-4 33,45,0
AO1 Control 5-4 7,93,15
AO1 Lithium 5-4 14,27,4
ACO1 Lithium 5-4 9,126,31
ACO1 Control 5-4 36,181,36
ACO1 Control 5-4 40,10,0
CO1 Control 5-4 45,160,81
CO1 Lithium 5-4 50,188,54
AO1 Control 5-4 27,50,3
ACO1 Lithium 5-4 6,22,26
AO1 Control 5-4 42,51,22
ACO1 Control 5-4 17,86,5
CO1 Lithium 5-4 13,124,62
AO1 Lithium 5-4 46,14,0
AO1 Control 5-4 33,84,36
CO1 Lithium 5-4 35,144,86
nCO1 Lithium 5-4 50,256,94
CO1 Lithium 5-4 43,153,52
CO1 Control 5-4 3,97,51
ACO1 Lithium 5-4 26,67,4
CO1 Control 5-4 5,22,0
AO1 Control 5-4 41,175,28
CO1 Control 5-4 21,172,69
nCO1 Control 5-4 30,122,55
AO1 Lithium 5-4 37,146,42
nCO1 Control 5-4 14,95,48
CO1 Lithium 5-4 23,150,92
ACO1 Lithium 5-4 40,20,9
nCO1 Lithium 5-4 41,214,76
ACO1 Control 5-4 21,131,58
CO1 Lithium 5-4 20,180,61
AO1 Control 5-4 19,34,0
ACO1 Lithium 5-4 23,15,10
ACO1 Control 5-4 39,42,5
AO1 Lithium 5-4 39,6,0
ACO1 Lithium 5-4 20,35,19
CO1 Lithium 5-4 42,132,0
CO1 Lithium 5-4 32,203,82
nCO1 Control 5-4 44,207,113
nCO1 Control 5-4 45,134,29
AO1 Lithium 5-4 34,6,0
AO1 Control 5-4 9,79,37
AO1 Control 5-4 36,119,6
AO1 Lithium 5-4 12,12,28
nCO1 Lithium 5-4 11,223,92
CO1 Lithium 5-4 38,131,59
nCO1 Lithium 5-4 9,265,80
nCO1 Lithium 5-4 15,190,89
AO1 Lithium 5-4 33,67,49
nCO1 Lithium 5-4 49,153,14
AO1 Control 5-4 6,117,67
CO1 Control 5-4 12,233,69
CO1 Control 5-4 15,153,82
nCO1 Lithium 5-4 6,202,90
ACO1 Control 5-4 25,18,24
ACO1 Lithium 5-4 3,76,38
CO1 Control 5-4 29,141,82
AO1 Control 5-4 26,61,5
nCO1 Lithium 5-4 23,222,112
ACO1 Control 5-4 47,96,22
AO1 Lithium 5-4 15,16,10
CO1 Control 5-4 49,84,47
ACO1 Control 5-4 42,72,25
CO1 Lithium 5-4 46,150,52
ACO1 Control 5-4 26,107,54
ACO1 Lithium 5-4 12,55,0
CO1 Lithium 5-4 47,213,78
ACO1 Lithium 5-4 42,66,37
nCO1 Lithium 5-4 13,158,90
nCO1 Control 5-4 48,20,0
AO1 Control 5-4 39,50,35
ACO1 Control 5-4 41,60,18
CO1 Lithium 5-4 28,178,76
nCO1 Control 5-4 16,13,0
ACO1 Lithium 5-4 1,37,13
ACO1 Lithium 5-4 38,48,0
nCO1 Lithium 5-4 7,197,88
CO1 Control 5-4 28,82,50
AO1 Lithium 5-4 30,57,41
ACO1 Control 5-4 22,137,29
nCO1 Lithium 5-4 16,216,117
ACO1 Control 5-4 18,85,22
CO1 Control 5-4 37,221,52
AO1 Control 5-4 47,53,33
AO1 Lithium 5-4 6,0,0
AO1 Control 5-4 44,69,30
