RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,47,61
CO1 Control 5-4 34,20,37
CO1 Control 5-4 41,69,43
nCO1 Lithium 5-4 32,5,10
AO1 Control 5-4 25,21,18
nCO1 Lithium 5-4 46,103,97
CO1 Control 5-4 14,58,73
nCO1 Control 5-4 8,76,77
AO1 Lithium 5-4 40,3,9
nCO1 Lithium 5-4 19,82,50
ACO1 Lithium 5-4 14,3,0
ACO1 Control 5-4 33,0,0
AO1 Control 5-4 7,31,15
AO1 Lithium 5-4 14,4,4
ACO1 Lithium 5-4 9,36,31
ACO1 Control 5-4 36,74,36
ACO1 Control 5-4 40,0,0
CO1 Control 5-4 45,84,81
CO1 Lithium 5-4 50,61,54
AO1 Control 5-4 27,19,3
ACO1 Lithium 5-4 6,29,26
AO1 Control 5-4 42,29,22
ACO1 Control 5-4 17,17,5
CO1 Lithium 5-4 13,63,62
AO1 Lithium 5-4 46,0,0
AO1 Control 5-4 33,44,36
CO1 Lithium 5-4 35,63,86
nCO1 Lithium 5-4 50,120,94
CO1 Lithium 5-4 43,53,52
CO1 Control 5-4 3,37,51
ACO1 Lithium 5-4 26,12,4
CO1 Control 5-4 5,0,0
AO1 Control 5-4 41,50,28
CO1 Control 5-4 21,73,69
nCO1 Control 5-4 30,65,55
AO1 Lithium 5-4 37,69,42
nCO1 Control 5-4 14,48,48
CO1 Lithium 5-4 23,77,92
ACO1 Lithium 5-4 40,2,9
nCO1 Lithium 5-4 41,117,76
ACO1 Control 5-4 21,70,58
CO1 Lithium 5-4 20,75,61
AO1 Control 5-4 19,25,0
ACO1 Lithium 5-4 23,12,10
ACO1 Control 5-4 39,21,5
AO1 Lithium 5-4 39,2,0
ACO1 Lithium 5-4 20,17,19
CO1 Lithium 5-4 42,41,0
CO1 Lithium 5-4 32,80,82
nCO1 Control 5-4 44,151,113
nCO1 Control 5-4 45,58,29
AO1 Lithium 5-4 34,0,0
AO1 Control 5-4 9,34,37
AO1 Control 5-4 36,41,6
AO1 Lithium 5-4 12,19,28
nCO1 Lithium 5-4 11,115,92
CO1 Lithium 5-4 38,64,59
nCO1 Lithium 5-4 9,148,80
nCO1 Lithium 5-4 15,82,89
AO1 Lithium 5-4 33,43,49
nCO1 Lithium 5-4 49,41,14
AO1 Control 5-4 6,52,67
CO1 Control 5-4 12,94,69
CO1 Control 5-4 15,90,82
nCO1 Lithium 5-4 6,91,90
ACO1 Control 5-4 25,12,24
ACO1 Lithium 5-4 3,32,38
CO1 Control 5-4 29,64,82
AO1 Control 5-4 26,14,5
nCO1 Lithium 5-4 23,137,112
ACO1 Control 5-4 47,42,22
AO1 Lithium 5-4 15,7,10
CO1 Control 5-4 49,32,47
ACO1 Control 5-4 42,21,25
CO1 Lithium 5-4 46,40,52
ACO1 Control 5-4 26,35,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,110,78
ACO1 Lithium 5-4 42,34,37
nCO1 Lithium 5-4 13,56,90
nCO1 Control 5-4 48,8,0
AO1 Control 5-4 39,23,35
ACO1 Control 5-4 41,9,18
CO1 Lithium 5-4 28,92,76
nCO1 Control 5-4 16,15,0
ACO1 Lithium 5-4 1,25,13
ACO1 Lithium 5-4 38,11,0
nCO1 Lithium 5-4 7,86,88
CO1 Control 5-4 28,45,50
AO1 Lithium 5-4 30,42,41
ACO1 Control 5-4 22,36,29
nCO1 Lithium 5-4 16,121,117
ACO1 Control 5-4 18,25,22
CO1 Control 5-4 37,51,52
AO1 Control 5-4 47,34,33
AO1 Lithium 5-4 6,0,0
AO1 Control 5-4 44,26,30
nCO1 Control 5-4 36,34,1
AO1 Control 5-4 17,6,0
CO1 Lithium 5-4 14,120,0
nCO1 Lithium 5-4 17,89,83
nCO1 Control 5-4 38,87,91
AO1 Control 5-4 49,27,23
CO1 Lithium 5-4 8,57,36
CO1 Control 5-4 2,49,23
CO1 Lithium 5-4 34,21,25
AO1 Control 5-4 4,29,36
AO1 Lithium 5-4 41,13,4
ACO1 Lithium 5-4 48,19,36
nCO1 Control 5-4 22,97,75
AO1 Lithium 5-4 28,0,0
ACO1 Control 5-4 34,29,36
AO1 Lithium 5-4 4,0,0
AO1 Lithium 5-4 16,36,22
AO1 Control 5-4 31,37,35
nCO1 Control 5-4 34,68,68
AO1 Control 5-4 37,14,9
ACO1 Lithium 5-4 36,58,26
nCO1 Control 5-4 50,57,45
CO1 Control 5-4 1,100,0
AO1 Control 5-4 32,11,11
AO1 Control 5-4 5,18,9
AO1 Lithium 5-4 31,18,19
nCO1 Control 5-4 11,154,114
nCO1 Lithium 5-4 30,10,5
AO1 Lithium 5-4 11,85,13
nCO1 Lithium 5-4 28,74,84
CO1 Lithium 5-4 2,110,86
CO1 Lithium 5-4 6,332,0
nCO1 Lithium 5-4 29,107,92
CO1 Lithium 5-4 11,94,79
ACO1 Lithium 5-4 27,78,49
CO1 Control 5-4 24,55,0
CO1 Lithium 5-4 12,118,103
CO1 Lithium 5-4 5,92,92
ACO1 Lithium 5-4 2,10,1
ACO1 Lithium 5-4 19,55,35
CO1 Lithium 5-4 7,58,59
ACO1 Lithium 5-4 4,1,2
ACO1 Control 5-4 28,4,0
CO1 Control 5-4 26,72,105
CO1 Control 5-4 18,182,0
AO1 Lithium 5-4 8,10,9
CO1 Lithium 5-4 4,129,0
ACO1 Control 5-4 45,13,0
CO1 Lithium 5-4 26,94,87
CO1 Control 5-4 6,36,44
ACO1 Control 5-4 27,15,9
CO1 Control 5-4 31,75,81
ACO1 Control 5-4 50,31,3
AO1 Control 5-4 14,37,18
CO1 Lithium 5-4 40,71,88
nCO1 Control 5-4 39,58,49
ACO1 Lithium 5-4 43,1,0
nCO1 Lithium 5-4 48,53,64
AO1 Lithium 5-4 42,45,49
ACO1 Control 5-4 32,31,35
nCO1 Lithium 5-4 2,96,118
nCO1 Control 5-4 29,73,63
AO1 Control 5-4 29,19,49
nCO1 Lithium 5-4 24,91,53
nCO1 Control 5-4 33,106,94
nCO1 Control 5-4 4,0,0
AO1 Lithium 5-4 21,26,14
CO1 Control 5-4 33,66,66
nCO1 Lithium 5-4 34,4,0
CO1 Control 5-4 8,40,60
AO1 Control 5-4 43,20,28
nCO1 Control 5-4 10,77,87
AO1 Lithium 5-4 35,6,2
CO1 Lithium 5-4 18,46,34
nCO1 Control 5-4 46,102,62
CO1 Control 5-4 50,45,46
AO1 Lithium 5-4 45,60,38
ACO1 Lithium 5-4 34,0,0
nCO1 Control 5-4 2,72,87
ACO1 Lithium 5-4 11,70,45
nCO1 Lithium 5-4 22,21,0
AO1 Lithium 5-4 7,41,49
AO1 Control 5-4 11,38,45
ACO1 Lithium 5-4 16,17,16
ACO1 Lithium 5-4 17,28,34
nCO1 Control 5-4 9,13,0
nCO1 Control 5-4 18,94,105
ACO1 Control 5-4 46,50,46
CO1 Lithium 5-4 30,52,89
ACO1 Lithium 5-4 31,14,11
ACO1 Control 5-4 24,15,16
CO1 Lithium 5-4 9,66,62
CO1 Lithium 5-4 25,69,90
AO1 Control 5-4 16,26,37
CO1 Lithium 5-4 3,94,89
ACO1 Lithium 5-4 30,0,0
ACO1 Lithium 5-4 39,13,10
ACO1 Lithium 5-4 49,13,0
ACO1 Control 5-4 31,87,92
CO1 Lithium 5-4 17,101,82
ACO1 Lithium 5-4 22,30,24
ACO1 Control 5-4 49,70,9
ACO1 Control 5-4 8,0,0
nCO1 Lithium 5-4 43,1,10
nCO1 Control 5-4 41,145,111
AO1 Lithium 5-4 49,16,8
AO1 Control 5-4 50,8,23
AO1 Lithium 5-4 5,2,2
nCO1 Control 5-4 20,108,85
nCO1 Control 5-4 5,70,80
ACO1 Control 5-4 12,14,5
nCO1 Lithium 5-4 47,62,61
AO1 Control 5-4 10,13,0
ACO1 Lithium 5-4 50,7,4
CO1 Control 5-4 36,93,76
ACO1 Control 5-4 3,4,10
nCO1 Lithium 5-4 39,35,63
ACO1 Lithium 5-4 47,15,0
nCO1 Control 5-4 26,0,0
CO1 Lithium 5-4 21,115,67
AO1 Control 5-4 45,20,29
nCO1 Control 5-4 23,121,100
CO1 Control 5-4 32,54,51
ACO1 Control 5-4 10,15,17
nCO1 Control 5-4 6,83,74
nCO1 Control 5-4 31,87,71
nCO1 Lithium 5-4 36,140,121
ACO1 Control 5-4 9,21,14
CO1 Lithium 5-4 15,118,125
AO1 Lithium 5-4 20,7,18
nCO1 Control 5-4 12,76,52
nCO1 Lithium 5-4 18,43,58
AO1 Control 5-4 20,11,5
nCO1 Lithium 5-4 26,113,97
CO1 Lithium 5-4 19,81,80
nCO1 Lithium 5-4 8,74,48
AO1 Control 5-4 40,17,11
CO1 Control 5-4 40,108,100
AO1 Lithium 5-4 17,15,13
nCO1 Lithium 5-4 44,107,101
CO1 Control 5-4 48,29,28
CO1 Control 5-4 27,59,62
CO1 Control 5-4 22,24,0
CO1 Control 5-4 13,83,66
AO1 Lithium 5-4 29,17,18
nCO1 Lithium 5-4 10,129,109
ACO1 Control 5-4 15,31,17
AO1 Control 5-4 1,15,12
AO1 Control 5-4 38,10,4
nCO1 Lithium 5-4 33,1,0
ACO1 Lithium 5-4 13,32,52
CO1 Lithium 5-4 16,161,0
ACO1 Control 5-4 23,92,67
AO1 Control 5-4 12,36,47
ACO1 Lithium 5-4 25,74,37
CO1 Control 5-4 10,55,71
nCO1 Lithium 5-4 31,52,56
AO1 Control 5-4 28,2,0
AO1 Lithium 5-4 24,8,12
ACO1 Control 5-4 30,0,0
nCO1 Lithium 5-4 20,128,119
ACO1 Control 5-4 14,25,1
nCO1 Control 5-4 27,46,51
CO1 Lithium 5-4 45,73,89
AO1 Control 5-4 8,38,40
CO1 Lithium 5-4 37,101,88
ACO1 Control 5-4 6,41,34
AO1 Control 5-4 15,26,35
ACO1 Control 5-4 4,10,0
CO1 Control 5-4 30,64,43
nCO1 Lithium 5-4 42,97,91
nCO1 Control 5-4 24,70,53
ACO1 Lithium 5-4 10,26,0
CO1 Lithium 5-4 36,87,30
AO1 Lithium 5-4 43,89,49
AO1 Control 5-4 30,19,18
AO1 Lithium 5-4 9,28,31
ACO1 Lithium 5-4 35,180,0
CO1 Lithium 5-4 1,36,38
ACO1 Control 5-4 1,97,0
ACO1 Lithium 5-4 5,1,0
nCO1 Control 5-4 13,64,66
CO1 Control 5-4 42,52,81
CO1 Lithium 5-4 39,57,70
nCO1 Control 5-4 47,27,0
ACO1 Lithium 5-4 15,5,16
CO1 Lithium 5-4 48,94,101
CO1 Control 5-4 25,57,0
ACO1 Lithium 5-4 7,4,0
ACO1 Lithium 5-4 24,12,15
ACO1 Lithium 5-4 21,24,4
nCO1 Lithium 5-4 21,64,56
CO1 Control 5-4 9,122,79
nCO1 Control 5-4 1,0,0
CO1 Lithium 5-4 24,107,69
CO1 Lithium 5-4 31,98,95
ACO1 Control 5-4 7,23,23
nCO1 Lithium 5-4 3,14,4
CO1 Control 5-4 47,64,66
CO1 Control 5-4 16,118,60
CO1 Lithium 5-4 10,87,86
nCO1 Lithium 5-4 1,98,80
CO1 Control 5-4 38,107,75
ACO1 Control 5-4 19,34,24
CO1 Lithium 5-4 49,15,0
nCO1 Lithium 5-4 14,81,70
nCO1 Control 5-4 40,66,74
AO1 Lithium 5-4 2,10,2
AO1 Lithium 5-4 10,32,30
CO1 Lithium 5-4 44,112,87
ACO1 Lithium 5-4 44,108,80
nCO1 Control 5-4 35,94,23
CO1 Control 5-4 39,67,64
AO1 Lithium 5-4 13,0,0
ACO1 Control 5-4 20,40,17
nCO1 Control 5-4 32,69,76
CO1 Control 5-4 17,87,86
AO1 Lithium 5-4 25,27,0
CO1 Lithium 5-4 29,98,102
AO1 Control 5-4 34,63,55
AO1 Control 5-4 3,37,39
ACO1 Lithium 5-4 28,0,0
CO1 Control 5-4 23,58,0
CO1 Lithium 5-4 41,137,106
ACO1 Lithium 5-4 37,1,0
ACO1 Lithium 5-4 18,19,19
AO1 Lithium 5-4 18,13,4
ACO1 Control 5-4 2,49,30
AO1 Lithium 5-4 38,24,25
AO1 Lithium 5-4 19,15,0
nCO1 Lithium 5-4 38,71,84
AO1 Lithium 5-4 32,28,0
AO1 Lithium 5-4 26,32,21
ACO1 Control 5-4 44,53,48
nCO1 Control 5-4 42,102,79
CO1 Control 5-4 4,38,39
AO1 Control 5-4 23,15,0
CO1 Lithium 5-4 27,80,88
AO1 Lithium 5-4 36,40,10
nCO1 Control 5-4 7,50,56
nCO1 Lithium 5-4 25,122,104
CO1 Control 5-4 46,47,56
AO1 Control 5-4 2,33,18
nCO1 Control 5-4 43,108,72
AO1 Control 5-4 22,78,31
AO1 Lithium 5-4 48,18,15
AO1 Control 5-4 48,32,25
CO1 Control 5-4 43,64,47
AO1 Control 5-4 13,56,36
nCO1 Lithium 5-4 5,37,61
ACO1 Control 5-4 48,34,19
AO1 Lithium 5-4 50,13,5
ACO1 Lithium 5-4 45,46,37
nCO1 Lithium 5-4 35,0,0
AO1 Lithium 5-4 27,0,0
AO1 Control 5-4 35,38,28
ACO1 Lithium 5-4 41,38,27
AO1 Control 5-4 21,35,36
nCO1 Control 5-4 21,84,44
AO1 Lithium 5-4 47,40,23
AO1 Lithium 5-4 44,14,20
CO1 Control 5-4 20,99,83
nCO1 Control 5-4 19,84,72
ACO1 Control 5-4 37,17,22
nCO1 Control 5-4 37,92,63
ACO1 Control 5-4 16,13,9
CO1 Control 5-4 35,78,77
AO1 Lithium 5-4 23,15,0
CO1 Control 5-4 7,69,64
AO1 Control 5-4 18,13,5
ACO1 Control 5-4 5,21,15
CO1 Control 5-4 11,0,0
CO1 Lithium 5-4 33,112,95
nCO1 Lithium 5-4 27,68,71
CO1 Control 5-4 19,20,0
nCO1 Lithium 5-4 37,2,3
nCO1 Lithium 5-4 45,75,67
nCO1 Control 5-4 28,0,0
CO1 Control 5-4 44,61,59
AO1 Control 5-4 24,35,0
nCO1 Control 5-4 3,10,2
ACO1 Control 5-4 11,34,21
nCO1 Control 5-4 49,8,0
nCO1 Control 5-4 15,83,54
AO1 Control 5-4 46,63,7
