RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,161,61
CO1 Control 5-4 34,71,37
CO1 Control 5-4 41,230,43
nCO1 Lithium 5-4 32,9,10
AO1 Control 5-4 25,112,18
nCO1 Lithium 5-4 46,190,97
CO1 Control 5-4 14,156,73
nCO1 Control 5-4 8,148,77
AO1 Lithium 5-4 40,40,9
nCO1 Lithium 5-4 19,233,50
ACO1 Lithium 5-4 14,5,0
ACO1 Control 5-4 33,135,0
AO1 Control 5-4 7,133,15
AO1 Lithium 5-4 14,53,4
ACO1 Lithium 5-4 9,127,31
ACO1 Control 5-4 36,220,36
ACO1 Control 5-4 40,25,0
CO1 Control 5-4 45,180,81
CO1 Lithium 5-4 50,191,54
AO1 Control 5-4 27,107,3
ACO1 Lithium 5-4 6,26,26
AO1 Control 5-4 42,86,22
ACO1 Control 5-4 17,113,5
CO1 Lithium 5-4 13,133,62
AO1 Lithium 5-4 46,31,0
AO1 Control 5-4 33,131,36
CO1 Lithium 5-4 35,140,86
nCO1 Lithium 5-4 50,242,94
CO1 Lithium 5-4 43,165,52
CO1 Control 5-4 3,132,51
ACO1 Lithium 5-4 26,90,4
CO1 Control 5-4 5,62,0
AO1 Control 5-4 41,204,28
CO1 Control 5-4 21,190,69
nCO1 Control 5-4 30,184,55
AO1 Lithium 5-4 37,155,42
nCO1 Control 5-4 14,103,48
CO1 Lithium 5-4 23,172,92
ACO1 Lithium 5-4 40,30,9
nCO1 Lithium 5-4 41,215,76
ACO1 Control 5-4 21,143,58
CO1 Lithium 5-4 20,163,61
AO1 Control 5-4 19,25,0
ACO1 Lithium 5-4 23,19,10
ACO1 Control 5-4 39,102,5
AO1 Lithium 5-4 39,21,0
ACO1 Lithium 5-4 20,43,19
CO1 Lithium 5-4 42,162,0
CO1 Lithium 5-4 32,224,82
nCO1 Control 5-4 44,264,113
nCO1 Control 5-4 45,164,29
AO1 Lithium 5-4 34,18,0
AO1 Control 5-4 9,96,37
AO1 Control 5-4 36,152,6
AO1 Lithium 5-4 12,17,28
nCO1 Lithium 5-4 11,231,92
CO1 Lithium 5-4 38,156,59
nCO1 Lithium 5-4 9,285,80
nCO1 Lithium 5-4 15,209,89
AO1 Lithium 5-4 33,98,49
nCO1 Lithium 5-4 49,145,14
AO1 Control 5-4 6,124,67
CO1 Control 5-4 12,248,69
CO1 Control 5-4 15,133,82
nCO1 Lithium 5-4 6,225,90
ACO1 Control 5-4 25,28,24
ACO1 Lithium 5-4 3,62,38
