RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,32,61
CO1 Control 5-4 34,16,37
CO1 Control 5-4 41,44,43
nCO1 Lithium 5-4 32,0,10
AO1 Control 5-4 25,12,18
nCO1 Lithium 5-4 46,73,97
CO1 Control 5-4 14,39,73
nCO1 Control 5-4 8,60,77
AO1 Lithium 5-4 40,0,9
nCO1 Lithium 5-4 19,56,50
ACO1 Lithium 5-4 14,1,0
ACO1 Control 5-4 33,0,0
AO1 Control 5-4 7,17,15
AO1 Lithium 5-4 14,1,4
ACO1 Lithium 5-4 9,15,31
ACO1 Control 5-4 36,46,36
ACO1 Control 5-4 40,0,0
CO1 Control 5-4 45,66,81
CO1 Lithium 5-4 50,45,54
AO1 Control 5-4 27,6,3
ACO1 Lithium 5-4 6,25,26
AO1 Control 5-4 42,15,22
ACO1 Control 5-4 17,3,5
CO1 Lithium 5-4 13,49,62
AO1 Lithium 5-4 46,9,0
AO1 Control 5-4 33,36,36
CO1 Lithium 5-4 35,55,86
nCO1 Lithium 5-4 50,106,94
CO1 Lithium 5-4 43,35,52
CO1 Control 5-4 3,18,51
ACO1 Lithium 5-4 26,4,4
CO1 Control 5-4 5,15,0
AO1 Control 5-4 41,23,28
CO1 Control 5-4 21,70,69
nCO1 Control 5-4 30,52,55
AO1 Lithium 5-4 37,43,42
nCO1 Control 5-4 14,31,48
CO1 Lithium 5-4 23,71,92
ACO1 Lithium 5-4 40,1,9
nCO1 Lithium 5-4 41,89,76
ACO1 Control 5-4 21,50,58
CO1 Lithium 5-4 20,56,61
AO1 Control 5-4 19,25,0
ACO1 Lithium 5-4 23,11,10
ACO1 Control 5-4 39,5,5
AO1 Lithium 5-4 39,0,0
ACO1 Lithium 5-4 20,9,19
CO1 Lithium 5-4 42,27,0
CO1 Lithium 5-4 32,68,82
nCO1 Control 5-4 44,118,113
nCO1 Control 5-4 45,30,29
AO1 Lithium 5-4 34,0,0
AO1 Control 5-4 9,22,37
AO1 Control 5-4 36,22,6
AO1 Lithium 5-4 12,9,28
nCO1 Lithium 5-4 11,77,92
CO1 Lithium 5-4 38,40,59
nCO1 Lithium 5-4 9,83,80
nCO1 Lithium 5-4 15,62,89
AO1 Lithium 5-4 33,31,49
nCO1 Lithium 5-4 49,19,14
AO1 Control 5-4 6,48,67
CO1 Control 5-4 12,43,69
CO1 Control 5-4 15,67,82
nCO1 Lithium 5-4 6,60,90
ACO1 Control 5-4 25,16,24
ACO1 Lithium 5-4 3,8,38
CO1 Control 5-4 29,45,82
AO1 Control 5-4 26,6,5
nCO1 Lithium 5-4 23,104,112
ACO1 Control 5-4 47,16,22
AO1 Lithium 5-4 15,3,10
CO1 Control 5-4 49,16,47
ACO1 Control 5-4 42,11,25
CO1 Lithium 5-4 46,14,52
ACO1 Control 5-4 26,20,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,66,78
ACO1 Lithium 5-4 42,29,37
nCO1 Lithium 5-4 13,29,90
nCO1 Control 5-4 48,3,0
AO1 Control 5-4 39,10,35
ACO1 Control 5-4 41,1,18
CO1 Lithium 5-4 28,64,76
nCO1 Control 5-4 16,13,0
ACO1 Lithium 5-4 1,23,13
ACO1 Lithium 5-4 38,5,0
nCO1 Lithium 5-4 7,64,88
CO1 Control 5-4 28,31,50
AO1 Lithium 5-4 30,32,41
ACO1 Control 5-4 22,18,29
nCO1 Lithium 5-4 16,89,117
ACO1 Control 5-4 18,11,22
CO1 Control 5-4 37,27,52
AO1 Control 5-4 47,26,33
AO1 Lithium 5-4 6,24,0
AO1 Control 5-4 44,14,30
nCO1 Control 5-4 36,27,1
AO1 Control 5-4 17,1,0
CO1 Lithium 5-4 14,120,0
nCO1 Lithium 5-4 17,57,83
nCO1 Control 5-4 38,75,91
AO1 Control 5-4 49,22,23
CO1 Lithium 5-4 8,24,36
CO1 Control 5-4 2,24,23
CO1 Lithium 5-4 34,11,25
AO1 Control 5-4 4,17,36
AO1 Lithium 5-4 41,6,4
ACO1 Lithium 5-4 48,20,36
nCO1 Control 5-4 22,69,75
AO1 Lithium 5-4 28,13,0
ACO1 Control 5-4 34,26,36
AO1 Lithium 5-4 4,15,0
AO1 Lithium 5-4 16,27,22
AO1 Control 5-4 31,16,35
nCO1 Control 5-4 34,54,68
AO1 Control 5-4 37,1,9
ACO1 Lithium 5-4 36,43,26
nCO1 Control 5-4 50,32,45
CO1 Control 5-4 1,181,0
AO1 Control 5-4 32,2,11
AO1 Control 5-4 5,7,9
AO1 Lithium 5-4 31,9,19
nCO1 Control 5-4 11,128,114
nCO1 Lithium 5-4 30,11,5
AO1 Lithium 5-4 11,44,13
nCO1 Lithium 5-4 28,68,84
CO1 Lithium 5-4 2,94,86
CO1 Lithium 5-4 6,90,0
nCO1 Lithium 5-4 29,92,92
CO1 Lithium 5-4 11,64,79
ACO1 Lithium 5-4 27,50,49
CO1 Control 5-4 24,34,0
CO1 Lithium 5-4 12,88,103
CO1 Lithium 5-4 5,78,92
ACO1 Lithium 5-4 2,4,1
ACO1 Lithium 5-4 19,41,35
CO1 Lithium 5-4 7,48,59
ACO1 Lithium 5-4 4,0,2
ACO1 Control 5-4 28,0,0
CO1 Control 5-4 26,68,105
CO1 Control 5-4 18,30,0
AO1 Lithium 5-4 8,10,9
CO1 Lithium 5-4 4,135,0
ACO1 Control 5-4 45,16,0
CO1 Lithium 5-4 26,67,87
CO1 Control 5-4 6,34,44
ACO1 Control 5-4 27,1,9
CO1 Control 5-4 31,50,81
ACO1 Control 5-4 50,6,3
AO1 Control 5-4 14,15,18
CO1 Lithium 5-4 40,52,88
nCO1 Control 5-4 39,39,49
ACO1 Lithium 5-4 43,1,0
nCO1 Lithium 5-4 48,43,64
AO1 Lithium 5-4 42,34,49
ACO1 Control 5-4 32,18,35
nCO1 Lithium 5-4 2,59,118
nCO1 Control 5-4 29,42,63
AO1 Control 5-4 29,14,49
nCO1 Lithium 5-4 24,39,53
nCO1 Control 5-4 33,83,94
nCO1 Control 5-4 4,2,0
AO1 Lithium 5-4 21,17,14
CO1 Control 5-4 33,32,66
nCO1 Lithium 5-4 34,0,0
CO1 Control 5-4 8,15,60
AO1 Control 5-4 43,22,28
nCO1 Control 5-4 10,54,87
AO1 Lithium 5-4 35,1,2
CO1 Lithium 5-4 18,20,34
nCO1 Control 5-4 46,35,62
CO1 Control 5-4 50,49,46
AO1 Lithium 5-4 45,51,38
ACO1 Lithium 5-4 34,38,0
nCO1 Control 5-4 2,65,87
ACO1 Lithium 5-4 11,42,45
nCO1 Lithium 5-4 22,22,0
AO1 Lithium 5-4 7,31,49
AO1 Control 5-4 11,24,45
ACO1 Lithium 5-4 16,6,16
ACO1 Lithium 5-4 17,29,34
nCO1 Control 5-4 9,12,0
nCO1 Control 5-4 18,64,105
ACO1 Control 5-4 46,46,46
CO1 Lithium 5-4 30,58,89
ACO1 Lithium 5-4 31,7,11
ACO1 Control 5-4 24,7,16
CO1 Lithium 5-4 9,48,62
CO1 Lithium 5-4 25,55,90
AO1 Control 5-4 16,30,37
CO1 Lithium 5-4 3,75,89
ACO1 Lithium 5-4 30,4,0
ACO1 Lithium 5-4 39,6,10
ACO1 Lithium 5-4 49,38,0
ACO1 Control 5-4 31,76,92
CO1 Lithium 5-4 17,44,82
ACO1 Lithium 5-4 22,27,24
ACO1 Control 5-4 49,23,9
ACO1 Control 5-4 8,13,0
nCO1 Lithium 5-4 43,1,10
nCO1 Control 5-4 41,125,111
AO1 Lithium 5-4 49,16,8
AO1 Control 5-4 50,7,23
AO1 Lithium 5-4 5,1,2
nCO1 Control 5-4 20,88,85
nCO1 Control 5-4 5,53,80
ACO1 Control 5-4 12,4,5
nCO1 Lithium 5-4 47,49,61
AO1 Control 5-4 10,13,0
ACO1 Lithium 5-4 50,8,4
CO1 Control 5-4 36,50,76
ACO1 Control 5-4 3,0,10
nCO1 Lithium 5-4 39,34,63
ACO1 Lithium 5-4 47,55,0
nCO1 Control 5-4 26,70,0
CO1 Lithium 5-4 21,109,67
AO1 Control 5-4 45,14,29
nCO1 Control 5-4 23,82,100
CO1 Control 5-4 32,27,51
ACO1 Control 5-4 10,6,17
nCO1 Control 5-4 6,51,74
nCO1 Control 5-4 31,54,71
nCO1 Lithium 5-4 36,105,121
ACO1 Control 5-4 9,7,14
CO1 Lithium 5-4 15,97,125
AO1 Lithium 5-4 20,4,18
nCO1 Control 5-4 12,49,52
nCO1 Lithium 5-4 18,19,58
AO1 Control 5-4 20,13,5
nCO1 Lithium 5-4 26,78,97
CO1 Lithium 5-4 19,64,80
nCO1 Lithium 5-4 8,43,48
AO1 Control 5-4 40,5,11
CO1 Control 5-4 40,90,100
AO1 Lithium 5-4 17,5,13
nCO1 Lithium 5-4 44,72,101
CO1 Control 5-4 48,18,28
CO1 Control 5-4 27,37,62
CO1 Control 5-4 22,27,0
CO1 Control 5-4 13,49,66
AO1 Lithium 5-4 29,4,18
nCO1 Lithium 5-4 10,107,109
ACO1 Control 5-4 15,18,17
AO1 Control 5-4 1,12,12
AO1 Control 5-4 38,5,4
nCO1 Lithium 5-4 33,0,0
ACO1 Lithium 5-4 13,31,52
CO1 Lithium 5-4 16,0,0
ACO1 Control 5-4 23,45,67
AO1 Control 5-4 12,26,47
ACO1 Lithium 5-4 25,57,37
CO1 Control 5-4 10,39,71
nCO1 Lithium 5-4 31,42,56
AO1 Control 5-4 28,4,0
AO1 Lithium 5-4 24,9,12
ACO1 Control 5-4 30,0,0
nCO1 Lithium 5-4 20,98,119
ACO1 Control 5-4 14,1,1
nCO1 Control 5-4 27,31,51
CO1 Lithium 5-4 45,60,89
AO1 Control 5-4 8,34,40
CO1 Lithium 5-4 37,96,88
ACO1 Control 5-4 6,28,34
AO1 Control 5-4 15,14,35
ACO1 Control 5-4 4,11,0
CO1 Control 5-4 30,50,43
nCO1 Lithium 5-4 42,63,91
nCO1 Control 5-4 24,21,53
ACO1 Lithium 5-4 10,26,0
CO1 Lithium 5-4 36,51,30
AO1 Lithium 5-4 43,49,49
AO1 Control 5-4 30,5,18
AO1 Lithium 5-4 9,17,31
ACO1 Lithium 5-4 35,140,0
CO1 Lithium 5-4 1,17,38
ACO1 Control 5-4 1,124,0
ACO1 Lithium 5-4 5,0,0
nCO1 Control 5-4 13,51,66
CO1 Control 5-4 42,33,81
CO1 Lithium 5-4 39,37,70
nCO1 Control 5-4 47,10,0
ACO1 Lithium 5-4 15,1,16
CO1 Lithium 5-4 48,66,101
CO1 Control 5-4 25,158,0
ACO1 Lithium 5-4 7,1,0
ACO1 Lithium 5-4 24,5,15
ACO1 Lithium 5-4 21,9,4
nCO1 Lithium 5-4 21,42,56
CO1 Control 5-4 9,96,79
nCO1 Control 5-4 1,4,0
CO1 Lithium 5-4 24,71,69
CO1 Lithium 5-4 31,71,95
ACO1 Control 5-4 7,16,23
nCO1 Lithium 5-4 3,3,4
CO1 Control 5-4 47,46,66
CO1 Control 5-4 16,61,60
CO1 Lithium 5-4 10,77,86
nCO1 Lithium 5-4 1,60,80
CO1 Control 5-4 38,74,75
ACO1 Control 5-4 19,36,24
CO1 Lithium 5-4 49,0,0
nCO1 Lithium 5-4 14,52,70
nCO1 Control 5-4 40,51,74
AO1 Lithium 5-4 2,5,2
AO1 Lithium 5-4 10,26,30
CO1 Lithium 5-4 44,76,87
ACO1 Lithium 5-4 44,77,80
nCO1 Control 5-4 35,42,23
CO1 Control 5-4 39,42,64
AO1 Lithium 5-4 13,15,0
ACO1 Control 5-4 20,22,17
nCO1 Control 5-4 32,43,76
CO1 Control 5-4 17,69,86
AO1 Lithium 5-4 25,24,0
CO1 Lithium 5-4 29,96,102
AO1 Control 5-4 34,45,55
AO1 Control 5-4 3,28,39
ACO1 Lithium 5-4 28,0,0
CO1 Control 5-4 23,175,0
CO1 Lithium 5-4 41,102,106
