RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,48,61
CO1 Control 5-4 34,26,37
CO1 Control 5-4 41,89,43
nCO1 Lithium 5-4 32,2,10
AO1 Control 5-4 25,26,18
nCO1 Lithium 5-4 46,109,97
CO1 Control 5-4 14,63,73
nCO1 Control 5-4 8,65,77
AO1 Lithium 5-4 40,0,9
nCO1 Lithium 5-4 19,58,50
ACO1 Lithium 5-4 14,1,0
ACO1 Control 5-4 33,19,0
AO1 Control 5-4 7,24,15
AO1 Lithium 5-4 14,11,4
ACO1 Lithium 5-4 9,36,31
ACO1 Control 5-4 36,86,36
ACO1 Control 5-4 40,1,0
CO1 Control 5-4 45,83,81
CO1 Lithium 5-4 50,77,54
AO1 Control 5-4 27,19,3
ACO1 Lithium 5-4 6,20,26
AO1 Control 5-4 42,32,22
ACO1 Control 5-4 17,7,5
CO1 Lithium 5-4 13,65,62
AO1 Lithium 5-4 46,28,0
AO1 Control 5-4 33,47,36
CO1 Lithium 5-4 35,66,86
nCO1 Lithium 5-4 50,142,94
CO1 Lithium 5-4 43,56,52
CO1 Control 5-4 3,41,51
ACO1 Lithium 5-4 26,11,4
CO1 Control 5-4 5,15,0
AO1 Control 5-4 41,33,28
CO1 Control 5-4 21,83,69
nCO1 Control 5-4 30,88,55
AO1 Lithium 5-4 37,46,42
nCO1 Control 5-4 14,55,48
CO1 Lithium 5-4 23,83,92
ACO1 Lithium 5-4 40,1,9
nCO1 Lithium 5-4 41,111,76
ACO1 Control 5-4 21,64,58
CO1 Lithium 5-4 20,65,61
AO1 Control 5-4 19,27,0
ACO1 Lithium 5-4 23,8,10
ACO1 Control 5-4 39,17,5
AO1 Lithium 5-4 39,1,0
ACO1 Lithium 5-4 20,12,19
CO1 Lithium 5-4 42,40,0
CO1 Lithium 5-4 32,91,82
nCO1 Control 5-4 44,137,113
nCO1 Control 5-4 45,49,29
AO1 Lithium 5-4 34,2,0
AO1 Control 5-4 9,31,37
AO1 Control 5-4 36,28,6
AO1 Lithium 5-4 12,6,28
nCO1 Lithium 5-4 11,125,92
CO1 Lithium 5-4 38,78,59
nCO1 Lithium 5-4 9,145,80
nCO1 Lithium 5-4 15,81,89
AO1 Lithium 5-4 33,42,49
nCO1 Lithium 5-4 49,44,14
AO1 Control 5-4 6,62,67
CO1 Control 5-4 12,85,69
CO1 Control 5-4 15,95,82
nCO1 Lithium 5-4 6,104,90
ACO1 Control 5-4 25,7,24
ACO1 Lithium 5-4 3,20,38
CO1 Control 5-4 29,84,82
AO1 Control 5-4 26,9,5
nCO1 Lithium 5-4 23,139,112
ACO1 Control 5-4 47,36,22
AO1 Lithium 5-4 15,3,10
CO1 Control 5-4 49,13,47
ACO1 Control 5-4 42,12,25
CO1 Lithium 5-4 46,43,52
ACO1 Control 5-4 26,62,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,106,78
ACO1 Lithium 5-4 42,30,37
nCO1 Lithium 5-4 13,48,90
nCO1 Control 5-4 48,2,0
AO1 Control 5-4 39,31,35
ACO1 Control 5-4 41,17,18
CO1 Lithium 5-4 28,109,76
nCO1 Control 5-4 16,13,0
ACO1 Lithium 5-4 1,21,13
ACO1 Lithium 5-4 38,7,0
nCO1 Lithium 5-4 7,105,88
CO1 Control 5-4 28,48,50
AO1 Lithium 5-4 30,36,41
ACO1 Control 5-4 22,21,29
nCO1 Lithium 5-4 16,121,117
ACO1 Control 5-4 18,16,22
CO1 Control 5-4 37,61,52
AO1 Control 5-4 47,24,33
AO1 Lithium 5-4 6,0,0
AO1 Control 5-4 44,17,30
nCO1 Control 5-4 36,41,1
AO1 Control 5-4 17,6,0
CO1 Lithium 5-4 14,129,0
nCO1 Lithium 5-4 17,93,83
nCO1 Control 5-4 38,90,91
AO1 Control 5-4 49,20,23
CO1 Lithium 5-4 8,55,36
CO1 Control 5-4 2,41,23
CO1 Lithium 5-4 34,37,25
AO1 Control 5-4 4,37,36
AO1 Lithium 5-4 41,4,4
ACO1 Lithium 5-4 48,21,36
nCO1 Control 5-4 22,95,75
AO1 Lithium 5-4 28,41,0
ACO1 Control 5-4 34,31,36
AO1 Lithium 5-4 4,16,0
AO1 Lithium 5-4 16,31,22
AO1 Control 5-4 31,39,35
nCO1 Control 5-4 34,72,68
AO1 Control 5-4 37,4,9
ACO1 Lithium 5-4 36,54,26
nCO1 Control 5-4 50,55,45
CO1 Control 5-4 1,113,0
AO1 Control 5-4 32,5,11
AO1 Control 5-4 5,19,9
AO1 Lithium 5-4 31,19,19
nCO1 Control 5-4 11,155,114
nCO1 Lithium 5-4 30,13,5
AO1 Lithium 5-4 11,61,13
nCO1 Lithium 5-4 28,121,84
CO1 Lithium 5-4 2,131,86
CO1 Lithium 5-4 6,151,0
nCO1 Lithium 5-4 29,114,92
CO1 Lithium 5-4 11,94,79
ACO1 Lithium 5-4 27,70,49
CO1 Control 5-4 24,109,0
CO1 Lithium 5-4 12,126,103
CO1 Lithium 5-4 5,102,92
ACO1 Lithium 5-4 2,10,1
ACO1 Lithium 5-4 19,55,35
CO1 Lithium 5-4 7,66,59
ACO1 Lithium 5-4 4,0,2
ACO1 Control 5-4 28,8,0
CO1 Control 5-4 26,90,105
CO1 Control 5-4 18,214,0
AO1 Lithium 5-4 8,11,9
CO1 Lithium 5-4 4,142,0
ACO1 Control 5-4 45,32,0
CO1 Lithium 5-4 26,91,87
CO1 Control 5-4 6,66,44
ACO1 Control 5-4 27,14,9
CO1 Control 5-4 31,80,81
ACO1 Control 5-4 50,7,3
AO1 Control 5-4 14,26,18
CO1 Lithium 5-4 40,72,88
nCO1 Control 5-4 39,60,49
ACO1 Lithium 5-4 43,4,0
nCO1 Lithium 5-4 48,48,64
AO1 Lithium 5-4 42,36,49
ACO1 Control 5-4 32,47,35
nCO1 Lithium 5-4 2,96,118
nCO1 Control 5-4 29,60,63
AO1 Control 5-4 29,17,49
nCO1 Lithium 5-4 24,73,53
nCO1 Control 5-4 33,115,94
nCO1 Control 5-4 4,17,0
AO1 Lithium 5-4 21,20,14
CO1 Control 5-4 33,73,66
nCO1 Lithium 5-4 34,5,0
CO1 Control 5-4 8,30,60
AO1 Control 5-4 43,23,28
nCO1 Control 5-4 10,87,87
AO1 Lithium 5-4 35,4,2
CO1 Lithium 5-4 18,29,34
nCO1 Control 5-4 46,84,62
CO1 Control 5-4 50,52,46
AO1 Lithium 5-4 45,70,38
ACO1 Lithium 5-4 34,66,0
nCO1 Control 5-4 2,83,87
ACO1 Lithium 5-4 11,53,45
nCO1 Lithium 5-4 22,25,0
AO1 Lithium 5-4 7,36,49
AO1 Control 5-4 11,31,45
ACO1 Lithium 5-4 16,10,16
ACO1 Lithium 5-4 17,21,34
nCO1 Control 5-4 9,13,0
nCO1 Control 5-4 18,98,105
ACO1 Control 5-4 46,41,46
CO1 Lithium 5-4 30,88,89
ACO1 Lithium 5-4 31,14,11
ACO1 Control 5-4 24,12,16
CO1 Lithium 5-4 9,70,62
CO1 Lithium 5-4 25,87,90
AO1 Control 5-4 16,26,37
CO1 Lithium 5-4 3,96,89
ACO1 Lithium 5-4 30,22,0
ACO1 Lithium 5-4 39,11,10
ACO1 Lithium 5-4 49,51,0
ACO1 Control 5-4 31,104,92
CO1 Lithium 5-4 17,75,82
ACO1 Lithium 5-4 22,24,24
ACO1 Control 5-4 49,44,9
ACO1 Control 5-4 8,10,0
nCO1 Lithium 5-4 43,3,10
nCO1 Control 5-4 41,151,111
AO1 Lithium 5-4 49,13,8
AO1 Control 5-4 50,7,23
AO1 Lithium 5-4 5,2,2
nCO1 Control 5-4 20,101,85
nCO1 Control 5-4 5,61,80
ACO1 Control 5-4 12,7,5
nCO1 Lithium 5-4 47,58,61
AO1 Control 5-4 10,13,0
ACO1 Lithium 5-4 50,1,4
CO1 Control 5-4 36,99,76
ACO1 Control 5-4 3,23,10
nCO1 Lithium 5-4 39,48,63
ACO1 Lithium 5-4 47,131,0
nCO1 Control 5-4 26,56,0
CO1 Lithium 5-4 21,112,67
AO1 Control 5-4 45,14,29
nCO1 Control 5-4 23,106,100
CO1 Control 5-4 32,47,51
ACO1 Control 5-4 10,33,17
nCO1 Control 5-4 6,87,74
nCO1 Control 5-4 31,73,71
nCO1 Lithium 5-4 36,147,121
ACO1 Control 5-4 9,22,14
CO1 Lithium 5-4 15,130,125
AO1 Lithium 5-4 20,7,18
nCO1 Control 5-4 12,79,52
nCO1 Lithium 5-4 18,40,58
AO1 Control 5-4 20,17,5
nCO1 Lithium 5-4 26,134,97
CO1 Lithium 5-4 19,86,80
nCO1 Lithium 5-4 8,68,48
AO1 Control 5-4 40,8,11
CO1 Control 5-4 40,120,100
AO1 Lithium 5-4 17,8,13
nCO1 Lithium 5-4 44,104,101
CO1 Control 5-4 48,24,28
CO1 Control 5-4 27,58,62
CO1 Control 5-4 22,44,0
CO1 Control 5-4 13,65,66
