RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,111,61
CO1 Control 5-4 34,68,37
CO1 Control 5-4 41,185,43
nCO1 Lithium 5-4 32,21,10
AO1 Control 5-4 25,114,18
nCO1 Lithium 5-4 46,158,97
CO1 Control 5-4 14,117,73
nCO1 Control 5-4 8,144,77
AO1 Lithium 5-4 40,27,9
nCO1 Lithium 5-4 19,179,50
ACO1 Lithium 5-4 14,13,0
ACO1 Control 5-4 33,191,0
AO1 Control 5-4 7,81,15
AO1 Lithium 5-4 14,45,4
ACO1 Lithium 5-4 9,126,31
ACO1 Control 5-4 36,156,36
ACO1 Control 5-4 40,20,0
CO1 Control 5-4 45,162,81
CO1 Lithium 5-4 50,151,54
AO1 Control 5-4 27,59,3
ACO1 Lithium 5-4 6,30,26
AO1 Control 5-4 42,71,22
ACO1 Control 5-4 17,86,5
CO1 Lithium 5-4 13,113,62
AO1 Lithium 5-4 46,28,0
AO1 Control 5-4 33,88,36
CO1 Lithium 5-4 35,112,86
nCO1 Lithium 5-4 50,213,94
CO1 Lithium 5-4 43,129,52
CO1 Control 5-4 3,98,51
ACO1 Lithium 5-4 26,60,4
CO1 Control 5-4 5,27,0
AO1 Control 5-4 41,148,28
CO1 Control 5-4 21,137,69
nCO1 Control 5-4 30,116,55
AO1 Lithium 5-4 37,120,42
nCO1 Control 5-4 14,101,48
CO1 Lithium 5-4 23,144,92
ACO1 Lithium 5-4 40,20,9
nCO1 Lithium 5-4 41,190,76
ACO1 Control 5-4 21,115,58
CO1 Lithium 5-4 20,151,61
AO1 Control 5-4 19,55,0
ACO1 Lithium 5-4 23,22,10
ACO1 Control 5-4 39,47,5
AO1 Lithium 5-4 39,19,0
ACO1 Lithium 5-4 20,53,19
CO1 Lithium 5-4 42,121,0
CO1 Lithium 5-4 32,182,82
nCO1 Control 5-4 44,215,113
nCO1 Control 5-4 45,133,29
AO1 Lithium 5-4 34,12,0
AO1 Control 5-4 9,64,37
AO1 Control 5-4 36,96,6
AO1 Lithium 5-4 12,39,28
nCO1 Lithium 5-4 11,195,92
CO1 Lithium 5-4 38,114,59
nCO1 Lithium 5-4 9,205,80
nCO1 Lithium 5-4 15,140,89
AO1 Lithium 5-4 33,58,49
nCO1 Lithium 5-4 49,130,14
AO1 Control 5-4 6,111,67
CO1 Control 5-4 12,214,69
CO1 Control 5-4 15,144,82
nCO1 Lithium 5-4 6,169,90
ACO1 Control 5-4 25,50,24
ACO1 Lithium 5-4 3,59,38
CO1 Control 5-4 29,113,82
AO1 Control 5-4 26,53,5
nCO1 Lithium 5-4 23,195,112
ACO1 Control 5-4 47,104,22
AO1 Lithium 5-4 15,41,10
CO1 Control 5-4 49,104,47
ACO1 Control 5-4 42,84,25
CO1 Lithium 5-4 46,131,52
ACO1 Control 5-4 26,119,54
ACO1 Lithium 5-4 12,160,0
CO1 Lithium 5-4 47,187,78
ACO1 Lithium 5-4 42,89,37
nCO1 Lithium 5-4 13,127,90
nCO1 Control 5-4 48,22,0
AO1 Control 5-4 39,69,35
ACO1 Control 5-4 41,59,18
CO1 Lithium 5-4 28,163,76
nCO1 Control 5-4 16,34,0
ACO1 Lithium 5-4 1,40,13
ACO1 Lithium 5-4 38,52,0
nCO1 Lithium 5-4 7,143,88
CO1 Control 5-4 28,87,50
AO1 Lithium 5-4 30,41,41
ACO1 Control 5-4 22,146,29
nCO1 Lithium 5-4 16,192,117
ACO1 Control 5-4 18,86,22
CO1 Control 5-4 37,206,52
AO1 Control 5-4 47,79,33
AO1 Lithium 5-4 6,5,0
AO1 Control 5-4 44,89,30
nCO1 Control 5-4 36,153,1
AO1 Control 5-4 17,153,0
CO1 Lithium 5-4 14,326,0
nCO1 Lithium 5-4 17,172,83
nCO1 Control 5-4 38,147,91
AO1 Control 5-4 49,63,23
CO1 Lithium 5-4 8,90,36
CO1 Control 5-4 2,164,23
CO1 Lithium 5-4 34,90,25
AO1 Control 5-4 4,117,36
AO1 Lithium 5-4 41,21,4
ACO1 Lithium 5-4 48,56,36
nCO1 Control 5-4 22,169,75
AO1 Lithium 5-4 28,38,0
ACO1 Control 5-4 34,69,36
AO1 Lithium 5-4 4,98,0
AO1 Lithium 5-4 16,71,22
AO1 Control 5-4 31,86,35
nCO1 Control 5-4 34,136,68
AO1 Control 5-4 37,40,9
ACO1 Lithium 5-4 36,108,26
nCO1 Control 5-4 50,130,45
CO1 Control 5-4 1,228,0
