RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,214,61
CO1 Control 5-4 34,96,37
CO1 Control 5-4 41,356,43
nCO1 Lithium 5-4 32,138,10
AO1 Control 5-4 25,232,18
nCO1 Lithium 5-4 46,291,97
CO1 Control 5-4 14,190,73
nCO1 Control 5-4 8,214,77
AO1 Lithium 5-4 40,34,9
nCO1 Lithium 5-4 19,346,50
ACO1 Lithium 5-4 14,11,0
ACO1 Control 5-4 33,1328,0
AO1 Control 5-4 7,162,15
AO1 Lithium 5-4 14,166,4
ACO1 Lithium 5-4 9,220,31
ACO1 Control 5-4 36,323,36
ACO1 Control 5-4 40,97,0
CO1 Control 5-4 45,214,81
CO1 Lithium 5-4 50,418,54
AO1 Control 5-4 27,94,3
ACO1 Lithium 5-4 6,44,26
AO1 Control 5-4 42,212,22
ACO1 Control 5-4 17,131,5
CO1 Lithium 5-4 13,162,62
AO1 Lithium 5-4 46,85,0
AO1 Control 5-4 33,171,36
CO1 Lithium 5-4 35,226,86
nCO1 Lithium 5-4 50,306,94
CO1 Lithium 5-4 43,226,52
CO1 Control 5-4 3,163,51
ACO1 Lithium 5-4 26,135,4
CO1 Control 5-4 5,438,0
AO1 Control 5-4 41,347,28
CO1 Control 5-4 21,244,69
nCO1 Control 5-4 30,251,55
AO1 Lithium 5-4 37,167,42
nCO1 Control 5-4 14,150,48
CO1 Lithium 5-4 23,332,92
ACO1 Lithium 5-4 40,83,9
nCO1 Lithium 5-4 41,236,76
ACO1 Control 5-4 21,172,58
CO1 Lithium 5-4 20,379,61
AO1 Control 5-4 19,1088,0
ACO1 Lithium 5-4 23,27,10
ACO1 Control 5-4 39,79,5
AO1 Lithium 5-4 39,31,0
ACO1 Lithium 5-4 20,95,19
CO1 Lithium 5-4 42,190,0
CO1 Lithium 5-4 32,299,82
nCO1 Control 5-4 44,320,113
nCO1 Control 5-4 45,250,29
AO1 Lithium 5-4 34,15,0
AO1 Control 5-4 9,133,37
AO1 Control 5-4 36,192,6
AO1 Lithium 5-4 12,18,28
nCO1 Lithium 5-4 11,282,92
CO1 Lithium 5-4 38,193,59
nCO1 Lithium 5-4 9,308,80
nCO1 Lithium 5-4 15,244,89
AO1 Lithium 5-4 33,102,49
nCO1 Lithium 5-4 49,254,14
AO1 Control 5-4 6,219,67
CO1 Control 5-4 12,328,69
CO1 Control 5-4 15,200,82
nCO1 Lithium 5-4 6,282,90
ACO1 Control 5-4 25,98,24
ACO1 Lithium 5-4 3,120,38
CO1 Control 5-4 29,190,82
AO1 Control 5-4 26,101,5
nCO1 Lithium 5-4 23,329,112
ACO1 Control 5-4 47,203,22
AO1 Lithium 5-4 15,37,10
CO1 Control 5-4 49,256,47
ACO1 Control 5-4 42,161,25
CO1 Lithium 5-4 46,307,52
ACO1 Control 5-4 26,173,54
ACO1 Lithium 5-4 12,535,0
CO1 Lithium 5-4 47,364,78
ACO1 Lithium 5-4 42,202,37
nCO1 Lithium 5-4 13,267,90
nCO1 Control 5-4 48,27,0
AO1 Control 5-4 39,109,35
ACO1 Control 5-4 41,105,18
CO1 Lithium 5-4 28,218,76
nCO1 Control 5-4 16,853,0
ACO1 Lithium 5-4 1,72,13
ACO1 Lithium 5-4 38,149,0
nCO1 Lithium 5-4 7,324,88
CO1 Control 5-4 28,141,50
AO1 Lithium 5-4 30,66,41
ACO1 Control 5-4 22,236,29
nCO1 Lithium 5-4 16,327,117
ACO1 Control 5-4 18,152,22
CO1 Control 5-4 37,354,52
AO1 Control 5-4 47,286,33
AO1 Lithium 5-4 6,425,0
AO1 Control 5-4 44,206,30
nCO1 Control 5-4 36,258,1
AO1 Control 5-4 17,400,0
CO1 Lithium 5-4 14,478,0
nCO1 Lithium 5-4 17,360,83
nCO1 Control 5-4 38,232,91
AO1 Control 5-4 49,73,23
CO1 Lithium 5-4 8,198,36
CO1 Control 5-4 2,265,23
CO1 Lithium 5-4 34,176,25
AO1 Control 5-4 4,180,36
AO1 Lithium 5-4 41,79,4
ACO1 Lithium 5-4 48,81,36
nCO1 Control 5-4 22,248,75
AO1 Lithium 5-4 28,373,0
ACO1 Control 5-4 34,110,36
AO1 Lithium 5-4 4,179,0
AO1 Lithium 5-4 16,98,22
AO1 Control 5-4 31,270,35
nCO1 Control 5-4 34,186,68
AO1 Control 5-4 37,71,9
ACO1 Lithium 5-4 36,160,26
nCO1 Control 5-4 50,227,45
CO1 Control 5-4 1,501,0
AO1 Control 5-4 32,37,11
AO1 Control 5-4 5,154,9
AO1 Lithium 5-4 31,131,19
nCO1 Control 5-4 11,296,114
nCO1 Lithium 5-4 30,53,5
AO1 Lithium 5-4 11,419,13
nCO1 Lithium 5-4 28,275,84
CO1 Lithium 5-4 2,212,86
CO1 Lithium 5-4 6,664,0
nCO1 Lithium 5-4 29,218,92
CO1 Lithium 5-4 11,276,79
