RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,45,61
CO1 Control 5-4 34,29,37
CO1 Control 5-4 41,64,43
nCO1 Lithium 5-4 32,8,10
AO1 Control 5-4 25,53,18
nCO1 Lithium 5-4 46,80,97
CO1 Control 5-4 14,54,73
nCO1 Control 5-4 8,68,77
AO1 Lithium 5-4 40,0,9
nCO1 Lithium 5-4 19,82,50
ACO1 Lithium 5-4 14,2,0
ACO1 Control 5-4 33,15,0
AO1 Control 5-4 7,31,15
AO1 Lithium 5-4 14,15,4
ACO1 Lithium 5-4 9,29,31
ACO1 Control 5-4 36,60,36
ACO1 Control 5-4 40,1,0
CO1 Control 5-4 45,72,81
CO1 Lithium 5-4 50,53,54
AO1 Control 5-4 27,17,3
ACO1 Lithium 5-4 6,27,26
AO1 Control 5-4 42,22,22
ACO1 Control 5-4 17,10,5
CO1 Lithium 5-4 13,52,62
AO1 Lithium 5-4 46,9,0
AO1 Control 5-4 33,28,36
CO1 Lithium 5-4 35,57,86
nCO1 Lithium 5-4 50,142,94
CO1 Lithium 5-4 43,28,52
CO1 Control 5-4 3,47,51
ACO1 Lithium 5-4 26,11,4
CO1 Control 5-4 5,0,0
AO1 Control 5-4 41,50,28
CO1 Control 5-4 21,80,69
nCO1 Control 5-4 30,92,55
AO1 Lithium 5-4 37,37,42
nCO1 Control 5-4 14,54,48
CO1 Lithium 5-4 23,71,92
ACO1 Lithium 5-4 40,2,9
nCO1 Lithium 5-4 41,91,76
ACO1 Control 5-4 21,50,58
CO1 Lithium 5-4 20,48,61
AO1 Control 5-4 19,26,0
ACO1 Lithium 5-4 23,18,10
ACO1 Control 5-4 39,40,5
AO1 Lithium 5-4 39,2,0
ACO1 Lithium 5-4 20,8,19
CO1 Lithium 5-4 42,16,0
CO1 Lithium 5-4 32,72,82
nCO1 Control 5-4 44,135,113
nCO1 Control 5-4 45,58,29
AO1 Lithium 5-4 34,9,0
AO1 Control 5-4 9,25,37
AO1 Control 5-4 36,28,6
AO1 Lithium 5-4 12,13,28
nCO1 Lithium 5-4 11,71,92
CO1 Lithium 5-4 38,51,59
nCO1 Lithium 5-4 9,121,80
nCO1 Lithium 5-4 15,82,89
AO1 Lithium 5-4 33,32,49
nCO1 Lithium 5-4 49,61,14
AO1 Control 5-4 6,43,67
CO1 Control 5-4 12,62,69
CO1 Control 5-4 15,87,82
nCO1 Lithium 5-4 6,62,90
ACO1 Control 5-4 25,15,24
ACO1 Lithium 5-4 3,22,38
CO1 Control 5-4 29,63,82
AO1 Control 5-4 26,9,5
nCO1 Lithium 5-4 23,122,112
ACO1 Control 5-4 47,36,22
AO1 Lithium 5-4 15,5,10
CO1 Control 5-4 49,34,47
ACO1 Control 5-4 42,19,25
CO1 Lithium 5-4 46,59,52
ACO1 Control 5-4 26,57,54
ACO1 Lithium 5-4 12,12,0
CO1 Lithium 5-4 47,98,78
ACO1 Lithium 5-4 42,30,37
nCO1 Lithium 5-4 13,69,90
nCO1 Control 5-4 48,4,0
AO1 Control 5-4 39,29,35
ACO1 Control 5-4 41,9,18
CO1 Lithium 5-4 28,91,76
nCO1 Control 5-4 16,13,0
ACO1 Lithium 5-4 1,33,13
ACO1 Lithium 5-4 38,5,0
nCO1 Lithium 5-4 7,75,88
CO1 Control 5-4 28,53,50
AO1 Lithium 5-4 30,44,41
ACO1 Control 5-4 22,30,29
nCO1 Lithium 5-4 16,82,117
ACO1 Control 5-4 18,11,22
CO1 Control 5-4 37,109,52
AO1 Control 5-4 47,31,33
AO1 Lithium 5-4 6,0,0
AO1 Control 5-4 44,35,30
nCO1 Control 5-4 36,36,1
AO1 Control 5-4 17,16,0
CO1 Lithium 5-4 14,149,0
nCO1 Lithium 5-4 17,91,83
nCO1 Control 5-4 38,69,91
AO1 Control 5-4 49,31,23
CO1 Lithium 5-4 8,48,36
CO1 Control 5-4 2,66,23
CO1 Lithium 5-4 34,40,25
AO1 Control 5-4 4,49,36
AO1 Lithium 5-4 41,7,4
ACO1 Lithium 5-4 48,22,36
nCO1 Control 5-4 22,74,75
AO1 Lithium 5-4 28,19,0
ACO1 Control 5-4 34,45,36
AO1 Lithium 5-4 4,10,0
AO1 Lithium 5-4 16,33,22
AO1 Control 5-4 31,41,35
nCO1 Control 5-4 34,66,68
AO1 Control 5-4 37,3,9
ACO1 Lithium 5-4 36,36,26
nCO1 Control 5-4 50,72,45
CO1 Control 5-4 1,127,0
AO1 Control 5-4 32,15,11
AO1 Control 5-4 5,11,9
AO1 Lithium 5-4 31,18,19
nCO1 Control 5-4 11,121,114
nCO1 Lithium 5-4 30,5,5
AO1 Lithium 5-4 11,107,13
nCO1 Lithium 5-4 28,90,84
CO1 Lithium 5-4 2,120,86
CO1 Lithium 5-4 6,215,0
nCO1 Lithium 5-4 29,102,92
CO1 Lithium 5-4 11,90,79
ACO1 Lithium 5-4 27,59,49
CO1 Control 5-4 24,75,0
CO1 Lithium 5-4 12,106,103
CO1 Lithium 5-4 5,100,92
ACO1 Lithium 5-4 2,16,1
ACO1 Lithium 5-4 19,50,35
CO1 Lithium 5-4 7,55,59
ACO1 Lithium 5-4 4,10,2
ACO1 Control 5-4 28,12,0
CO1 Control 5-4 26,77,105
CO1 Control 5-4 18,167,0
AO1 Lithium 5-4 8,8,9
CO1 Lithium 5-4 4,150,0
ACO1 Control 5-4 45,20,0
CO1 Lithium 5-4 26,90,87
CO1 Control 5-4 6,49,44
ACO1 Control 5-4 27,14,9
CO1 Control 5-4 31,67,81
ACO1 Control 5-4 50,34,3
AO1 Control 5-4 14,32,18
CO1 Lithium 5-4 40,54,88
nCO1 Control 5-4 39,86,49
ACO1 Lithium 5-4 43,1,0
nCO1 Lithium 5-4 48,55,64
AO1 Lithium 5-4 42,44,49
ACO1 Control 5-4 32,29,35
nCO1 Lithium 5-4 2,136,118
nCO1 Control 5-4 29,68,63
AO1 Control 5-4 29,26,49
nCO1 Lithium 5-4 24,79,53
nCO1 Control 5-4 33,79,94
nCO1 Control 5-4 4,12,0
