RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,45,61
CO1 Control 5-4 34,12,37
CO1 Control 5-4 41,55,43
nCO1 Lithium 5-4 32,0,10
AO1 Control 5-4 25,19,18
nCO1 Lithium 5-4 46,71,97
CO1 Control 5-4 14,51,73
nCO1 Control 5-4 8,63,77
AO1 Lithium 5-4 40,0,9
nCO1 Lithium 5-4 19,60,50
ACO1 Lithium 5-4 14,2,0
ACO1 Control 5-4 33,0,0
AO1 Control 5-4 7,18,15
AO1 Lithium 5-4 14,14,4
ACO1 Lithium 5-4 9,19,31
ACO1 Control 5-4 36,49,36
ACO1 Control 5-4 40,0,0
CO1 Control 5-4 45,73,81
CO1 Lithium 5-4 50,51,54
AO1 Control 5-4 27,7,3
ACO1 Lithium 5-4 6,25,26
AO1 Control 5-4 42,20,22
ACO1 Control 5-4 17,7,5
CO1 Lithium 5-4 13,52,62
AO1 Lithium 5-4 46,0,0
AO1 Control 5-4 33,42,36
CO1 Lithium 5-4 35,50,86
nCO1 Lithium 5-4 50,87,94
CO1 Lithium 5-4 43,32,52
CO1 Control 5-4 3,35,51
ACO1 Lithium 5-4 26,6,4
CO1 Control 5-4 5,0,0
AO1 Control 5-4 41,25,28
CO1 Control 5-4 21,65,69
nCO1 Control 5-4 30,69,55
AO1 Lithium 5-4 37,48,42
nCO1 Control 5-4 14,45,48
CO1 Lithium 5-4 23,70,92
ACO1 Lithium 5-4 40,2,9
nCO1 Lithium 5-4 41,84,76
ACO1 Control 5-4 21,53,58
CO1 Lithium 5-4 20,53,61
AO1 Control 5-4 19,10,0
ACO1 Lithium 5-4 23,14,10
ACO1 Control 5-4 39,12,5
AO1 Lithium 5-4 39,1,0
ACO1 Lithium 5-4 20,15,19
CO1 Lithium 5-4 42,15,0
CO1 Lithium 5-4 32,62,82
nCO1 Control 5-4 44,114,113
nCO1 Control 5-4 45,39,29
AO1 Lithium 5-4 34,1,0
AO1 Control 5-4 9,25,37
AO1 Control 5-4 36,20,6
AO1 Lithium 5-4 12,12,28
nCO1 Lithium 5-4 11,86,92
CO1 Lithium 5-4 38,54,59
nCO1 Lithium 5-4 9,79,80
nCO1 Lithium 5-4 15,76,89
AO1 Lithium 5-4 33,29,49
nCO1 Lithium 5-4 49,34,14
AO1 Control 5-4 6,50,67
CO1 Control 5-4 12,57,69
CO1 Control 5-4 15,83,82
