RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,109,61
CO1 Control 5-4 34,52,37
CO1 Control 5-4 41,189,43
nCO1 Lithium 5-4 32,6,10
AO1 Control 5-4 25,97,18
nCO1 Lithium 5-4 46,164,97
CO1 Control 5-4 14,132,73
nCO1 Control 5-4 8,144,77
AO1 Lithium 5-4 40,10,9
nCO1 Lithium 5-4 19,179,50
ACO1 Lithium 5-4 14,6,0
ACO1 Control 5-4 33,345,0
AO1 Control 5-4 7,89,15
AO1 Lithium 5-4 14,45,4
ACO1 Lithium 5-4 9,115,31
ACO1 Control 5-4 36,163,36
ACO1 Control 5-4 40,31,0
CO1 Control 5-4 45,127,81
CO1 Lithium 5-4 50,169,54
AO1 Control 5-4 27,51,3
ACO1 Lithium 5-4 6,34,26
AO1 Control 5-4 42,63,22
ACO1 Control 5-4 17,84,5
CO1 Lithium 5-4 13,110,62
AO1 Lithium 5-4 46,36,0
AO1 Control 5-4 33,97,36
CO1 Lithium 5-4 35,120,86
nCO1 Lithium 5-4 50,199,94
CO1 Lithium 5-4 43,143,52
CO1 Control 5-4 3,95,51
ACO1 Lithium 5-4 26,69,4
CO1 Control 5-4 5,75,0
AO1 Control 5-4 41,200,28
CO1 Control 5-4 21,141,69
nCO1 Control 5-4 30,129,55
AO1 Lithium 5-4 37,118,42
nCO1 Control 5-4 14,104,48
CO1 Lithium 5-4 23,147,92
ACO1 Lithium 5-4 40,31,9
nCO1 Lithium 5-4 41,167,76
ACO1 Control 5-4 21,112,58
CO1 Lithium 5-4 20,128,61
AO1 Control 5-4 19,177,0
ACO1 Lithium 5-4 23,17,10
ACO1 Control 5-4 39,59,5
AO1 Lithium 5-4 39,20,0
ACO1 Lithium 5-4 20,20,19
CO1 Lithium 5-4 42,134,0
CO1 Lithium 5-4 32,192,82
nCO1 Control 5-4 44,206,113
nCO1 Control 5-4 45,123,29
AO1 Lithium 5-4 34,18,0
AO1 Control 5-4 9,71,37
AO1 Control 5-4 36,111,6
AO1 Lithium 5-4 12,21,28
nCO1 Lithium 5-4 11,184,92
CO1 Lithium 5-4 38,135,59
nCO1 Lithium 5-4 9,225,80
nCO1 Lithium 5-4 15,168,89
AO1 Lithium 5-4 33,79,49
nCO1 Lithium 5-4 49,112,14
AO1 Control 5-4 6,101,67
CO1 Control 5-4 12,207,69
CO1 Control 5-4 15,105,82
nCO1 Lithium 5-4 6,162,90
ACO1 Control 5-4 25,37,24
ACO1 Lithium 5-4 3,41,38
CO1 Control 5-4 29,118,82
AO1 Control 5-4 26,57,5
nCO1 Lithium 5-4 23,205,112
ACO1 Control 5-4 47,103,22
AO1 Lithium 5-4 15,17,10
CO1 Control 5-4 49,123,47
ACO1 Control 5-4 42,101,25
CO1 Lithium 5-4 46,163,52
ACO1 Control 5-4 26,101,54
ACO1 Lithium 5-4 12,150,0
CO1 Lithium 5-4 47,207,78
ACO1 Lithium 5-4 42,90,37
nCO1 Lithium 5-4 13,146,90
nCO1 Control 5-4 48,21,0
AO1 Control 5-4 39,87,35
ACO1 Control 5-4 41,61,18
CO1 Lithium 5-4 28,157,76
nCO1 Control 5-4 16,140,0
ACO1 Lithium 5-4 1,40,13
ACO1 Lithium 5-4 38,55,0
nCO1 Lithium 5-4 7,189,88
CO1 Control 5-4 28,74,50
AO1 Lithium 5-4 30,58,41
ACO1 Control 5-4 22,153,29
nCO1 Lithium 5-4 16,200,117
ACO1 Control 5-4 18,86,22
CO1 Control 5-4 37,223,52
AO1 Control 5-4 47,139,33
AO1 Lithium 5-4 6,75,0
AO1 Control 5-4 44,88,30
nCO1 Control 5-4 36,176,1
AO1 Control 5-4 17,210,0
CO1 Lithium 5-4 14,342,0
nCO1 Lithium 5-4 17,235,83
nCO1 Control 5-4 38,138,91
AO1 Control 5-4 49,32,23
CO1 Lithium 5-4 8,111,36
CO1 Control 5-4 2,127,23
CO1 Lithium 5-4 34,133,25
AO1 Control 5-4 4,88,36
AO1 Lithium 5-4 41,29,4
ACO1 Lithium 5-4 48,61,36
nCO1 Control 5-4 22,177,75
AO1 Lithium 5-4 28,80,0
ACO1 Control 5-4 34,63,36
AO1 Lithium 5-4 4,192,0
AO1 Lithium 5-4 16,84,22
AO1 Control 5-4 31,109,35
nCO1 Control 5-4 34,136,68
AO1 Control 5-4 37,57,9
ACO1 Lithium 5-4 36,102,26
nCO1 Control 5-4 50,120,45
CO1 Control 5-4 1,358,0
AO1 Control 5-4 32,29,11
AO1 Control 5-4 5,93,9
AO1 Lithium 5-4 31,48,19
nCO1 Control 5-4 11,202,114
nCO1 Lithium 5-4 30,21,5
AO1 Lithium 5-4 11,270,13
nCO1 Lithium 5-4 28,166,84
CO1 Lithium 5-4 2,163,86
CO1 Lithium 5-4 6,375,0
nCO1 Lithium 5-4 29,171,92
CO1 Lithium 5-4 11,159,79
ACO1 Lithium 5-4 27,125,49
CO1 Control 5-4 24,452,0
CO1 Lithium 5-4 12,187,103
CO1 Lithium 5-4 5,116,92
ACO1 Lithium 5-4 2,22,1
ACO1 Lithium 5-4 19,96,35
CO1 Lithium 5-4 7,105,59
ACO1 Lithium 5-4 4,12,2
ACO1 Control 5-4 28,14,0
CO1 Control 5-4 26,152,105
CO1 Control 5-4 18,549,0
AO1 Lithium 5-4 8,76,9
CO1 Lithium 5-4 4,295,0
ACO1 Control 5-4 45,83,0
CO1 Lithium 5-4 26,213,87
CO1 Control 5-4 6,191,44
ACO1 Control 5-4 27,36,9
CO1 Control 5-4 31,183,81
ACO1 Control 5-4 50,38,3
AO1 Control 5-4 14,128,18
CO1 Lithium 5-4 40,194,88
nCO1 Control 5-4 39,208,49
ACO1 Lithium 5-4 43,15,0
nCO1 Lithium 5-4 48,108,64
AO1 Lithium 5-4 42,111,49
ACO1 Control 5-4 32,68,35
nCO1 Lithium 5-4 2,238,118
nCO1 Control 5-4 29,116,63
AO1 Control 5-4 29,50,49
nCO1 Lithium 5-4 24,149,53
nCO1 Control 5-4 33,156,94
nCO1 Control 5-4 4,50,0
AO1 Lithium 5-4 21,35,14
CO1 Control 5-4 33,83,66
nCO1 Lithium 5-4 34,26,0
CO1 Control 5-4 8,77,60
AO1 Control 5-4 43,60,28
nCO1 Control 5-4 10,166,87
AO1 Lithium 5-4 35,42,2
CO1 Lithium 5-4 18,134,34
nCO1 Control 5-4 46,156,62
CO1 Control 5-4 50,161,46
AO1 Lithium 5-4 45,141,38
ACO1 Lithium 5-4 34,431,0
nCO1 Control 5-4 2,153,87
ACO1 Lithium 5-4 11,134,45
nCO1 Lithium 5-4 22,103,0
AO1 Lithium 5-4 7,78,49
AO1 Control 5-4 11,91,45
ACO1 Lithium 5-4 16,36,16
ACO1 Lithium 5-4 17,50,34
nCO1 Control 5-4 9,55,0
nCO1 Control 5-4 18,155,105
ACO1 Control 5-4 46,104,46
CO1 Lithium 5-4 30,164,89
ACO1 Lithium 5-4 31,35,11
ACO1 Control 5-4 24,44,16
CO1 Lithium 5-4 9,94,62
CO1 Lithium 5-4 25,121,90
AO1 Control 5-4 16,158,37
CO1 Lithium 5-4 3,110,89
ACO1 Lithium 5-4 30,90,0
ACO1 Lithium 5-4 39,28,10
ACO1 Lithium 5-4 49,242,0
ACO1 Control 5-4 31,164,92
CO1 Lithium 5-4 17,252,82
ACO1 Lithium 5-4 22,42,24
ACO1 Control 5-4 49,207,9
ACO1 Control 5-4 8,40,0
nCO1 Lithium 5-4 43,6,10
nCO1 Control 5-4 41,241,111
AO1 Lithium 5-4 49,49,8
AO1 Control 5-4 50,31,23
AO1 Lithium 5-4 5,14,2
nCO1 Control 5-4 20,170,85
nCO1 Control 5-4 5,96,80
ACO1 Control 5-4 12,75,5
nCO1 Lithium 5-4 47,132,61
AO1 Control 5-4 10,49,0
ACO1 Lithium 5-4 50,18,4
CO1 Control 5-4 36,230,76
ACO1 Control 5-4 3,55,10
nCO1 Lithium 5-4 39,100,63
ACO1 Lithium 5-4 47,435,0
nCO1 Control 5-4 26,204,0
CO1 Lithium 5-4 21,192,67
AO1 Control 5-4 45,40,29
nCO1 Control 5-4 23,185,100
CO1 Control 5-4 32,109,51
ACO1 Control 5-4 10,75,17
nCO1 Control 5-4 6,151,74
nCO1 Control 5-4 31,194,71
nCO1 Lithium 5-4 36,202,121
ACO1 Control 5-4 9,68,14
CO1 Lithium 5-4 15,150,125
AO1 Lithium 5-4 20,20,18
nCO1 Control 5-4 12,183,52
nCO1 Lithium 5-4 18,120,58
AO1 Control 5-4 20,66,5
nCO1 Lithium 5-4 26,168,97
CO1 Lithium 5-4 19,110,80
nCO1 Lithium 5-4 8,164,48
AO1 Control 5-4 40,40,11
CO1 Control 5-4 40,204,100
AO1 Lithium 5-4 17,52,13
nCO1 Lithium 5-4 44,179,101
CO1 Control 5-4 48,118,28
CO1 Control 5-4 27,143,62
CO1 Control 5-4 22,414,0
CO1 Control 5-4 13,138,66
AO1 Lithium 5-4 29,57,18
nCO1 Lithium 5-4 10,207,109
ACO1 Control 5-4 15,63,17
AO1 Control 5-4 1,57,12
AO1 Control 5-4 38,27,4
nCO1 Lithium 5-4 33,47,0
ACO1 Lithium 5-4 13,73,52
CO1 Lithium 5-4 16,345,0
ACO1 Control 5-4 23,180,67
AO1 Control 5-4 12,41,47
ACO1 Lithium 5-4 25,93,37
CO1 Control 5-4 10,126,71
nCO1 Lithium 5-4 31,112,56
AO1 Control 5-4 28,35,0
AO1 Lithium 5-4 24,17,12
ACO1 Control 5-4 30,88,0
nCO1 Lithium 5-4 20,230,119
ACO1 Control 5-4 14,211,1
nCO1 Control 5-4 27,111,51
CO1 Lithium 5-4 45,140,89
AO1 Control 5-4 8,69,40
CO1 Lithium 5-4 37,189,88
ACO1 Control 5-4 6,233,34
AO1 Control 5-4 15,94,35
ACO1 Control 5-4 4,172,0
CO1 Control 5-4 30,132,43
nCO1 Lithium 5-4 42,187,91
nCO1 Control 5-4 24,125,53
ACO1 Lithium 5-4 10,68,0
CO1 Lithium 5-4 36,257,30
AO1 Lithium 5-4 43,136,49
AO1 Control 5-4 30,53,18
AO1 Lithium 5-4 9,35,31
ACO1 Lithium 5-4 35,441,0
CO1 Lithium 5-4 1,158,38
