RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,166,61
CO1 Control 5-4 34,111,37
CO1 Control 5-4 41,261,43
nCO1 Lithium 5-4 32,108,10
AO1 Control 5-4 25,194,18
nCO1 Lithium 5-4 46,299,97
CO1 Control 5-4 14,160,73
nCO1 Control 5-4 8,212,77
AO1 Lithium 5-4 40,29,9
nCO1 Lithium 5-4 19,238,50
ACO1 Lithium 5-4 14,8,0
ACO1 Control 5-4 33,523,0
AO1 Control 5-4 7,158,15
AO1 Lithium 5-4 14,148,4
ACO1 Lithium 5-4 9,177,31
ACO1 Control 5-4 36,241,36
ACO1 Control 5-4 40,83,0
CO1 Control 5-4 45,232,81
CO1 Lithium 5-4 50,315,54
AO1 Control 5-4 27,97,3
ACO1 Lithium 5-4 6,52,26
AO1 Control 5-4 42,146,22
ACO1 Control 5-4 17,132,5
CO1 Lithium 5-4 13,147,62
AO1 Lithium 5-4 46,35,0
AO1 Control 5-4 33,125,36
CO1 Lithium 5-4 35,201,86
nCO1 Lithium 5-4 50,309,94
CO1 Lithium 5-4 43,179,52
CO1 Control 5-4 3,188,51
ACO1 Lithium 5-4 26,137,4
CO1 Control 5-4 5,43,0
AO1 Control 5-4 41,279,28
CO1 Control 5-4 21,234,69
nCO1 Control 5-4 30,266,55
AO1 Lithium 5-4 37,140,42
nCO1 Control 5-4 14,146,48
CO1 Lithium 5-4 23,261,92
ACO1 Lithium 5-4 40,81,9
nCO1 Lithium 5-4 41,202,76
ACO1 Control 5-4 21,154,58
CO1 Lithium 5-4 20,254,61
AO1 Control 5-4 19,444,0
ACO1 Lithium 5-4 23,19,10
ACO1 Control 5-4 39,63,5
AO1 Lithium 5-4 39,40,0
ACO1 Lithium 5-4 20,102,19
CO1 Lithium 5-4 42,171,0
CO1 Lithium 5-4 32,265,82
nCO1 Control 5-4 44,282,113
nCO1 Control 5-4 45,232,29
AO1 Lithium 5-4 34,31,0
AO1 Control 5-4 9,117,37
AO1 Control 5-4 36,152,6
AO1 Lithium 5-4 12,33,28
nCO1 Lithium 5-4 11,239,92
CO1 Lithium 5-4 38,155,59
nCO1 Lithium 5-4 9,282,80
nCO1 Lithium 5-4 15,217,89
AO1 Lithium 5-4 33,87,49
nCO1 Lithium 5-4 49,227,14
AO1 Control 5-4 6,160,67
CO1 Control 5-4 12,257,69
CO1 Control 5-4 15,168,82
nCO1 Lithium 5-4 6,230,90
ACO1 Control 5-4 25,98,24
ACO1 Lithium 5-4 3,107,38
CO1 Control 5-4 29,179,82
AO1 Control 5-4 26,86,5
nCO1 Lithium 5-4 23,250,112
ACO1 Control 5-4 47,185,22
AO1 Lithium 5-4 15,30,10
CO1 Control 5-4 49,228,47
ACO1 Control 5-4 42,143,25
CO1 Lithium 5-4 46,254,52
ACO1 Control 5-4 26,177,54
ACO1 Lithium 5-4 12,424,0
CO1 Lithium 5-4 47,295,78
ACO1 Lithium 5-4 42,194,37
nCO1 Lithium 5-4 13,244,90
nCO1 Control 5-4 48,26,0
AO1 Control 5-4 39,90,35
ACO1 Control 5-4 41,91,18
CO1 Lithium 5-4 28,184,76
nCO1 Control 5-4 16,353,0
ACO1 Lithium 5-4 1,69,13
ACO1 Lithium 5-4 38,103,0
nCO1 Lithium 5-4 7,256,88
CO1 Control 5-4 28,163,50
AO1 Lithium 5-4 30,74,41
ACO1 Control 5-4 22,220,29
nCO1 Lithium 5-4 16,269,117
ACO1 Control 5-4 18,159,22
CO1 Control 5-4 37,321,52
AO1 Control 5-4 47,153,33
AO1 Lithium 5-4 6,159,0
AO1 Control 5-4 44,177,30
nCO1 Control 5-4 36,213,1
AO1 Control 5-4 17,307,0
CO1 Lithium 5-4 14,321,0
nCO1 Lithium 5-4 17,256,83
nCO1 Control 5-4 38,191,91
AO1 Control 5-4 49,77,23
CO1 Lithium 5-4 8,174,36
CO1 Control 5-4 2,226,23
CO1 Lithium 5-4 34,175,25
AO1 Control 5-4 4,207,36
AO1 Lithium 5-4 41,71,4
ACO1 Lithium 5-4 48,89,36
nCO1 Control 5-4 22,212,75
AO1 Lithium 5-4 28,39,0
ACO1 Control 5-4 34,77,36
AO1 Lithium 5-4 4,175,0
AO1 Lithium 5-4 16,88,22
AO1 Control 5-4 31,200,35
nCO1 Control 5-4 34,164,68
AO1 Control 5-4 37,42,9
ACO1 Lithium 5-4 36,134,26
nCO1 Control 5-4 50,231,45
CO1 Control 5-4 1,325,0
AO1 Control 5-4 32,48,11
AO1 Control 5-4 5,154,9
AO1 Lithium 5-4 31,135,19
nCO1 Control 5-4 11,249,114
nCO1 Lithium 5-4 30,56,5
AO1 Lithium 5-4 11,403,13
nCO1 Lithium 5-4 28,227,84
CO1 Lithium 5-4 2,201,86
CO1 Lithium 5-4 6,468,0
nCO1 Lithium 5-4 29,220,92
CO1 Lithium 5-4 11,225,79
ACO1 Lithium 5-4 27,167,49
CO1 Control 5-4 24,651,0
CO1 Lithium 5-4 12,266,103
CO1 Lithium 5-4 5,183,92
ACO1 Lithium 5-4 2,109,1
ACO1 Lithium 5-4 19,141,35
CO1 Lithium 5-4 7,167,59
ACO1 Lithium 5-4 4,20,2
ACO1 Control 5-4 28,69,0
CO1 Control 5-4 26,215,105
CO1 Control 5-4 18,1064,0
AO1 Lithium 5-4 8,102,9
CO1 Lithium 5-4 4,254,0
ACO1 Control 5-4 45,264,0
CO1 Lithium 5-4 26,287,87
CO1 Control 5-4 6,293,44
ACO1 Control 5-4 27,67,9
CO1 Control 5-4 31,271,81
ACO1 Control 5-4 50,104,3
AO1 Control 5-4 14,223,18
CO1 Lithium 5-4 40,219,88
nCO1 Control 5-4 39,281,49
ACO1 Lithium 5-4 43,33,0
nCO1 Lithium 5-4 48,146,64
AO1 Lithium 5-4 42,229,49
ACO1 Control 5-4 32,123,35
nCO1 Lithium 5-4 2,383,118
nCO1 Control 5-4 29,174,63
AO1 Control 5-4 29,100,49
nCO1 Lithium 5-4 24,240,53
nCO1 Control 5-4 33,238,94
nCO1 Control 5-4 4,73,0
AO1 Lithium 5-4 21,86,14
CO1 Control 5-4 33,176,66
nCO1 Lithium 5-4 34,31,0
CO1 Control 5-4 8,141,60
AO1 Control 5-4 43,103,28
nCO1 Control 5-4 10,259,87
AO1 Lithium 5-4 35,86,2
CO1 Lithium 5-4 18,237,34
nCO1 Control 5-4 46,239,62
CO1 Control 5-4 50,267,46
AO1 Lithium 5-4 45,188,38
ACO1 Lithium 5-4 34,377,0
nCO1 Control 5-4 2,243,87
ACO1 Lithium 5-4 11,184,45
nCO1 Lithium 5-4 22,103,0
AO1 Lithium 5-4 7,100,49
AO1 Control 5-4 11,181,45
ACO1 Lithium 5-4 16,93,16
ACO1 Lithium 5-4 17,107,34
nCO1 Control 5-4 9,147,0
nCO1 Control 5-4 18,253,105
ACO1 Control 5-4 46,132,46
CO1 Lithium 5-4 30,256,89
ACO1 Lithium 5-4 31,52,11
ACO1 Control 5-4 24,98,16
CO1 Lithium 5-4 9,152,62
CO1 Lithium 5-4 25,261,90
AO1 Control 5-4 16,273,37
CO1 Lithium 5-4 3,148,89
ACO1 Lithium 5-4 30,122,0
ACO1 Lithium 5-4 39,45,10
ACO1 Lithium 5-4 49,262,0
ACO1 Control 5-4 31,234,92
CO1 Lithium 5-4 17,344,82
ACO1 Lithium 5-4 22,69,24
ACO1 Control 5-4 49,326,9
ACO1 Control 5-4 8,62,0
nCO1 Lithium 5-4 43,24,10
nCO1 Control 5-4 41,347,111
AO1 Lithium 5-4 49,43,8
