RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,19,61
CO1 Control 5-4 34,6,37
CO1 Control 5-4 41,18,43
nCO1 Lithium 5-4 32,1,10
AO1 Control 5-4 25,4,18
nCO1 Lithium 5-4 46,56,97
CO1 Control 5-4 14,22,73
nCO1 Control 5-4 8,32,77
AO1 Lithium 5-4 40,0,9
nCO1 Lithium 5-4 19,43,50
ACO1 Lithium 5-4 14,0,0
ACO1 Control 5-4 33,0,0
AO1 Control 5-4 7,3,15
AO1 Lithium 5-4 14,1,4
ACO1 Lithium 5-4 9,7,31
ACO1 Control 5-4 36,23,36
ACO1 Control 5-4 40,0,0
CO1 Control 5-4 45,40,81
CO1 Lithium 5-4 50,39,54
AO1 Control 5-4 27,4,3
ACO1 Lithium 5-4 6,4,26
AO1 Control 5-4 42,7,22
ACO1 Control 5-4 17,3,5
CO1 Lithium 5-4 13,20,62
AO1 Lithium 5-4 46,0,0
AO1 Control 5-4 33,19,36
CO1 Lithium 5-4 35,30,86
nCO1 Lithium 5-4 50,79,94
CO1 Lithium 5-4 43,15,52
CO1 Control 5-4 3,7,51
ACO1 Lithium 5-4 26,3,4
CO1 Control 5-4 5,0,0
AO1 Control 5-4 41,8,28
CO1 Control 5-4 21,50,69
nCO1 Control 5-4 30,26,55
AO1 Lithium 5-4 37,20,42
nCO1 Control 5-4 14,24,48
CO1 Lithium 5-4 23,40,92
ACO1 Lithium 5-4 40,0,9
nCO1 Lithium 5-4 41,86,76
ACO1 Control 5-4 21,42,58
CO1 Lithium 5-4 20,10,61
AO1 Control 5-4 19,24,0
ACO1 Lithium 5-4 23,5,10
ACO1 Control 5-4 39,1,5
AO1 Lithium 5-4 39,1,0
ACO1 Lithium 5-4 20,7,19
CO1 Lithium 5-4 42,2,0
CO1 Lithium 5-4 32,33,82
nCO1 Control 5-4 44,85,113
nCO1 Control 5-4 45,17,29
AO1 Lithium 5-4 34,0,0
AO1 Control 5-4 9,5,37
AO1 Control 5-4 36,9,6
AO1 Lithium 5-4 12,0,28
nCO1 Lithium 5-4 11,55,92
CO1 Lithium 5-4 38,31,59
nCO1 Lithium 5-4 9,68,80
nCO1 Lithium 5-4 15,34,89
AO1 Lithium 5-4 33,20,49
nCO1 Lithium 5-4 49,3,14
AO1 Control 5-4 6,30,67
CO1 Control 5-4 12,18,69
CO1 Control 5-4 15,53,82
nCO1 Lithium 5-4 6,42,90
ACO1 Control 5-4 25,3,24
ACO1 Lithium 5-4 3,1,38
CO1 Control 5-4 29,18,82
AO1 Control 5-4 26,1,5
nCO1 Lithium 5-4 23,85,112
ACO1 Control 5-4 47,4,22
AO1 Lithium 5-4 15,0,10
CO1 Control 5-4 49,5,47
ACO1 Control 5-4 42,1,25
CO1 Lithium 5-4 46,7,52
ACO1 Control 5-4 26,22,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,61,78
ACO1 Lithium 5-4 42,16,37
nCO1 Lithium 5-4 13,20,90
nCO1 Control 5-4 48,2,0
AO1 Control 5-4 39,3,35
ACO1 Control 5-4 41,2,18
CO1 Lithium 5-4 28,44,76
nCO1 Control 5-4 16,1,0
ACO1 Lithium 5-4 1,12,13
ACO1 Lithium 5-4 38,0,0
nCO1 Lithium 5-4 7,40,88
CO1 Control 5-4 28,12,50
AO1 Lithium 5-4 30,18,41
ACO1 Control 5-4 22,3,29
nCO1 Lithium 5-4 16,68,117
ACO1 Control 5-4 18,1,22
CO1 Control 5-4 37,5,52
AO1 Control 5-4 47,11,33
AO1 Lithium 5-4 6,0,0
AO1 Control 5-4 44,20,30
nCO1 Control 5-4 36,14,1
AO1 Control 5-4 17,1,0
CO1 Lithium 5-4 14,25,0
nCO1 Lithium 5-4 17,46,83
nCO1 Control 5-4 38,42,91
AO1 Control 5-4 49,6,23
CO1 Lithium 5-4 8,11,36
CO1 Control 5-4 2,23,23
CO1 Lithium 5-4 34,5,25
AO1 Control 5-4 4,7,36
AO1 Lithium 5-4 41,1,4
ACO1 Lithium 5-4 48,8,36
nCO1 Control 5-4 22,41,75
AO1 Lithium 5-4 28,0,0
ACO1 Control 5-4 34,10,36
AO1 Lithium 5-4 4,0,0
AO1 Lithium 5-4 16,20,22
AO1 Control 5-4 31,19,35
nCO1 Control 5-4 34,30,68
AO1 Control 5-4 37,0,9
