RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,55,61
CO1 Control 5-4 34,15,37
CO1 Control 5-4 41,117,43
nCO1 Lithium 5-4 32,3,10
AO1 Control 5-4 25,22,18
nCO1 Lithium 5-4 46,121,97
CO1 Control 5-4 14,85,73
nCO1 Control 5-4 8,86,77
AO1 Lithium 5-4 40,6,9
nCO1 Lithium 5-4 19,84,50
ACO1 Lithium 5-4 14,2,0
ACO1 Control 5-4 33,0,0
AO1 Control 5-4 7,27,15
AO1 Lithium 5-4 14,11,4
ACO1 Lithium 5-4 9,42,31
ACO1 Control 5-4 36,98,36
ACO1 Control 5-4 40,1,0
CO1 Control 5-4 45,98,81
CO1 Lithium 5-4 50,99,54
AO1 Control 5-4 27,9,3
ACO1 Lithium 5-4 6,17,26
AO1 Control 5-4 42,31,22
ACO1 Control 5-4 17,13,5
CO1 Lithium 5-4 13,81,62
AO1 Lithium 5-4 46,16,0
AO1 Control 5-4 33,49,36
CO1 Lithium 5-4 35,70,86
nCO1 Lithium 5-4 50,154,94
CO1 Lithium 5-4 43,65,52
CO1 Control 5-4 3,47,51
ACO1 Lithium 5-4 26,18,4
CO1 Control 5-4 5,15,0
AO1 Control 5-4 41,68,28
CO1 Control 5-4 21,123,69
nCO1 Control 5-4 30,96,55
AO1 Lithium 5-4 37,70,42
nCO1 Control 5-4 14,59,48
CO1 Lithium 5-4 23,82,92
ACO1 Lithium 5-4 40,1,9
nCO1 Lithium 5-4 41,137,76
ACO1 Control 5-4 21,68,58
CO1 Lithium 5-4 20,78,61
AO1 Control 5-4 19,30,0
ACO1 Lithium 5-4 23,7,10
ACO1 Control 5-4 39,9,5
AO1 Lithium 5-4 39,0,0
ACO1 Lithium 5-4 20,15,19
CO1 Lithium 5-4 42,78,0
CO1 Lithium 5-4 32,122,82
nCO1 Control 5-4 44,167,113
nCO1 Control 5-4 45,64,29
AO1 Lithium 5-4 34,0,0
AO1 Control 5-4 9,23,37
AO1 Control 5-4 36,52,6
AO1 Lithium 5-4 12,7,28
nCO1 Lithium 5-4 11,165,92
CO1 Lithium 5-4 38,83,59
nCO1 Lithium 5-4 9,139,80
nCO1 Lithium 5-4 15,88,89
AO1 Lithium 5-4 33,37,49
nCO1 Lithium 5-4 49,51,14
AO1 Control 5-4 6,65,67
CO1 Control 5-4 12,99,69
CO1 Control 5-4 15,94,82
nCO1 Lithium 5-4 6,132,90
ACO1 Control 5-4 25,13,24
ACO1 Lithium 5-4 3,14,38
CO1 Control 5-4 29,67,82
AO1 Control 5-4 26,21,5
nCO1 Lithium 5-4 23,136,112
ACO1 Control 5-4 47,46,22
AO1 Lithium 5-4 15,5,10
CO1 Control 5-4 49,18,47
ACO1 Control 5-4 42,27,25
CO1 Lithium 5-4 46,45,52
ACO1 Control 5-4 26,44,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,110,78
ACO1 Lithium 5-4 42,45,37
nCO1 Lithium 5-4 13,31,90
nCO1 Control 5-4 48,8,0
AO1 Control 5-4 39,33,35
ACO1 Control 5-4 41,22,18
CO1 Lithium 5-4 28,111,76
nCO1 Control 5-4 16,15,0
ACO1 Lithium 5-4 1,18,13
ACO1 Lithium 5-4 38,5,0
nCO1 Lithium 5-4 7,123,88
CO1 Control 5-4 28,46,50
AO1 Lithium 5-4 30,33,41
ACO1 Control 5-4 22,43,29
nCO1 Lithium 5-4 16,165,117
ACO1 Control 5-4 18,25,22
CO1 Control 5-4 37,77,52
AO1 Control 5-4 47,17,33
AO1 Lithium 5-4 6,0,0
AO1 Control 5-4 44,42,30
nCO1 Control 5-4 36,74,1
AO1 Control 5-4 17,5,0
CO1 Lithium 5-4 14,113,0
nCO1 Lithium 5-4 17,122,83
nCO1 Control 5-4 38,91,91
AO1 Control 5-4 49,19,23
CO1 Lithium 5-4 8,53,36
CO1 Control 5-4 2,66,23
CO1 Lithium 5-4 34,33,25
AO1 Control 5-4 4,35,36
AO1 Lithium 5-4 41,3,4
ACO1 Lithium 5-4 48,33,36
nCO1 Control 5-4 22,126,75
AO1 Lithium 5-4 28,9,0
ACO1 Control 5-4 34,20,36
AO1 Lithium 5-4 4,17,0
AO1 Lithium 5-4 16,44,22
AO1 Control 5-4 31,37,35
nCO1 Control 5-4 34,81,68
AO1 Control 5-4 37,9,9
ACO1 Lithium 5-4 36,52,26
nCO1 Control 5-4 50,71,45
CO1 Control 5-4 1,144,0
AO1 Control 5-4 32,15,11
AO1 Control 5-4 5,21,9
AO1 Lithium 5-4 31,11,19
nCO1 Control 5-4 11,180,114
