RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,33,61
CO1 Control 5-4 34,15,37
CO1 Control 5-4 41,46,43
nCO1 Lithium 5-4 32,0,10
AO1 Control 5-4 25,16,18
nCO1 Lithium 5-4 46,70,97
CO1 Control 5-4 14,41,73
nCO1 Control 5-4 8,50,77
AO1 Lithium 5-4 40,0,9
nCO1 Lithium 5-4 19,79,50
ACO1 Lithium 5-4 14,2,0
ACO1 Control 5-4 33,0,0
AO1 Control 5-4 7,12,15
AO1 Lithium 5-4 14,12,4
ACO1 Lithium 5-4 9,12,31
ACO1 Control 5-4 36,56,36
ACO1 Control 5-4 40,0,0
CO1 Control 5-4 45,65,81
CO1 Lithium 5-4 50,57,54
AO1 Control 5-4 27,5,3
ACO1 Lithium 5-4 6,17,26
AO1 Control 5-4 42,9,22
ACO1 Control 5-4 17,6,5
CO1 Lithium 5-4 13,32,62
AO1 Lithium 5-4 46,10,0
AO1 Control 5-4 33,35,36
CO1 Lithium 5-4 35,67,86
nCO1 Lithium 5-4 50,105,94
CO1 Lithium 5-4 43,26,52
CO1 Control 5-4 3,19,51
ACO1 Lithium 5-4 26,4,4
CO1 Control 5-4 5,31,0
AO1 Control 5-4 41,35,28
CO1 Control 5-4 21,86,69
nCO1 Control 5-4 30,67,55
AO1 Lithium 5-4 37,39,42
nCO1 Control 5-4 14,38,48
CO1 Lithium 5-4 23,67,92
ACO1 Lithium 5-4 40,1,9
nCO1 Lithium 5-4 41,93,76
ACO1 Control 5-4 21,53,58
CO1 Lithium 5-4 20,48,61
AO1 Control 5-4 19,25,0
ACO1 Lithium 5-4 23,13,10
ACO1 Control 5-4 39,15,5
AO1 Lithium 5-4 39,0,0
ACO1 Lithium 5-4 20,11,19
CO1 Lithium 5-4 42,6,0
CO1 Lithium 5-4 32,72,82
nCO1 Control 5-4 44,128,113
nCO1 Control 5-4 45,36,29
AO1 Lithium 5-4 34,0,0
AO1 Control 5-4 9,19,37
AO1 Control 5-4 36,25,6
AO1 Lithium 5-4 12,3,28
nCO1 Lithium 5-4 11,78,92
CO1 Lithium 5-4 38,45,59
nCO1 Lithium 5-4 9,115,80
nCO1 Lithium 5-4 15,54,89
AO1 Lithium 5-4 33,33,49
nCO1 Lithium 5-4 49,32,14
AO1 Control 5-4 6,52,67
CO1 Control 5-4 12,48,69
CO1 Control 5-4 15,77,82
nCO1 Lithium 5-4 6,57,90
ACO1 Control 5-4 25,7,24
ACO1 Lithium 5-4 3,7,38
CO1 Control 5-4 29,41,82
AO1 Control 5-4 26,5,5
nCO1 Lithium 5-4 23,110,112
ACO1 Control 5-4 47,52,22
AO1 Lithium 5-4 15,2,10
CO1 Control 5-4 49,16,47
ACO1 Control 5-4 42,6,25
CO1 Lithium 5-4 46,15,52
ACO1 Control 5-4 26,21,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,97,78
ACO1 Lithium 5-4 42,26,37
nCO1 Lithium 5-4 13,33,90
nCO1 Control 5-4 48,4,0
AO1 Control 5-4 39,20,35
ACO1 Control 5-4 41,6,18
CO1 Lithium 5-4 28,65,76
nCO1 Control 5-4 16,13,0
ACO1 Lithium 5-4 1,25,13
ACO1 Lithium 5-4 38,2,0
nCO1 Lithium 5-4 7,49,88
CO1 Control 5-4 28,35,50
AO1 Lithium 5-4 30,31,41
ACO1 Control 5-4 22,34,29
nCO1 Lithium 5-4 16,110,117
ACO1 Control 5-4 18,8,22
CO1 Control 5-4 37,38,52
AO1 Control 5-4 47,23,33
AO1 Lithium 5-4 6,0,0
AO1 Control 5-4 44,16,30
nCO1 Control 5-4 36,13,1
AO1 Control 5-4 17,0,0
CO1 Lithium 5-4 14,140,0
nCO1 Lithium 5-4 17,68,83
nCO1 Control 5-4 38,64,91
AO1 Control 5-4 49,25,23
CO1 Lithium 5-4 8,37,36
CO1 Control 5-4 2,39,23
CO1 Lithium 5-4 34,19,25
AO1 Control 5-4 4,30,36
AO1 Lithium 5-4 41,7,4
ACO1 Lithium 5-4 48,14,36
nCO1 Control 5-4 22,76,75
AO1 Lithium 5-4 28,9,0
ACO1 Control 5-4 34,27,36
AO1 Lithium 5-4 4,23,0
AO1 Lithium 5-4 16,39,22
AO1 Control 5-4 31,17,35
nCO1 Control 5-4 34,50,68
AO1 Control 5-4 37,4,9
ACO1 Lithium 5-4 36,31,26
nCO1 Control 5-4 50,47,45
CO1 Control 5-4 1,120,0
AO1 Control 5-4 32,4,11
AO1 Control 5-4 5,9,9
AO1 Lithium 5-4 31,11,19
nCO1 Control 5-4 11,135,114
nCO1 Lithium 5-4 30,12,5
AO1 Lithium 5-4 11,31,13
nCO1 Lithium 5-4 28,83,84
CO1 Lithium 5-4 2,102,86
CO1 Lithium 5-4 6,168,0
nCO1 Lithium 5-4 29,85,92
CO1 Lithium 5-4 11,95,79
ACO1 Lithium 5-4 27,57,49
CO1 Control 5-4 24,77,0
CO1 Lithium 5-4 12,94,103
CO1 Lithium 5-4 5,72,92
ACO1 Lithium 5-4 2,3,1
ACO1 Lithium 5-4 19,39,35
CO1 Lithium 5-4 7,49,59
ACO1 Lithium 5-4 4,0,2
ACO1 Control 5-4 28,1,0
CO1 Control 5-4 26,66,105
CO1 Control 5-4 18,129,0
AO1 Lithium 5-4 8,6,9
CO1 Lithium 5-4 4,148,0
ACO1 Control 5-4 45,47,0
CO1 Lithium 5-4 26,72,87
CO1 Control 5-4 6,34,44
ACO1 Control 5-4 27,2,9
CO1 Control 5-4 31,53,81
ACO1 Control 5-4 50,25,3
AO1 Control 5-4 14,34,18
CO1 Lithium 5-4 40,50,88
nCO1 Control 5-4 39,27,49
ACO1 Lithium 5-4 43,0,0
nCO1 Lithium 5-4 48,55,64
AO1 Lithium 5-4 42,27,49
ACO1 Control 5-4 32,14,35
nCO1 Lithium 5-4 2,81,118
nCO1 Control 5-4 29,49,63
AO1 Control 5-4 29,10,49
nCO1 Lithium 5-4 24,62,53
nCO1 Control 5-4 33,80,94
nCO1 Control 5-4 4,19,0
AO1 Lithium 5-4 21,14,14
CO1 Control 5-4 33,52,66
nCO1 Lithium 5-4 34,0,0
CO1 Control 5-4 8,17,60
AO1 Control 5-4 43,9,28
nCO1 Control 5-4 10,56,87
AO1 Lithium 5-4 35,1,2
CO1 Lithium 5-4 18,30,34
nCO1 Control 5-4 46,72,62
CO1 Control 5-4 50,47,46
AO1 Lithium 5-4 45,56,38
ACO1 Lithium 5-4 34,31,0
nCO1 Control 5-4 2,75,87
ACO1 Lithium 5-4 11,21,45
nCO1 Lithium 5-4 22,26,0
AO1 Lithium 5-4 7,36,49
AO1 Control 5-4 11,19,45
ACO1 Lithium 5-4 16,7,16
ACO1 Lithium 5-4 17,24,34
nCO1 Control 5-4 9,15,0
nCO1 Control 5-4 18,68,105
ACO1 Control 5-4 46,49,46
CO1 Lithium 5-4 30,44,89
ACO1 Lithium 5-4 31,5,11
ACO1 Control 5-4 24,10,16
CO1 Lithium 5-4 9,48,62
CO1 Lithium 5-4 25,64,90
AO1 Control 5-4 16,8,37
CO1 Lithium 5-4 3,88,89
ACO1 Lithium 5-4 30,11,0
ACO1 Lithium 5-4 39,6,10
ACO1 Lithium 5-4 49,34,0
ACO1 Control 5-4 31,68,92
CO1 Lithium 5-4 17,56,82
ACO1 Lithium 5-4 22,27,24
ACO1 Control 5-4 49,56,9
ACO1 Control 5-4 8,13,0
nCO1 Lithium 5-4 43,1,10
nCO1 Control 5-4 41,136,111
AO1 Lithium 5-4 49,15,8
AO1 Control 5-4 50,18,23
AO1 Lithium 5-4 5,2,2
nCO1 Control 5-4 20,87,85
nCO1 Control 5-4 5,56,80
ACO1 Control 5-4 12,2,5
nCO1 Lithium 5-4 47,50,61
AO1 Control 5-4 10,15,0
ACO1 Lithium 5-4 50,1,4
CO1 Control 5-4 36,52,76
ACO1 Control 5-4 3,0,10
nCO1 Lithium 5-4 39,31,63
ACO1 Lithium 5-4 47,66,0
nCO1 Control 5-4 26,22,0
CO1 Lithium 5-4 21,115,67
AO1 Control 5-4 45,12,29
nCO1 Control 5-4 23,94,100
CO1 Control 5-4 32,24,51
ACO1 Control 5-4 10,6,17
nCO1 Control 5-4 6,60,74
nCO1 Control 5-4 31,54,71
nCO1 Lithium 5-4 36,91,121
ACO1 Control 5-4 9,7,14
CO1 Lithium 5-4 15,110,125
AO1 Lithium 5-4 20,4,18
