RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,33,61
CO1 Control 5-4 34,13,37
CO1 Control 5-4 41,34,43
nCO1 Lithium 5-4 32,0,10
AO1 Control 5-4 25,15,18
nCO1 Lithium 5-4 46,68,97
CO1 Control 5-4 14,40,73
nCO1 Control 5-4 8,58,77
AO1 Lithium 5-4 40,0,9
nCO1 Lithium 5-4 19,73,50
ACO1 Lithium 5-4 14,2,0
ACO1 Control 5-4 33,0,0
AO1 Control 5-4 7,17,15
AO1 Lithium 5-4 14,3,4
ACO1 Lithium 5-4 9,10,31
ACO1 Control 5-4 36,77,36
ACO1 Control 5-4 40,0,0
CO1 Control 5-4 45,73,81
CO1 Lithium 5-4 50,43,54
AO1 Control 5-4 27,8,3
ACO1 Lithium 5-4 6,19,26
AO1 Control 5-4 42,17,22
ACO1 Control 5-4 17,7,5
CO1 Lithium 5-4 13,47,62
AO1 Lithium 5-4 46,16,0
AO1 Control 5-4 33,41,36
CO1 Lithium 5-4 35,70,86
nCO1 Lithium 5-4 50,102,94
CO1 Lithium 5-4 43,28,52
CO1 Control 5-4 3,30,51
ACO1 Lithium 5-4 26,20,4
CO1 Control 5-4 5,13,0
AO1 Control 5-4 41,21,28
CO1 Control 5-4 21,67,69
nCO1 Control 5-4 30,71,55
AO1 Lithium 5-4 37,39,42
nCO1 Control 5-4 14,34,48
CO1 Lithium 5-4 23,70,92
ACO1 Lithium 5-4 40,3,9
nCO1 Lithium 5-4 41,91,76
ACO1 Control 5-4 21,51,58
CO1 Lithium 5-4 20,55,61
AO1 Control 5-4 19,24,0
ACO1 Lithium 5-4 23,10,10
ACO1 Control 5-4 39,13,5
AO1 Lithium 5-4 39,1,0
ACO1 Lithium 5-4 20,3,19
CO1 Lithium 5-4 42,20,0
CO1 Lithium 5-4 32,79,82
nCO1 Control 5-4 44,147,113
nCO1 Control 5-4 45,38,29
AO1 Lithium 5-4 34,0,0
AO1 Control 5-4 9,19,37
AO1 Control 5-4 36,26,6
AO1 Lithium 5-4 12,11,28
nCO1 Lithium 5-4 11,82,92
CO1 Lithium 5-4 38,63,59
nCO1 Lithium 5-4 9,105,80
nCO1 Lithium 5-4 15,70,89
AO1 Lithium 5-4 33,30,49
nCO1 Lithium 5-4 49,28,14
AO1 Control 5-4 6,52,67
CO1 Control 5-4 12,50,69
CO1 Control 5-4 15,71,82
nCO1 Lithium 5-4 6,68,90
ACO1 Control 5-4 25,12,24
ACO1 Lithium 5-4 3,27,38
CO1 Control 5-4 29,55,82
AO1 Control 5-4 26,5,5
nCO1 Lithium 5-4 23,109,112
ACO1 Control 5-4 47,22,22
AO1 Lithium 5-4 15,3,10
CO1 Control 5-4 49,39,47
ACO1 Control 5-4 42,16,25
CO1 Lithium 5-4 46,20,52
ACO1 Control 5-4 26,30,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,70,78
ACO1 Lithium 5-4 42,42,37
nCO1 Lithium 5-4 13,39,90
nCO1 Control 5-4 48,4,0
AO1 Control 5-4 39,18,35
ACO1 Control 5-4 41,2,18
CO1 Lithium 5-4 28,73,76
nCO1 Control 5-4 16,13,0
