RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,128,61
CO1 Control 5-4 34,44,37
CO1 Control 5-4 41,163,43
nCO1 Lithium 5-4 32,15,10
AO1 Control 5-4 25,27,18
nCO1 Lithium 5-4 46,154,97
CO1 Control 5-4 14,130,73
nCO1 Control 5-4 8,151,77
AO1 Lithium 5-4 40,70,9
nCO1 Lithium 5-4 19,143,50
ACO1 Lithium 5-4 14,39,0
ACO1 Control 5-4 33,0,0
AO1 Control 5-4 7,122,15
AO1 Lithium 5-4 14,67,4
ACO1 Lithium 5-4 9,86,31
ACO1 Control 5-4 36,174,36
ACO1 Control 5-4 40,65,0
CO1 Control 5-4 45,149,81
CO1 Lithium 5-4 50,181,54
AO1 Control 5-4 27,99,3
ACO1 Lithium 5-4 6,55,26
AO1 Control 5-4 42,90,22
ACO1 Control 5-4 17,93,5
CO1 Lithium 5-4 13,137,62
AO1 Lithium 5-4 46,24,0
AO1 Control 5-4 33,115,36
CO1 Lithium 5-4 35,136,86
nCO1 Lithium 5-4 50,184,94
CO1 Lithium 5-4 43,147,52
CO1 Control 5-4 3,72,51
ACO1 Lithium 5-4 26,97,4
CO1 Control 5-4 5,23,0
AO1 Control 5-4 41,127,28
CO1 Control 5-4 21,130,69
nCO1 Control 5-4 30,124,55
AO1 Lithium 5-4 37,121,42
nCO1 Control 5-4 14,96,48
CO1 Lithium 5-4 23,141,92
ACO1 Lithium 5-4 40,18,9
nCO1 Lithium 5-4 41,185,76
ACO1 Control 5-4 21,131,58
CO1 Lithium 5-4 20,136,61
AO1 Control 5-4 19,22,0
ACO1 Lithium 5-4 23,51,10
ACO1 Control 5-4 39,110,5
AO1 Lithium 5-4 39,6,0
ACO1 Lithium 5-4 20,51,19
CO1 Lithium 5-4 42,166,0
CO1 Lithium 5-4 32,157,82
nCO1 Control 5-4 44,188,113
nCO1 Control 5-4 45,119,29
AO1 Lithium 5-4 34,3,0
AO1 Control 5-4 9,105,37
AO1 Control 5-4 36,136,6
AO1 Lithium 5-4 12,12,28
nCO1 Lithium 5-4 11,180,92
CO1 Lithium 5-4 38,153,59
nCO1 Lithium 5-4 9,192,80
nCO1 Lithium 5-4 15,147,89
AO1 Lithium 5-4 33,113,49
nCO1 Lithium 5-4 49,125,14
AO1 Control 5-4 6,125,67
CO1 Control 5-4 12,160,69
CO1 Control 5-4 15,116,82
nCO1 Lithium 5-4 6,175,90
ACO1 Control 5-4 25,16,24
ACO1 Lithium 5-4 3,35,38
CO1 Control 5-4 29,104,82
AO1 Control 5-4 26,89,5
nCO1 Lithium 5-4 23,191,112
ACO1 Control 5-4 47,111,22
AO1 Lithium 5-4 15,19,10
CO1 Control 5-4 49,50,47
ACO1 Control 5-4 42,96,25
CO1 Lithium 5-4 46,115,52
ACO1 Control 5-4 26,66,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,159,78
ACO1 Lithium 5-4 42,102,37
nCO1 Lithium 5-4 13,76,90
nCO1 Control 5-4 48,93,0
AO1 Control 5-4 39,53,35
ACO1 Control 5-4 41,101,18
CO1 Lithium 5-4 28,178,76
nCO1 Control 5-4 16,21,0
ACO1 Lithium 5-4 1,58,13
ACO1 Lithium 5-4 38,115,0
nCO1 Lithium 5-4 7,163,88
CO1 Control 5-4 28,101,50
AO1 Lithium 5-4 30,97,41
ACO1 Control 5-4 22,101,29
nCO1 Lithium 5-4 16,179,117
ACO1 Control 5-4 18,117,22
CO1 Control 5-4 37,126,52
AO1 Control 5-4 47,60,33
AO1 Lithium 5-4 6,0,0
AO1 Control 5-4 44,51,30
nCO1 Control 5-4 36,149,1
AO1 Control 5-4 17,111,0
CO1 Lithium 5-4 14,175,0
nCO1 Lithium 5-4 17,163,83
nCO1 Control 5-4 38,142,91
AO1 Control 5-4 49,61,23
CO1 Lithium 5-4 8,115,36
CO1 Control 5-4 2,90,23
CO1 Lithium 5-4 34,89,25
AO1 Control 5-4 4,81,36
AO1 Lithium 5-4 41,82,4
ACO1 Lithium 5-4 48,62,36
nCO1 Control 5-4 22,166,75
AO1 Lithium 5-4 28,33,0
ACO1 Control 5-4 34,80,36
AO1 Lithium 5-4 4,64,0
AO1 Lithium 5-4 16,122,22
AO1 Control 5-4 31,73,35
nCO1 Control 5-4 34,142,68
AO1 Control 5-4 37,90,9
ACO1 Lithium 5-4 36,129,26
nCO1 Control 5-4 50,129,45
CO1 Control 5-4 1,88,0
AO1 Control 5-4 32,80,11
AO1 Control 5-4 5,105,9
AO1 Lithium 5-4 31,75,19
nCO1 Control 5-4 11,195,114
nCO1 Lithium 5-4 30,10,5
AO1 Lithium 5-4 11,103,13
nCO1 Lithium 5-4 28,164,84
CO1 Lithium 5-4 2,164,86
CO1 Lithium 5-4 6,112,0
nCO1 Lithium 5-4 29,173,92
CO1 Lithium 5-4 11,162,79
ACO1 Lithium 5-4 27,146,49
CO1 Control 5-4 24,148,0
CO1 Lithium 5-4 12,161,103
CO1 Lithium 5-4 5,92,92
ACO1 Lithium 5-4 2,51,1
ACO1 Lithium 5-4 19,134,35
CO1 Lithium 5-4 7,132,59
ACO1 Lithium 5-4 4,2,2
ACO1 Control 5-4 28,87,0
CO1 Control 5-4 26,180,105
CO1 Control 5-4 18,201,0
AO1 Lithium 5-4 8,98,9
CO1 Lithium 5-4 4,130,0
ACO1 Control 5-4 45,34,0
CO1 Lithium 5-4 26,167,87
CO1 Control 5-4 6,132,44
ACO1 Control 5-4 27,91,9
CO1 Control 5-4 31,152,81
ACO1 Control 5-4 50,88,3
AO1 Control 5-4 14,73,18
CO1 Lithium 5-4 40,176,88
nCO1 Control 5-4 39,132,49
ACO1 Lithium 5-4 43,53,0
nCO1 Lithium 5-4 48,129,64
AO1 Lithium 5-4 42,94,49
ACO1 Control 5-4 32,99,35
nCO1 Lithium 5-4 2,116,118
nCO1 Control 5-4 29,134,63
AO1 Control 5-4 29,43,49
nCO1 Lithium 5-4 24,148,53
nCO1 Control 5-4 33,148,94
nCO1 Control 5-4 4,13,0
AO1 Lithium 5-4 21,79,14
CO1 Control 5-4 33,76,66
nCO1 Lithium 5-4 34,11,0
CO1 Control 5-4 8,72,60
AO1 Control 5-4 43,73,28
nCO1 Control 5-4 10,159,87
AO1 Lithium 5-4 35,36,2
CO1 Lithium 5-4 18,102,34
nCO1 Control 5-4 46,142,62
CO1 Control 5-4 50,117,46
AO1 Lithium 5-4 45,155,38
ACO1 Lithium 5-4 34,47,0
nCO1 Control 5-4 2,131,87
ACO1 Lithium 5-4 11,135,45
nCO1 Lithium 5-4 22,27,0
AO1 Lithium 5-4 7,92,49
AO1 Control 5-4 11,62,45
ACO1 Lithium 5-4 16,16,16
ACO1 Lithium 5-4 17,65,34
nCO1 Control 5-4 9,13,0
nCO1 Control 5-4 18,166,105
ACO1 Control 5-4 46,126,46
CO1 Lithium 5-4 30,123,89
ACO1 Lithium 5-4 31,84,11
ACO1 Control 5-4 24,44,16
CO1 Lithium 5-4 9,99,62
CO1 Lithium 5-4 25,153,90
AO1 Control 5-4 16,80,37
CO1 Lithium 5-4 3,128,89
ACO1 Lithium 5-4 30,40,0
ACO1 Lithium 5-4 39,91,10
ACO1 Lithium 5-4 49,49,0
ACO1 Control 5-4 31,152,92
CO1 Lithium 5-4 17,209,82
ACO1 Lithium 5-4 22,80,24
ACO1 Control 5-4 49,135,9
ACO1 Control 5-4 8,12,0
nCO1 Lithium 5-4 43,9,10
nCO1 Control 5-4 41,212,111
AO1 Lithium 5-4 49,92,8
AO1 Control 5-4 50,85,23
AO1 Lithium 5-4 5,18,2
nCO1 Control 5-4 20,163,85
nCO1 Control 5-4 5,97,80
ACO1 Control 5-4 12,101,5
nCO1 Lithium 5-4 47,119,61
AO1 Control 5-4 10,17,0
ACO1 Lithium 5-4 50,37,4
CO1 Control 5-4 36,177,76
ACO1 Control 5-4 3,29,10
nCO1 Lithium 5-4 39,125,63
ACO1 Lithium 5-4 47,63,0
nCO1 Control 5-4 26,16,0
CO1 Lithium 5-4 21,154,67
AO1 Control 5-4 45,76,29
nCO1 Control 5-4 23,149,100
CO1 Control 5-4 32,87,51
ACO1 Control 5-4 10,84,17
nCO1 Control 5-4 6,151,74
nCO1 Control 5-4 31,180,71
nCO1 Lithium 5-4 36,180,121
ACO1 Control 5-4 9,53,14
CO1 Lithium 5-4 15,155,125
AO1 Lithium 5-4 20,37,18
nCO1 Control 5-4 12,157,52
nCO1 Lithium 5-4 18,115,58
AO1 Control 5-4 20,68,5
nCO1 Lithium 5-4 26,175,97
CO1 Lithium 5-4 19,150,80
nCO1 Lithium 5-4 8,143,48
AO1 Control 5-4 40,72,11
CO1 Control 5-4 40,196,100
AO1 Lithium 5-4 17,78,13
nCO1 Lithium 5-4 44,176,101
CO1 Control 5-4 48,108,28
CO1 Control 5-4 27,130,62
CO1 Control 5-4 22,118,0
CO1 Control 5-4 13,138,66
AO1 Lithium 5-4 29,36,18
nCO1 Lithium 5-4 10,183,109
ACO1 Control 5-4 15,116,17
AO1 Control 5-4 1,26,12
AO1 Control 5-4 38,104,4
nCO1 Lithium 5-4 33,61,0
ACO1 Lithium 5-4 13,112,52
CO1 Lithium 5-4 16,71,0
ACO1 Control 5-4 23,166,67
AO1 Control 5-4 12,64,47
ACO1 Lithium 5-4 25,130,37
CO1 Control 5-4 10,103,71
nCO1 Lithium 5-4 31,125,56
AO1 Control 5-4 28,17,0
AO1 Lithium 5-4 24,46,12
ACO1 Control 5-4 30,36,0
nCO1 Lithium 5-4 20,191,119
ACO1 Control 5-4 14,120,1
nCO1 Control 5-4 27,79,51
CO1 Lithium 5-4 45,135,89
AO1 Control 5-4 8,115,40
CO1 Lithium 5-4 37,192,88
ACO1 Control 5-4 6,81,34
AO1 Control 5-4 15,82,35
ACO1 Control 5-4 4,28,0
CO1 Control 5-4 30,136,43
nCO1 Lithium 5-4 42,183,91
nCO1 Control 5-4 24,141,53
ACO1 Lithium 5-4 10,31,0
CO1 Lithium 5-4 36,197,30
AO1 Lithium 5-4 43,156,49
AO1 Control 5-4 30,88,18
AO1 Lithium 5-4 9,74,31
ACO1 Lithium 5-4 35,161,0
CO1 Lithium 5-4 1,64,38
ACO1 Control 5-4 1,116,0
ACO1 Lithium 5-4 5,0,0
nCO1 Control 5-4 13,151,66
CO1 Control 5-4 42,101,81
CO1 Lithium 5-4 39,152,70
nCO1 Control 5-4 47,7,0
ACO1 Lithium 5-4 15,24,16
CO1 Lithium 5-4 48,165,101
CO1 Control 5-4 25,98,0
ACO1 Lithium 5-4 7,34,0
ACO1 Lithium 5-4 24,13,15
ACO1 Lithium 5-4 21,34,4
nCO1 Lithium 5-4 21,157,56
CO1 Control 5-4 9,168,79
nCO1 Control 5-4 1,4,0
CO1 Lithium 5-4 24,154,69
CO1 Lithium 5-4 31,160,95
ACO1 Control 5-4 7,88,23
nCO1 Lithium 5-4 3,98,4
CO1 Control 5-4 47,126,66
CO1 Control 5-4 16,180,60
CO1 Lithium 5-4 10,154,86
nCO1 Lithium 5-4 1,145,80
CO1 Control 5-4 38,178,75
ACO1 Control 5-4 19,144,24
CO1 Lithium 5-4 49,60,0
nCO1 Lithium 5-4 14,160,70
nCO1 Control 5-4 40,125,74
AO1 Lithium 5-4 2,81,2
AO1 Lithium 5-4 10,99,30
CO1 Lithium 5-4 44,155,87
ACO1 Lithium 5-4 44,162,80
nCO1 Control 5-4 35,88,23
CO1 Control 5-4 39,111,64
AO1 Lithium 5-4 13,4,0
ACO1 Control 5-4 20,135,17
nCO1 Control 5-4 32,139,76
CO1 Control 5-4 17,153,86
AO1 Lithium 5-4 25,23,0
CO1 Lithium 5-4 29,178,102
AO1 Control 5-4 34,128,55
AO1 Control 5-4 3,49,39
ACO1 Lithium 5-4 28,0,0
CO1 Control 5-4 23,170,0
CO1 Lithium 5-4 41,178,106
ACO1 Lithium 5-4 37,69,0
ACO1 Lithium 5-4 18,102,19
AO1 Lithium 5-4 18,119,4
ACO1 Control 5-4 2,150,30
AO1 Lithium 5-4 38,123,25
AO1 Lithium 5-4 19,21,0
nCO1 Lithium 5-4 38,149,84
AO1 Lithium 5-4 32,24,0
AO1 Lithium 5-4 26,48,21
ACO1 Control 5-4 44,112,48
nCO1 Control 5-4 42,183,79
CO1 Control 5-4 4,66,39
AO1 Control 5-4 23,21,0
CO1 Lithium 5-4 27,140,88
AO1 Lithium 5-4 36,46,10
nCO1 Control 5-4 7,115,56
nCO1 Lithium 5-4 25,161,104
CO1 Control 5-4 46,133,56
AO1 Control 5-4 2,40,18
nCO1 Control 5-4 43,154,72
AO1 Control 5-4 22,125,31
AO1 Lithium 5-4 48,56,15
AO1 Control 5-4 48,80,25
CO1 Control 5-4 43,116,47
AO1 Control 5-4 13,129,36
nCO1 Lithium 5-4 5,131,61
ACO1 Control 5-4 48,79,19
AO1 Lithium 5-4 50,79,5
ACO1 Lithium 5-4 45,127,37
nCO1 Lithium 5-4 35,7,0
AO1 Lithium 5-4 27,49,0
AO1 Control 5-4 35,157,28
ACO1 Lithium 5-4 41,100,27
AO1 Control 5-4 21,106,36
nCO1 Control 5-4 21,158,44
AO1 Lithium 5-4 47,101,23
AO1 Lithium 5-4 44,69,20
CO1 Control 5-4 20,156,83
nCO1 Control 5-4 19,150,72
ACO1 Control 5-4 37,91,22
nCO1 Control 5-4 37,181,63
ACO1 Control 5-4 16,101,9
CO1 Control 5-4 35,152,77
AO1 Lithium 5-4 23,9,0
CO1 Control 5-4 7,70,64
AO1 Control 5-4 18,79,5
ACO1 Control 5-4 5,94,15
CO1 Control 5-4 11,20,0
CO1 Lithium 5-4 33,175,95
nCO1 Lithium 5-4 27,150,71
CO1 Control 5-4 19,52,0
nCO1 Lithium 5-4 37,77,3
nCO1 Lithium 5-4 45,159,67
nCO1 Control 5-4 28,47,0
CO1 Control 5-4 44,107,59
AO1 Control 5-4 24,72,0
nCO1 Control 5-4 3,53,2
ACO1 Control 5-4 11,117,21
nCO1 Control 5-4 49,15,0
nCO1 Control 5-4 15,173,54
AO1 Control 5-4 46,121,7
nCO1 Lithium 5-4 12,167,97
ACO1 Lithium 5-4 33,91,27
AO1 Lithium 5-4 3,102,1
ACO1 Control 5-4 38,79,19
ACO1 Control 5-4 29,58,0
ACO1 Control 5-4 13,147,30
ACO1 Control 5-4 35,130,30
ACO1 Lithium 5-4 32,17,0
ACO1 Lithium 5-4 29,97,3
nCO1 Lithium 5-4 4,161,75
nCO1 Control 5-4 17,118,88
nCO1 Lithium 5-4 40,188,79
nCO1 Control 5-4 25,129,67
ACO1 Control 5-4 43,84,1
AO1 Lithium 5-4 22,35,17
AO1 Lithium 5-4 1,77,41
CO1 Lithium 5-4 22,116,55
ACO1 Lithium 5-4 46,96,18
