RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,47,61
CO1 Control 5-4 34,10,37
CO1 Control 5-4 41,61,43
nCO1 Lithium 5-4 32,0,10
AO1 Control 5-4 25,15,18
nCO1 Lithium 5-4 46,87,97
CO1 Control 5-4 14,53,73
nCO1 Control 5-4 8,74,77
AO1 Lithium 5-4 40,0,9
nCO1 Lithium 5-4 19,56,50
ACO1 Lithium 5-4 14,0,0
ACO1 Control 5-4 33,0,0
AO1 Control 5-4 7,19,15
AO1 Lithium 5-4 14,3,4
ACO1 Lithium 5-4 9,19,31
ACO1 Control 5-4 36,47,36
ACO1 Control 5-4 40,0,0
CO1 Control 5-4 45,76,81
CO1 Lithium 5-4 50,42,54
AO1 Control 5-4 27,3,3
ACO1 Lithium 5-4 6,24,26
AO1 Control 5-4 42,24,22
ACO1 Control 5-4 17,7,5
CO1 Lithium 5-4 13,56,62
AO1 Lithium 5-4 46,0,0
AO1 Control 5-4 33,46,36
CO1 Lithium 5-4 35,56,86
nCO1 Lithium 5-4 50,120,94
CO1 Lithium 5-4 43,41,52
CO1 Control 5-4 3,29,51
ACO1 Lithium 5-4 26,8,4
CO1 Control 5-4 5,0,0
AO1 Control 5-4 41,21,28
CO1 Control 5-4 21,63,69
nCO1 Control 5-4 30,63,55
AO1 Lithium 5-4 37,52,42
nCO1 Control 5-4 14,50,48
CO1 Lithium 5-4 23,80,92
ACO1 Lithium 5-4 40,2,9
nCO1 Lithium 5-4 41,87,76
ACO1 Control 5-4 21,49,58
CO1 Lithium 5-4 20,54,61
AO1 Control 5-4 19,0,0
ACO1 Lithium 5-4 23,13,10
ACO1 Control 5-4 39,7,5
AO1 Lithium 5-4 39,0,0
ACO1 Lithium 5-4 20,14,19
CO1 Lithium 5-4 42,17,0
CO1 Lithium 5-4 32,71,82
nCO1 Control 5-4 44,139,113
nCO1 Control 5-4 45,42,29
AO1 Lithium 5-4 34,0,0
AO1 Control 5-4 9,25,37
AO1 Control 5-4 36,19,6
AO1 Lithium 5-4 12,11,28
nCO1 Lithium 5-4 11,83,92
CO1 Lithium 5-4 38,60,59
nCO1 Lithium 5-4 9,75,80
nCO1 Lithium 5-4 15,65,89
AO1 Lithium 5-4 33,39,49
nCO1 Lithium 5-4 49,35,14
AO1 Control 5-4 6,61,67
CO1 Control 5-4 12,69,69
CO1 Control 5-4 15,77,82
nCO1 Lithium 5-4 6,79,90
ACO1 Control 5-4 25,22,24
ACO1 Lithium 5-4 3,21,38
CO1 Control 5-4 29,50,82
AO1 Control 5-4 26,6,5
nCO1 Lithium 5-4 23,98,112
ACO1 Control 5-4 47,19,22
AO1 Lithium 5-4 15,5,10
CO1 Control 5-4 49,28,47
ACO1 Control 5-4 42,16,25
CO1 Lithium 5-4 46,29,52
ACO1 Control 5-4 26,39,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,77,78
ACO1 Lithium 5-4 42,35,37
nCO1 Lithium 5-4 13,52,90
nCO1 Control 5-4 48,1,0
AO1 Control 5-4 39,18,35
ACO1 Control 5-4 41,2,18
CO1 Lithium 5-4 28,58,76
nCO1 Control 5-4 16,0,0
ACO1 Lithium 5-4 1,17,13
ACO1 Lithium 5-4 38,6,0
nCO1 Lithium 5-4 7,71,88
CO1 Control 5-4 28,34,50
AO1 Lithium 5-4 30,27,41
ACO1 Control 5-4 22,39,29
nCO1 Lithium 5-4 16,93,117
ACO1 Control 5-4 18,13,22
CO1 Control 5-4 37,55,52
AO1 Control 5-4 47,30,33
AO1 Lithium 5-4 6,0,0
AO1 Control 5-4 44,23,30
nCO1 Control 5-4 36,22,1
AO1 Control 5-4 17,3,0
CO1 Lithium 5-4 14,56,0
nCO1 Lithium 5-4 17,72,83
nCO1 Control 5-4 38,85,91
AO1 Control 5-4 49,14,23
CO1 Lithium 5-4 8,37,36
CO1 Control 5-4 2,46,23
CO1 Lithium 5-4 34,17,25
AO1 Control 5-4 4,33,36
AO1 Lithium 5-4 41,13,4
ACO1 Lithium 5-4 48,32,36
nCO1 Control 5-4 22,91,75
AO1 Lithium 5-4 28,0,0
ACO1 Control 5-4 34,28,36
AO1 Lithium 5-4 4,0,0
AO1 Lithium 5-4 16,38,22
AO1 Control 5-4 31,17,35
nCO1 Control 5-4 34,61,68
AO1 Control 5-4 37,3,9
ACO1 Lithium 5-4 36,36,26
nCO1 Control 5-4 50,39,45
CO1 Control 5-4 1,15,0
AO1 Control 5-4 32,2,11
AO1 Control 5-4 5,9,9
AO1 Lithium 5-4 31,17,19
nCO1 Control 5-4 11,129,114
nCO1 Lithium 5-4 30,4,5
AO1 Lithium 5-4 11,52,13
nCO1 Lithium 5-4 28,67,84
CO1 Lithium 5-4 2,85,86
CO1 Lithium 5-4 6,168,0
nCO1 Lithium 5-4 29,76,92
CO1 Lithium 5-4 11,72,79
ACO1 Lithium 5-4 27,57,49
CO1 Control 5-4 24,0,0
CO1 Lithium 5-4 12,106,103
CO1 Lithium 5-4 5,87,92
ACO1 Lithium 5-4 2,2,1
ACO1 Lithium 5-4 19,48,35
CO1 Lithium 5-4 7,44,59
ACO1 Lithium 5-4 4,0,2
ACO1 Control 5-4 28,0,0
CO1 Control 5-4 26,80,105
CO1 Control 5-4 18,46,0
AO1 Lithium 5-4 8,0,9
CO1 Lithium 5-4 4,0,0
ACO1 Control 5-4 45,0,0
CO1 Lithium 5-4 26,82,87
CO1 Control 5-4 6,48,44
ACO1 Control 5-4 27,2,9
CO1 Control 5-4 31,57,81
ACO1 Control 5-4 50,14,3
AO1 Control 5-4 14,23,18
CO1 Lithium 5-4 40,66,88
nCO1 Control 5-4 39,63,49
ACO1 Lithium 5-4 43,0,0
nCO1 Lithium 5-4 48,50,64
AO1 Lithium 5-4 42,35,49
ACO1 Control 5-4 32,20,35
nCO1 Lithium 5-4 2,89,118
nCO1 Control 5-4 29,61,63
AO1 Control 5-4 29,14,49
nCO1 Lithium 5-4 24,51,53
nCO1 Control 5-4 33,95,94
nCO1 Control 5-4 4,0,0
AO1 Lithium 5-4 21,14,14
CO1 Control 5-4 33,67,66
nCO1 Lithium 5-4 34,0,0
CO1 Control 5-4 8,29,60
AO1 Control 5-4 43,20,28
nCO1 Control 5-4 10,69,87
AO1 Lithium 5-4 35,0,2
CO1 Lithium 5-4 18,30,34
nCO1 Control 5-4 46,64,62
CO1 Control 5-4 50,46,46
AO1 Lithium 5-4 45,56,38
ACO1 Lithium 5-4 34,0,0
nCO1 Control 5-4 2,62,87
ACO1 Lithium 5-4 11,41,45
nCO1 Lithium 5-4 22,0,0
AO1 Lithium 5-4 7,33,49
AO1 Control 5-4 11,38,45
ACO1 Lithium 5-4 16,10,16
ACO1 Lithium 5-4 17,27,34
nCO1 Control 5-4 9,0,0
nCO1 Control 5-4 18,88,105
ACO1 Control 5-4 46,54,46
CO1 Lithium 5-4 30,54,89
ACO1 Lithium 5-4 31,6,11
ACO1 Control 5-4 24,7,16
CO1 Lithium 5-4 9,50,62
CO1 Lithium 5-4 25,69,90
AO1 Control 5-4 16,16,37
CO1 Lithium 5-4 3,72,89
ACO1 Lithium 5-4 30,0,0
ACO1 Lithium 5-4 39,12,10
ACO1 Lithium 5-4 49,0,0
ACO1 Control 5-4 31,77,92
CO1 Lithium 5-4 17,64,82
ACO1 Lithium 5-4 22,30,24
ACO1 Control 5-4 49,37,9
ACO1 Control 5-4 8,0,0
nCO1 Lithium 5-4 43,0,10
nCO1 Control 5-4 41,127,111
AO1 Lithium 5-4 49,11,8
AO1 Control 5-4 50,14,23
AO1 Lithium 5-4 5,1,2
nCO1 Control 5-4 20,89,85
nCO1 Control 5-4 5,59,80
ACO1 Control 5-4 12,2,5
nCO1 Lithium 5-4 47,48,61
AO1 Control 5-4 10,0,0
ACO1 Lithium 5-4 50,0,4
CO1 Control 5-4 36,75,76
ACO1 Control 5-4 3,1,10
nCO1 Lithium 5-4 39,51,63
ACO1 Lithium 5-4 47,0,0
nCO1 Control 5-4 26,0,0
CO1 Lithium 5-4 21,102,67
AO1 Control 5-4 45,20,29
nCO1 Control 5-4 23,112,100
CO1 Control 5-4 32,42,51
ACO1 Control 5-4 10,20,17
nCO1 Control 5-4 6,76,74
nCO1 Control 5-4 31,95,71
nCO1 Lithium 5-4 36,119,121
ACO1 Control 5-4 9,14,14
CO1 Lithium 5-4 15,106,125
AO1 Lithium 5-4 20,9,18
nCO1 Control 5-4 12,62,52
nCO1 Lithium 5-4 18,35,58
AO1 Control 5-4 20,10,5
nCO1 Lithium 5-4 26,91,97
CO1 Lithium 5-4 19,66,80
nCO1 Lithium 5-4 8,51,48
AO1 Control 5-4 40,5,11
CO1 Control 5-4 40,81,100
AO1 Lithium 5-4 17,14,13
nCO1 Lithium 5-4 44,91,101
CO1 Control 5-4 48,19,28
CO1 Control 5-4 27,46,62
CO1 Control 5-4 22,0,0
CO1 Control 5-4 13,64,66
AO1 Lithium 5-4 29,7,18
nCO1 Lithium 5-4 10,111,109
ACO1 Control 5-4 15,20,17
AO1 Control 5-4 1,16,12
AO1 Control 5-4 38,5,4
nCO1 Lithium 5-4 33,0,0
ACO1 Lithium 5-4 13,33,52
CO1 Lithium 5-4 16,43,0
ACO1 Control 5-4 23,80,67
AO1 Control 5-4 12,30,47
ACO1 Lithium 5-4 25,61,37
CO1 Control 5-4 10,63,71
nCO1 Lithium 5-4 31,59,56
AO1 Control 5-4 28,3,0
AO1 Lithium 5-4 24,5,12
ACO1 Control 5-4 30,0,0
nCO1 Lithium 5-4 20,105,119
ACO1 Control 5-4 14,11,1
nCO1 Control 5-4 27,40,51
CO1 Lithium 5-4 45,74,89
AO1 Control 5-4 8,39,40
CO1 Lithium 5-4 37,91,88
ACO1 Control 5-4 6,46,34
AO1 Control 5-4 15,22,35
ACO1 Control 5-4 4,0,0
CO1 Control 5-4 30,46,43
nCO1 Lithium 5-4 42,81,91
nCO1 Control 5-4 24,38,53
ACO1 Lithium 5-4 10,0,0
CO1 Lithium 5-4 36,44,30
AO1 Lithium 5-4 43,63,49
AO1 Control 5-4 30,4,18
AO1 Lithium 5-4 9,19,31
ACO1 Lithium 5-4 35,20,0
CO1 Lithium 5-4 1,38,38
ACO1 Control 5-4 1,0,0
ACO1 Lithium 5-4 5,0,0
nCO1 Control 5-4 13,65,66
CO1 Control 5-4 42,56,81
CO1 Lithium 5-4 39,39,70
nCO1 Control 5-4 47,0,0
ACO1 Lithium 5-4 15,5,16
CO1 Lithium 5-4 48,72,101
CO1 Control 5-4 25,104,0
ACO1 Lithium 5-4 7,1,0
ACO1 Lithium 5-4 24,2,15
ACO1 Lithium 5-4 21,10,4
nCO1 Lithium 5-4 21,63,56
CO1 Control 5-4 9,97,79
nCO1 Control 5-4 1,0,0
CO1 Lithium 5-4 24,66,69
CO1 Lithium 5-4 31,88,95
ACO1 Control 5-4 7,20,23
nCO1 Lithium 5-4 3,6,4
CO1 Control 5-4 47,57,66
CO1 Control 5-4 16,86,60
CO1 Lithium 5-4 10,72,86
nCO1 Lithium 5-4 1,65,80
CO1 Control 5-4 38,91,75
ACO1 Control 5-4 19,26,24
CO1 Lithium 5-4 49,0,0
nCO1 Lithium 5-4 14,63,70
nCO1 Control 5-4 40,60,74
AO1 Lithium 5-4 2,0,2
AO1 Lithium 5-4 10,33,30
CO1 Lithium 5-4 44,76,87
ACO1 Lithium 5-4 44,95,80
nCO1 Control 5-4 35,75,23
CO1 Control 5-4 39,48,64
AO1 Lithium 5-4 13,0,0
ACO1 Control 5-4 20,29,17
nCO1 Control 5-4 32,73,76
CO1 Control 5-4 17,85,86
AO1 Lithium 5-4 25,0,0
CO1 Lithium 5-4 29,83,102
AO1 Control 5-4 34,49,55
AO1 Control 5-4 3,27,39
ACO1 Lithium 5-4 28,0,0
CO1 Control 5-4 23,33,0
CO1 Lithium 5-4 41,104,106
ACO1 Lithium 5-4 37,0,0
ACO1 Lithium 5-4 18,23,19
AO1 Lithium 5-4 18,6,4
ACO1 Control 5-4 2,35,30
AO1 Lithium 5-4 38,31,25
AO1 Lithium 5-4 19,0,0
nCO1 Lithium 5-4 38,65,84
AO1 Lithium 5-4 32,0,0
AO1 Lithium 5-4 26,16,21
ACO1 Control 5-4 44,57,48
nCO1 Control 5-4 42,93,79
CO1 Control 5-4 4,32,39
AO1 Control 5-4 23,0,0
CO1 Lithium 5-4 27,62,88
AO1 Lithium 5-4 36,23,10
nCO1 Control 5-4 7,43,56
nCO1 Lithium 5-4 25,95,104
CO1 Control 5-4 46,41,56
AO1 Control 5-4 2,28,18
nCO1 Control 5-4 43,78,72
AO1 Control 5-4 22,81,31
AO1 Lithium 5-4 48,10,15
AO1 Control 5-4 48,19,25
CO1 Control 5-4 43,54,47
AO1 Control 5-4 13,38,36
nCO1 Lithium 5-4 5,34,61
ACO1 Control 5-4 48,25,19
AO1 Lithium 5-4 50,5,5
ACO1 Lithium 5-4 45,43,37
nCO1 Lithium 5-4 35,1,0
AO1 Lithium 5-4 27,0,0
AO1 Control 5-4 35,26,28
ACO1 Lithium 5-4 41,31,27
AO1 Control 5-4 21,37,36
nCO1 Control 5-4 21,60,44
AO1 Lithium 5-4 47,21,23
AO1 Lithium 5-4 44,11,20
CO1 Control 5-4 20,69,83
nCO1 Control 5-4 19,85,72
ACO1 Control 5-4 37,12,22
nCO1 Control 5-4 37,69,63
ACO1 Control 5-4 16,9,9
CO1 Control 5-4 35,67,77
AO1 Lithium 5-4 23,0,0
CO1 Control 5-4 7,64,64
AO1 Control 5-4 18,7,5
ACO1 Control 5-4 5,15,15
CO1 Control 5-4 11,0,0
CO1 Lithium 5-4 33,97,95
nCO1 Lithium 5-4 27,65,71
CO1 Control 5-4 19,0,0
nCO1 Lithium 5-4 37,1,3
nCO1 Lithium 5-4 45,75,67
nCO1 Control 5-4 28,0,0
CO1 Control 5-4 44,50,59
AO1 Control 5-4 24,0,0
nCO1 Control 5-4 3,0,2
ACO1 Control 5-4 11,29,21
nCO1 Control 5-4 49,1,0
nCO1 Control 5-4 15,61,54
AO1 Control 5-4 46,29,7
nCO1 Lithium 5-4 12,81,97
ACO1 Lithium 5-4 33,32,27
AO1 Lithium 5-4 3,2,1
ACO1 Control 5-4 38,7,19
ACO1 Control 5-4 29,2,0
ACO1 Control 5-4 13,27,30
ACO1 Control 5-4 35,26,30
ACO1 Lithium 5-4 32,55,0
ACO1 Lithium 5-4 29,8,3
nCO1 Lithium 5-4 4,52,75
nCO1 Control 5-4 17,65,88
nCO1 Lithium 5-4 40,69,79
nCO1 Control 5-4 25,59,67
ACO1 Control 5-4 43,9,1
AO1 Lithium 5-4 22,13,17
AO1 Lithium 5-4 1,29,41
CO1 Lithium 5-4 22,34,55
ACO1 Lithium 5-4 46,9,18
