RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,107,61
CO1 Control 5-4 34,38,37
CO1 Control 5-4 41,210,43
nCO1 Lithium 5-4 32,13,10
AO1 Control 5-4 25,90,18
nCO1 Lithium 5-4 46,198,97
CO1 Control 5-4 14,137,73
nCO1 Control 5-4 8,144,77
AO1 Lithium 5-4 40,9,9
nCO1 Lithium 5-4 19,193,50
ACO1 Lithium 5-4 14,3,0
ACO1 Control 5-4 33,195,0
AO1 Control 5-4 7,61,15
AO1 Lithium 5-4 14,15,4
ACO1 Lithium 5-4 9,152,31
ACO1 Control 5-4 36,176,36
ACO1 Control 5-4 40,8,0
CO1 Control 5-4 45,146,81
CO1 Lithium 5-4 50,186,54
AO1 Control 5-4 27,68,3
ACO1 Lithium 5-4 6,20,26
AO1 Control 5-4 42,89,22
ACO1 Control 5-4 17,68,5
CO1 Lithium 5-4 13,114,62
AO1 Lithium 5-4 46,24,0
AO1 Control 5-4 33,71,36
CO1 Lithium 5-4 35,129,86
nCO1 Lithium 5-4 50,221,94
CO1 Lithium 5-4 43,117,52
CO1 Control 5-4 3,107,51
ACO1 Lithium 5-4 26,87,4
CO1 Control 5-4 5,53,0
AO1 Control 5-4 41,174,28
CO1 Control 5-4 21,170,69
nCO1 Control 5-4 30,145,55
AO1 Lithium 5-4 37,123,42
nCO1 Control 5-4 14,87,48
CO1 Lithium 5-4 23,116,92
ACO1 Lithium 5-4 40,12,9
nCO1 Lithium 5-4 41,190,76
ACO1 Control 5-4 21,101,58
CO1 Lithium 5-4 20,148,61
AO1 Control 5-4 19,33,0
ACO1 Lithium 5-4 23,15,10
ACO1 Control 5-4 39,42,5
AO1 Lithium 5-4 39,0,0
ACO1 Lithium 5-4 20,38,19
CO1 Lithium 5-4 42,123,0
CO1 Lithium 5-4 32,217,82
nCO1 Control 5-4 44,206,113
nCO1 Control 5-4 45,122,29
AO1 Lithium 5-4 34,10,0
AO1 Control 5-4 9,43,37
AO1 Control 5-4 36,93,6
AO1 Lithium 5-4 12,11,28
nCO1 Lithium 5-4 11,219,92
CO1 Lithium 5-4 38,125,59
nCO1 Lithium 5-4 9,212,80
nCO1 Lithium 5-4 15,173,89
AO1 Lithium 5-4 33,42,49
nCO1 Lithium 5-4 49,135,14
AO1 Control 5-4 6,117,67
CO1 Control 5-4 12,196,69
CO1 Control 5-4 15,146,82
nCO1 Lithium 5-4 6,189,90
ACO1 Control 5-4 25,34,24
ACO1 Lithium 5-4 3,31,38
CO1 Control 5-4 29,114,82
AO1 Control 5-4 26,28,5
nCO1 Lithium 5-4 23,210,112
ACO1 Control 5-4 47,106,22
AO1 Lithium 5-4 15,25,10
CO1 Control 5-4 49,91,47
ACO1 Control 5-4 42,81,25
CO1 Lithium 5-4 46,148,52
ACO1 Control 5-4 26,128,54
ACO1 Lithium 5-4 12,170,0
CO1 Lithium 5-4 47,186,78
ACO1 Lithium 5-4 42,107,37
nCO1 Lithium 5-4 13,127,90
nCO1 Control 5-4 48,11,0
AO1 Control 5-4 39,71,35
ACO1 Control 5-4 41,46,18
CO1 Lithium 5-4 28,172,76
nCO1 Control 5-4 16,39,0
ACO1 Lithium 5-4 1,41,13
ACO1 Lithium 5-4 38,36,0
