RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,210,61
CO1 Control 5-4 34,125,37
CO1 Control 5-4 41,291,43
nCO1 Lithium 5-4 32,31,10
AO1 Control 5-4 25,228,18
nCO1 Lithium 5-4 46,261,97
CO1 Control 5-4 14,212,73
nCO1 Control 5-4 8,218,77
AO1 Lithium 5-4 40,71,9
nCO1 Lithium 5-4 19,321,50
ACO1 Lithium 5-4 14,32,0
ACO1 Control 5-4 33,190,0
AO1 Control 5-4 7,185,15
AO1 Lithium 5-4 14,117,4
ACO1 Lithium 5-4 9,232,31
ACO1 Control 5-4 36,248,36
ACO1 Control 5-4 40,71,0
CO1 Control 5-4 45,274,81
CO1 Lithium 5-4 50,258,54
AO1 Control 5-4 27,162,3
ACO1 Lithium 5-4 6,80,26
AO1 Control 5-4 42,180,22
ACO1 Control 5-4 17,197,5
CO1 Lithium 5-4 13,172,62
AO1 Lithium 5-4 46,35,0
AO1 Control 5-4 33,167,36
CO1 Lithium 5-4 35,190,86
nCO1 Lithium 5-4 50,306,94
CO1 Lithium 5-4 43,201,52
CO1 Control 5-4 3,198,51
ACO1 Lithium 5-4 26,165,4
CO1 Control 5-4 5,55,0
AO1 Control 5-4 41,254,28
CO1 Control 5-4 21,234,69
nCO1 Control 5-4 30,204,55
AO1 Lithium 5-4 37,184,42
nCO1 Control 5-4 14,177,48
CO1 Lithium 5-4 23,204,92
ACO1 Lithium 5-4 40,55,9
nCO1 Lithium 5-4 41,258,76
ACO1 Control 5-4 21,195,58
CO1 Lithium 5-4 20,251,61
AO1 Control 5-4 19,31,0
ACO1 Lithium 5-4 23,61,10
ACO1 Control 5-4 39,173,5
AO1 Lithium 5-4 39,21,0
ACO1 Lithium 5-4 20,115,19
CO1 Lithium 5-4 42,194,0
CO1 Lithium 5-4 32,280,82
nCO1 Control 5-4 44,326,113
nCO1 Control 5-4 45,259,29
AO1 Lithium 5-4 34,42,0
AO1 Control 5-4 9,131,37
AO1 Control 5-4 36,207,6
AO1 Lithium 5-4 12,50,28
nCO1 Lithium 5-4 11,282,92
CO1 Lithium 5-4 38,204,59
nCO1 Lithium 5-4 9,308,80
nCO1 Lithium 5-4 15,239,89
AO1 Lithium 5-4 33,131,49
nCO1 Lithium 5-4 49,246,14
AO1 Control 5-4 6,202,67
CO1 Control 5-4 12,345,69
CO1 Control 5-4 15,200,82
nCO1 Lithium 5-4 6,235,90
ACO1 Control 5-4 25,66,24
ACO1 Lithium 5-4 3,118,38
CO1 Control 5-4 29,211,82
AO1 Control 5-4 26,118,5
nCO1 Lithium 5-4 23,305,112
ACO1 Control 5-4 47,208,22
AO1 Lithium 5-4 15,71,10
CO1 Control 5-4 49,224,47
ACO1 Control 5-4 42,221,25
CO1 Lithium 5-4 46,278,52
ACO1 Control 5-4 26,200,54
ACO1 Lithium 5-4 12,158,0
CO1 Lithium 5-4 47,299,78
ACO1 Lithium 5-4 42,217,37
nCO1 Lithium 5-4 13,239,90
nCO1 Control 5-4 48,96,0
AO1 Control 5-4 39,168,35
ACO1 Control 5-4 41,161,18
CO1 Lithium 5-4 28,277,76
nCO1 Control 5-4 16,160,0
ACO1 Lithium 5-4 1,117,13
ACO1 Lithium 5-4 38,157,0
nCO1 Lithium 5-4 7,227,88
CO1 Control 5-4 28,240,50
AO1 Lithium 5-4 30,118,41
ACO1 Control 5-4 22,247,29
nCO1 Lithium 5-4 16,281,117
ACO1 Control 5-4 18,205,22
CO1 Control 5-4 37,278,52
AO1 Control 5-4 47,133,33
AO1 Lithium 5-4 6,24,0
AO1 Control 5-4 44,220,30
nCO1 Control 5-4 36,220,1
AO1 Control 5-4 17,330,0
CO1 Lithium 5-4 14,317,0
nCO1 Lithium 5-4 17,293,83
nCO1 Control 5-4 38,209,91
AO1 Control 5-4 49,115,23
CO1 Lithium 5-4 8,195,36
CO1 Control 5-4 2,263,23
CO1 Lithium 5-4 34,198,25
AO1 Control 5-4 4,214,36
AO1 Lithium 5-4 41,110,4
ACO1 Lithium 5-4 48,96,36
nCO1 Control 5-4 22,253,75
AO1 Lithium 5-4 28,62,0
ACO1 Control 5-4 34,140,36
AO1 Lithium 5-4 4,179,0
AO1 Lithium 5-4 16,146,22
AO1 Control 5-4 31,231,35
nCO1 Control 5-4 34,211,68
AO1 Control 5-4 37,105,9
ACO1 Lithium 5-4 36,201,26
nCO1 Control 5-4 50,229,45
CO1 Control 5-4 1,214,0
AO1 Control 5-4 32,97,11
AO1 Control 5-4 5,169,9
AO1 Lithium 5-4 31,125,19
nCO1 Control 5-4 11,287,114
nCO1 Lithium 5-4 30,31,5
AO1 Lithium 5-4 11,349,13
nCO1 Lithium 5-4 28,270,84
CO1 Lithium 5-4 2,241,86
CO1 Lithium 5-4 6,368,0
nCO1 Lithium 5-4 29,238,92
CO1 Lithium 5-4 11,308,79
ACO1 Lithium 5-4 27,207,49
CO1 Control 5-4 24,328,0
CO1 Lithium 5-4 12,288,103
CO1 Lithium 5-4 5,198,92
ACO1 Lithium 5-4 2,62,1
ACO1 Lithium 5-4 19,196,35
CO1 Lithium 5-4 7,186,59
ACO1 Lithium 5-4 4,17,2
ACO1 Control 5-4 28,75,0
CO1 Control 5-4 26,262,105
CO1 Control 5-4 18,542,0
AO1 Lithium 5-4 8,116,9
CO1 Lithium 5-4 4,148,0
ACO1 Control 5-4 45,77,0
CO1 Lithium 5-4 26,295,87
CO1 Control 5-4 6,254,44
ACO1 Control 5-4 27,120,9
CO1 Control 5-4 31,267,81
ACO1 Control 5-4 50,153,3
AO1 Control 5-4 14,181,18
CO1 Lithium 5-4 40,278,88
nCO1 Control 5-4 39,263,49
ACO1 Lithium 5-4 43,77,0
nCO1 Lithium 5-4 48,194,64
AO1 Lithium 5-4 42,199,49
ACO1 Control 5-4 32,143,35
nCO1 Lithium 5-4 2,337,118
nCO1 Control 5-4 29,192,63
AO1 Control 5-4 29,108,49
nCO1 Lithium 5-4 24,236,53
nCO1 Control 5-4 33,258,94
nCO1 Control 5-4 4,37,0
AO1 Lithium 5-4 21,119,14
CO1 Control 5-4 33,179,66
nCO1 Lithium 5-4 34,18,0
CO1 Control 5-4 8,177,60
AO1 Control 5-4 43,137,28
nCO1 Control 5-4 10,258,87
AO1 Lithium 5-4 35,106,2
CO1 Lithium 5-4 18,222,34
nCO1 Control 5-4 46,262,62
CO1 Control 5-4 50,220,46
AO1 Lithium 5-4 45,250,38
ACO1 Lithium 5-4 34,258,0
nCO1 Control 5-4 2,239,87
ACO1 Lithium 5-4 11,232,45
nCO1 Lithium 5-4 22,26,0
AO1 Lithium 5-4 7,157,49
AO1 Control 5-4 11,203,45
ACO1 Lithium 5-4 16,83,16
