RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,68,61
CO1 Control 5-4 34,21,37
CO1 Control 5-4 41,128,43
nCO1 Lithium 5-4 32,18,10
AO1 Control 5-4 25,61,18
nCO1 Lithium 5-4 46,119,97
CO1 Control 5-4 14,79,73
nCO1 Control 5-4 8,108,77
AO1 Lithium 5-4 40,2,9
nCO1 Lithium 5-4 19,167,50
ACO1 Lithium 5-4 14,4,0
ACO1 Control 5-4 33,0,0
AO1 Control 5-4 7,46,15
AO1 Lithium 5-4 14,17,4
ACO1 Lithium 5-4 9,73,31
ACO1 Control 5-4 36,123,36
ACO1 Control 5-4 40,0,0
CO1 Control 5-4 45,117,81
CO1 Lithium 5-4 50,115,54
AO1 Control 5-4 27,33,3
ACO1 Lithium 5-4 6,35,26
AO1 Control 5-4 42,49,22
ACO1 Control 5-4 17,35,5
CO1 Lithium 5-4 13,72,62
AO1 Lithium 5-4 46,16,0
AO1 Control 5-4 33,70,36
CO1 Lithium 5-4 35,115,86
nCO1 Lithium 5-4 50,165,94
CO1 Lithium 5-4 43,64,52
CO1 Control 5-4 3,76,51
ACO1 Lithium 5-4 26,24,4
CO1 Control 5-4 5,53,0
AO1 Control 5-4 41,110,28
CO1 Control 5-4 21,115,69
nCO1 Control 5-4 30,105,55
AO1 Lithium 5-4 37,71,42
nCO1 Control 5-4 14,90,48
CO1 Lithium 5-4 23,125,92
ACO1 Lithium 5-4 40,11,9
nCO1 Lithium 5-4 41,133,76
ACO1 Control 5-4 21,94,58
CO1 Lithium 5-4 20,129,61
AO1 Control 5-4 19,27,0
ACO1 Lithium 5-4 23,18,10
ACO1 Control 5-4 39,27,5
AO1 Lithium 5-4 39,43,0
ACO1 Lithium 5-4 20,22,19
CO1 Lithium 5-4 42,81,0
CO1 Lithium 5-4 32,173,82
nCO1 Control 5-4 44,187,113
nCO1 Control 5-4 45,95,29
AO1 Lithium 5-4 34,15,0
AO1 Control 5-4 9,41,37
AO1 Control 5-4 36,55,6
AO1 Lithium 5-4 12,11,28
nCO1 Lithium 5-4 11,174,92
CO1 Lithium 5-4 38,102,59
nCO1 Lithium 5-4 9,167,80
nCO1 Lithium 5-4 15,138,89
AO1 Lithium 5-4 33,55,49
nCO1 Lithium 5-4 49,112,14
AO1 Control 5-4 6,86,67
CO1 Control 5-4 12,154,69
CO1 Control 5-4 15,111,82
nCO1 Lithium 5-4 6,130,90
ACO1 Control 5-4 25,30,24
ACO1 Lithium 5-4 3,37,38
CO1 Control 5-4 29,131,82
AO1 Control 5-4 26,25,5
nCO1 Lithium 5-4 23,175,112
ACO1 Control 5-4 47,48,22
AO1 Lithium 5-4 15,6,10
CO1 Control 5-4 49,98,47
ACO1 Control 5-4 42,77,25
CO1 Lithium 5-4 46,130,52
ACO1 Control 5-4 26,91,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,166,78
ACO1 Lithium 5-4 42,89,37
nCO1 Lithium 5-4 13,109,90
nCO1 Control 5-4 48,16,0
AO1 Control 5-4 39,75,35
ACO1 Control 5-4 41,15,18
CO1 Lithium 5-4 28,154,76
nCO1 Control 5-4 16,15,0
ACO1 Lithium 5-4 1,51,13
ACO1 Lithium 5-4 38,8,0
nCO1 Lithium 5-4 7,114,88
CO1 Control 5-4 28,81,50
AO1 Lithium 5-4 30,45,41
