RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,168,61
CO1 Control 5-4 34,133,37
CO1 Control 5-4 41,241,43
nCO1 Lithium 5-4 32,90,10
AO1 Control 5-4 25,200,18
nCO1 Lithium 5-4 46,212,97
CO1 Control 5-4 14,183,73
nCO1 Control 5-4 8,200,77
AO1 Lithium 5-4 40,90,9
nCO1 Lithium 5-4 19,265,50
ACO1 Lithium 5-4 14,68,0
ACO1 Control 5-4 33,185,0
AO1 Control 5-4 7,153,15
AO1 Lithium 5-4 14,121,4
ACO1 Lithium 5-4 9,214,31
ACO1 Control 5-4 36,225,36
ACO1 Control 5-4 40,82,0
CO1 Control 5-4 45,186,81
CO1 Lithium 5-4 50,226,54
AO1 Control 5-4 27,130,3
ACO1 Lithium 5-4 6,86,26
AO1 Control 5-4 42,135,22
ACO1 Control 5-4 17,151,5
CO1 Lithium 5-4 13,146,62
AO1 Lithium 5-4 46,31,0
AO1 Control 5-4 33,164,36
CO1 Lithium 5-4 35,179,86
nCO1 Lithium 5-4 50,276,94
CO1 Lithium 5-4 43,185,52
CO1 Control 5-4 3,167,51
ACO1 Lithium 5-4 26,141,4
CO1 Control 5-4 5,73,0
AO1 Control 5-4 41,266,28
CO1 Control 5-4 21,220,69
nCO1 Control 5-4 30,232,55
AO1 Lithium 5-4 37,162,42
nCO1 Control 5-4 14,160,48
CO1 Lithium 5-4 23,189,92
ACO1 Lithium 5-4 40,91,9
nCO1 Lithium 5-4 41,229,76
ACO1 Control 5-4 21,178,58
CO1 Lithium 5-4 20,219,61
AO1 Control 5-4 19,40,0
ACO1 Lithium 5-4 23,73,10
ACO1 Control 5-4 39,130,5
AO1 Lithium 5-4 39,82,0
ACO1 Lithium 5-4 20,115,19
CO1 Lithium 5-4 42,201,0
CO1 Lithium 5-4 32,275,82
nCO1 Control 5-4 44,285,113
nCO1 Control 5-4 45,217,29
AO1 Lithium 5-4 34,71,0
AO1 Control 5-4 9,120,37
AO1 Control 5-4 36,179,6
AO1 Lithium 5-4 12,87,28
nCO1 Lithium 5-4 11,245,92
CO1 Lithium 5-4 38,179,59
nCO1 Lithium 5-4 9,257,80
nCO1 Lithium 5-4 15,219,89
AO1 Lithium 5-4 33,117,49
nCO1 Lithium 5-4 49,201,14
AO1 Control 5-4 6,176,67
CO1 Control 5-4 12,278,69
CO1 Control 5-4 15,183,82
nCO1 Lithium 5-4 6,211,90
ACO1 Control 5-4 25,111,24
ACO1 Lithium 5-4 3,116,38
CO1 Control 5-4 29,192,82
AO1 Control 5-4 26,122,5
nCO1 Lithium 5-4 23,277,112
ACO1 Control 5-4 47,177,22
AO1 Lithium 5-4 15,80,10
CO1 Control 5-4 49,218,47
ACO1 Control 5-4 42,140,25
CO1 Lithium 5-4 46,212,52
ACO1 Control 5-4 26,191,54
ACO1 Lithium 5-4 12,154,0
CO1 Lithium 5-4 47,299,78
ACO1 Lithium 5-4 42,142,37
nCO1 Lithium 5-4 13,214,90
nCO1 Control 5-4 48,95,0
AO1 Control 5-4 39,158,35
ACO1 Control 5-4 41,116,18
CO1 Lithium 5-4 28,239,76
nCO1 Control 5-4 16,115,0
ACO1 Lithium 5-4 1,92,13
ACO1 Lithium 5-4 38,120,0
nCO1 Lithium 5-4 7,226,88
CO1 Control 5-4 28,161,50
AO1 Lithium 5-4 30,107,41
ACO1 Control 5-4 22,209,29
nCO1 Lithium 5-4 16,265,117
ACO1 Control 5-4 18,140,22
CO1 Control 5-4 37,273,52
AO1 Control 5-4 47,138,33
AO1 Lithium 5-4 6,30,0
AO1 Control 5-4 44,155,30
nCO1 Control 5-4 36,216,1
AO1 Control 5-4 17,310,0
CO1 Lithium 5-4 14,294,0
nCO1 Lithium 5-4 17,270,83
nCO1 Control 5-4 38,182,91
AO1 Control 5-4 49,106,23
CO1 Lithium 5-4 8,164,36
CO1 Control 5-4 2,205,23
CO1 Lithium 5-4 34,188,25
AO1 Control 5-4 4,180,36
AO1 Lithium 5-4 41,94,4
ACO1 Lithium 5-4 48,121,36
nCO1 Control 5-4 22,223,75
AO1 Lithium 5-4 28,68,0
ACO1 Control 5-4 34,123,36
AO1 Lithium 5-4 4,191,0
AO1 Lithium 5-4 16,113,22
AO1 Control 5-4 31,179,35
nCO1 Control 5-4 34,182,68
AO1 Control 5-4 37,97,9
ACO1 Lithium 5-4 36,158,26
nCO1 Control 5-4 50,231,45
CO1 Control 5-4 1,220,0
AO1 Control 5-4 32,86,11
AO1 Control 5-4 5,144,9
AO1 Lithium 5-4 31,128,19
nCO1 Control 5-4 11,272,114
nCO1 Lithium 5-4 30,100,5
AO1 Lithium 5-4 11,300,13
nCO1 Lithium 5-4 28,217,84
CO1 Lithium 5-4 2,216,86
CO1 Lithium 5-4 6,360,0
nCO1 Lithium 5-4 29,226,92
CO1 Lithium 5-4 11,241,79
ACO1 Lithium 5-4 27,169,49
CO1 Control 5-4 24,450,0
CO1 Lithium 5-4 12,234,103
CO1 Lithium 5-4 5,178,92
ACO1 Lithium 5-4 2,81,1
ACO1 Lithium 5-4 19,154,35
CO1 Lithium 5-4 7,157,59
ACO1 Lithium 5-4 4,76,2
ACO1 Control 5-4 28,87,0
CO1 Control 5-4 26,198,105
CO1 Control 5-4 18,638,0
AO1 Lithium 5-4 8,128,9
CO1 Lithium 5-4 4,150,0
ACO1 Control 5-4 45,84,0
CO1 Lithium 5-4 26,265,87
CO1 Control 5-4 6,253,44
ACO1 Control 5-4 27,123,9
CO1 Control 5-4 31,247,81
ACO1 Control 5-4 50,119,3
AO1 Control 5-4 14,195,18
CO1 Lithium 5-4 40,235,88
nCO1 Control 5-4 39,249,49
ACO1 Lithium 5-4 43,76,0
nCO1 Lithium 5-4 48,154,64
AO1 Lithium 5-4 42,172,49
ACO1 Control 5-4 32,125,35
nCO1 Lithium 5-4 2,354,118
nCO1 Control 5-4 29,171,63
AO1 Control 5-4 29,106,49
nCO1 Lithium 5-4 24,216,53
nCO1 Control 5-4 33,211,94
nCO1 Control 5-4 4,34,0
AO1 Lithium 5-4 21,104,14
CO1 Control 5-4 33,161,66
nCO1 Lithium 5-4 34,66,0
CO1 Control 5-4 8,145,60
AO1 Control 5-4 43,123,28
nCO1 Control 5-4 10,197,87
AO1 Lithium 5-4 35,131,2
CO1 Lithium 5-4 18,182,34
nCO1 Control 5-4 46,234,62
CO1 Control 5-4 50,214,46
AO1 Lithium 5-4 45,213,38
ACO1 Lithium 5-4 34,263,0
nCO1 Control 5-4 2,209,87
ACO1 Lithium 5-4 11,193,45
nCO1 Lithium 5-4 22,29,0
AO1 Lithium 5-4 7,134,49
AO1 Control 5-4 11,164,45
ACO1 Lithium 5-4 16,104,16
ACO1 Lithium 5-4 17,119,34
nCO1 Control 5-4 9,10,0
nCO1 Control 5-4 18,260,105
ACO1 Control 5-4 46,152,46
CO1 Lithium 5-4 30,247,89
ACO1 Lithium 5-4 31,104,11
ACO1 Control 5-4 24,118,16
CO1 Lithium 5-4 9,151,62
CO1 Lithium 5-4 25,204,90
AO1 Control 5-4 16,185,37
CO1 Lithium 5-4 3,162,89
ACO1 Lithium 5-4 30,77,0
ACO1 Lithium 5-4 39,100,10
ACO1 Lithium 5-4 49,198,0
ACO1 Control 5-4 31,237,92
CO1 Lithium 5-4 17,321,82
ACO1 Lithium 5-4 22,96,24
ACO1 Control 5-4 49,298,9
ACO1 Control 5-4 8,32,0
nCO1 Lithium 5-4 43,67,10
nCO1 Control 5-4 41,297,111
AO1 Lithium 5-4 49,101,8
AO1 Control 5-4 50,118,23
AO1 Lithium 5-4 5,76,2
nCO1 Control 5-4 20,218,85
nCO1 Control 5-4 5,172,80
ACO1 Control 5-4 12,145,5
nCO1 Lithium 5-4 47,179,61
AO1 Control 5-4 10,42,0
ACO1 Lithium 5-4 50,98,4
CO1 Control 5-4 36,270,76
ACO1 Control 5-4 3,123,10
nCO1 Lithium 5-4 39,176,63
ACO1 Lithium 5-4 47,395,0
nCO1 Control 5-4 26,136,0
CO1 Lithium 5-4 21,267,67
AO1 Control 5-4 45,115,29
nCO1 Control 5-4 23,266,100
CO1 Control 5-4 32,188,51
ACO1 Control 5-4 10,148,17
nCO1 Control 5-4 6,240,74
nCO1 Control 5-4 31,256,71
nCO1 Lithium 5-4 36,278,121
ACO1 Control 5-4 9,131,14
CO1 Lithium 5-4 15,214,125
AO1 Lithium 5-4 20,88,18
nCO1 Control 5-4 12,213,52
nCO1 Lithium 5-4 18,186,58
AO1 Control 5-4 20,148,5
nCO1 Lithium 5-4 26,235,97
CO1 Lithium 5-4 19,170,80
nCO1 Lithium 5-4 8,228,48
AO1 Control 5-4 40,107,11
CO1 Control 5-4 40,254,100
AO1 Lithium 5-4 17,122,13
nCO1 Lithium 5-4 44,246,101
CO1 Control 5-4 48,165,28
CO1 Control 5-4 27,201,62
CO1 Control 5-4 22,354,0
CO1 Control 5-4 13,208,66
