RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,52,61
CO1 Control 5-4 34,18,37
CO1 Control 5-4 41,75,43
nCO1 Lithium 5-4 32,0,10
AO1 Control 5-4 25,36,18
nCO1 Lithium 5-4 46,95,97
CO1 Control 5-4 14,54,73
nCO1 Control 5-4 8,76,77
AO1 Lithium 5-4 40,0,9
nCO1 Lithium 5-4 19,93,50
ACO1 Lithium 5-4 14,0,0
ACO1 Control 5-4 33,105,0
AO1 Control 5-4 7,13,15
AO1 Lithium 5-4 14,2,4
ACO1 Lithium 5-4 9,33,31
ACO1 Control 5-4 36,99,36
ACO1 Control 5-4 40,0,0
CO1 Control 5-4 45,84,81
CO1 Lithium 5-4 50,70,54
AO1 Control 5-4 27,4,3
ACO1 Lithium 5-4 6,27,26
AO1 Control 5-4 42,25,22
ACO1 Control 5-4 17,7,5
CO1 Lithium 5-4 13,59,62
AO1 Lithium 5-4 46,16,0
AO1 Control 5-4 33,57,36
CO1 Lithium 5-4 35,84,86
nCO1 Lithium 5-4 50,142,94
CO1 Lithium 5-4 43,42,52
CO1 Control 5-4 3,31,51
ACO1 Lithium 5-4 26,21,4
CO1 Control 5-4 5,0,0
AO1 Control 5-4 41,37,28
CO1 Control 5-4 21,87,69
nCO1 Control 5-4 30,95,55
AO1 Lithium 5-4 37,53,42
nCO1 Control 5-4 14,56,48
CO1 Lithium 5-4 23,105,92
ACO1 Lithium 5-4 40,2,9
nCO1 Lithium 5-4 41,123,76
ACO1 Control 5-4 21,87,58
CO1 Lithium 5-4 20,61,61
AO1 Control 5-4 19,25,0
ACO1 Lithium 5-4 23,14,10
ACO1 Control 5-4 39,13,5
AO1 Lithium 5-4 39,0,0
ACO1 Lithium 5-4 20,18,19
CO1 Lithium 5-4 42,32,0
CO1 Lithium 5-4 32,74,82
nCO1 Control 5-4 44,166,113
nCO1 Control 5-4 45,55,29
AO1 Lithium 5-4 34,0,0
AO1 Control 5-4 9,23,37
AO1 Control 5-4 36,37,6
AO1 Lithium 5-4 12,8,28
nCO1 Lithium 5-4 11,128,92
CO1 Lithium 5-4 38,70,59
nCO1 Lithium 5-4 9,131,80
nCO1 Lithium 5-4 15,105,89
AO1 Lithium 5-4 33,48,49
nCO1 Lithium 5-4 49,22,14
AO1 Control 5-4 6,56,67
CO1 Control 5-4 12,100,69
CO1 Control 5-4 15,91,82
nCO1 Lithium 5-4 6,89,90
ACO1 Control 5-4 25,16,24
ACO1 Lithium 5-4 3,20,38
CO1 Control 5-4 29,58,82
AO1 Control 5-4 26,7,5
nCO1 Lithium 5-4 23,146,112
ACO1 Control 5-4 47,33,22
AO1 Lithium 5-4 15,4,10
CO1 Control 5-4 49,28,47
ACO1 Control 5-4 42,16,25
CO1 Lithium 5-4 46,39,52
ACO1 Control 5-4 26,34,54
ACO1 Lithium 5-4 12,0,0
CO1 Lithium 5-4 47,109,78
ACO1 Lithium 5-4 42,37,37
nCO1 Lithium 5-4 13,54,90
nCO1 Control 5-4 48,3,0
AO1 Control 5-4 39,29,35
ACO1 Control 5-4 41,10,18
CO1 Lithium 5-4 28,104,76
nCO1 Control 5-4 16,15,0
ACO1 Lithium 5-4 1,19,13
ACO1 Lithium 5-4 38,8,0
nCO1 Lithium 5-4 7,99,88
CO1 Control 5-4 28,55,50
AO1 Lithium 5-4 30,34,41
ACO1 Control 5-4 22,45,29
nCO1 Lithium 5-4 16,130,117
ACO1 Control 5-4 18,20,22
CO1 Control 5-4 37,48,52
AO1 Control 5-4 47,32,33
AO1 Lithium 5-4 6,72,0
AO1 Control 5-4 44,31,30
nCO1 Control 5-4 36,38,1
AO1 Control 5-4 17,0,0
CO1 Lithium 5-4 14,144,0
nCO1 Lithium 5-4 17,104,83
nCO1 Control 5-4 38,96,91
AO1 Control 5-4 49,19,23
CO1 Lithium 5-4 8,38,36
CO1 Control 5-4 2,38,23
CO1 Lithium 5-4 34,37,25
AO1 Control 5-4 4,26,36
AO1 Lithium 5-4 41,8,4
ACO1 Lithium 5-4 48,27,36
nCO1 Control 5-4 22,100,75
AO1 Lithium 5-4 28,0,0
ACO1 Control 5-4 34,36,36
AO1 Lithium 5-4 4,25,0
AO1 Lithium 5-4 16,28,22
AO1 Control 5-4 31,41,35
nCO1 Control 5-4 34,72,68
AO1 Control 5-4 37,8,9
ACO1 Lithium 5-4 36,60,26
nCO1 Control 5-4 50,70,45
CO1 Control 5-4 1,109,0
AO1 Control 5-4 32,4,11
AO1 Control 5-4 5,12,9
AO1 Lithium 5-4 31,15,19
nCO1 Control 5-4 11,165,114
nCO1 Lithium 5-4 30,17,5
AO1 Lithium 5-4 11,64,13
nCO1 Lithium 5-4 28,105,84
CO1 Lithium 5-4 2,118,86
CO1 Lithium 5-4 6,374,0
nCO1 Lithium 5-4 29,106,92
CO1 Lithium 5-4 11,99,79
ACO1 Lithium 5-4 27,83,49
CO1 Control 5-4 24,46,0
CO1 Lithium 5-4 12,145,103
CO1 Lithium 5-4 5,108,92
ACO1 Lithium 5-4 2,2,1
ACO1 Lithium 5-4 19,52,35
