RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 8,44,61
CO1 Control 5-4 34,11,37
CO1 Control 5-4 41,72,43
nCO1 Lithium 5-4 32,0,10
AO1 Control 5-4 25,33,18
nCO1 Lithium 5-4 46,95,97
CO1 Control 5-4 14,52,73
nCO1 Control 5-4 8,70,77
AO1 Lithium 5-4 40,0,9
nCO1 Lithium 5-4 19,68,50
ACO1 Lithium 5-4 14,1,0
ACO1 Control 5-4 33,15,0
AO1 Control 5-4 7,17,15
AO1 Lithium 5-4 14,3,4
ACO1 Lithium 5-4 9,26,31
ACO1 Control 5-4 36,53,36
ACO1 Control 5-4 40,0,0
CO1 Control 5-4 45,79,81
CO1 Lithium 5-4 50,49,54
AO1 Control 5-4 27,8,3
ACO1 Lithium 5-4 6,23,26
AO1 Control 5-4 42,21,22
ACO1 Control 5-4 17,7,5
CO1 Lithium 5-4 13,57,62
AO1 Lithium 5-4 46,0,0
AO1 Control 5-4 33,42,36
CO1 Lithium 5-4 35,75,86
nCO1 Lithium 5-4 50,131,94
CO1 Lithium 5-4 43,38,52
CO1 Control 5-4 3,38,51
ACO1 Lithium 5-4 26,4,4
CO1 Control 5-4 5,0,0
AO1 Control 5-4 41,25,28
CO1 Control 5-4 21,79,69
nCO1 Control 5-4 30,47,55
AO1 Lithium 5-4 37,60,42
nCO1 Control 5-4 14,45,48
CO1 Lithium 5-4 23,78,92
ACO1 Lithium 5-4 40,1,9
nCO1 Lithium 5-4 41,108,76
ACO1 Control 5-4 21,59,58
CO1 Lithium 5-4 20,60,61
AO1 Control 5-4 19,0,0
ACO1 Lithium 5-4 23,8,10
ACO1 Control 5-4 39,6,5
AO1 Lithium 5-4 39,0,0
ACO1 Lithium 5-4 20,18,19
CO1 Lithium 5-4 42,16,0
CO1 Lithium 5-4 32,80,82
nCO1 Control 5-4 44,167,113
nCO1 Control 5-4 45,55,29
AO1 Lithium 5-4 34,0,0
AO1 Control 5-4 9,25,37
AO1 Control 5-4 36,16,6
AO1 Lithium 5-4 12,17,28
nCO1 Lithium 5-4 11,107,92
CO1 Lithium 5-4 38,63,59
nCO1 Lithium 5-4 9,116,80
nCO1 Lithium 5-4 15,82,89
AO1 Lithium 5-4 33,33,49
nCO1 Lithium 5-4 49,41,14
AO1 Control 5-4 6,52,67
CO1 Control 5-4 12,85,69
CO1 Control 5-4 15,91,82
nCO1 Lithium 5-4 6,91,90
ACO1 Control 5-4 25,12,24
ACO1 Lithium 5-4 3,22,38
CO1 Control 5-4 29,54,82
AO1 Control 5-4 26,6,5
nCO1 Lithium 5-4 23,146,112
ACO1 Control 5-4 47,20,22
AO1 Lithium 5-4 15,10,10
