RootImage,PrimarySum,SecondarySum,BotSum,AverageSum,PrimaryDiff,SecondaryDiff,BotDiff
CO1 Control 5-1 34,33,31,28,32.0,1.0,1.0,4.0
NCO1 Lithium 5-1 17,89,77,91,83.0,6.0,6.0,8.0
CO1 Lithium 5-1 37,111,91,104,101.0,10.0,10.0,3.0
NCO1 Lithium 5-1 31,96,71,83,83.5,12.5,12.5,0.5
NCO1 Control 5-1 46,52,34,42,43.0,9.0,9.0,1.0
NCO1 Control 5-1 17,90,77,70,83.5,6.5,6.5,13.5
CO1 Lithium 5-1 4,84,70,102,77.0,7.0,7.0,25.0
CO1 Lithium 5-1 46,86,71,95,78.5,7.5,7.5,16.5
CO1 Control 5-1 26,49,41,38,45.0,4.0,4.0,7.0
NCO1 Lithium 5-1 26,92,82,102,87.0,5.0,5.0,15.0
CO1 Lithium 5-1 22,76,52,75,64.0,12.0,12.0,11.0
CO1 Lithium 5-1 23,97,82,95,89.5,7.5,7.5,5.5
NCO1 Lithium 5-1 14,85,71,78,78.0,7.0,7.0,0.0
CO1 Lithium 5-1 47,95,82,84,88.5,6.5,6.5,4.5
CO1 Control 5-1 49,39,30,26,34.5,4.5,4.5,8.5
CO1 Lithium 5-1 7,87,70,87,78.5,8.5,8.5,8.5
NCO1 Lithium 5-1 25,112,105,115,108.5,3.5,3.5,6.5
AO1 Control 5-1 29,40,40,39,40.0,0.0,0.0,1.0
NCO1 Lithium 5-1 15,120,98,113,109.0,11.0,11.0,4.0
ACO1 Lithium 5-1 38,37,29,37,33.0,4.0,4.0,4.0
ACO1 Control 5-1 16,31,25,31,28.0,3.0,3.0,3.0
CO1 Lithium 5-1 16,100,78,91,89.0,11.0,11.0,2.0
NCO1 Control 5-1 39,59,44,45,51.5,7.5,7.5,6.5
ACO1 Lithium 5-1 8,55,47,61,51.0,4.0,4.0,10.0
AO1 Lithium 5-1 7,52,48,48,50.0,2.0,2.0,2.0
AO1 Control 5-1 46,25,23,24,24.0,1.0,1.0,0.0
AO1 Lithium 5-1 2,13,12,14,12.5,0.5,0.5,1.5
AO1 Lithium 5-1 15,24,22,26,23.0,1.0,1.0,3.0
AO1 Control 5-1 14,25,22,19,23.5,1.5,1.5,4.5
CO1 Lithium 5-1 40,73,67,74,70.0,3.0,3.0,4.0
AO1 Control 5-1 48,30,30,34,30.0,0.0,0.0,4.0
NCO1 Control 5-1 44,125,109,124,117.0,8.0,8.0,7.0
CO1 Lithium 5-1 12,97,90,103,93.5,3.5,3.5,9.5
ACO1 Control 5-1 21,17,14,12,15.5,1.5,1.5,3.5
AO1 Lithium 5-1 39,34,32,37,33.0,1.0,1.0,4.0
CO1 Lithium 5-1 32,89,69,90,79.0,10.0,10.0,11.0
NCO1 Lithium 5-1 50,93,74,93,83.5,9.5,9.5,9.5
NCO1 Lithium 5-1 13,111,98,117,104.5,6.5,6.5,12.5
CO1 Lithium 5-1 3,93,73,91,83.0,10.0,10.0,8.0
NCO1 Lithium 5-1 32,95,77,93,86.0,9.0,9.0,7.0
CO1 Lithium 5-1 33,82,73,75,77.5,4.5,4.5,2.5
ACO1 Lithium 5-1 46,35,33,32,34.0,1.0,1.0,2.0
CO1 Control 5-1 16,74,66,66,70.0,4.0,4.0,4.0
CO1 Lithium 5-1 35,82,66,70,74.0,8.0,8.0,4.0
NCO1 Lithium 5-1 29,98,91,98,94.5,3.5,3.5,3.5
NCO1 Lithium 5-1 20,118,101,104,109.5,8.5,8.5,5.5
AO1 Lithium 5-1 17,24,24,23,24.0,0.0,0.0,1.0
AO1 Control 5-1 2,25,26,22,25.5,0.5,0.5,3.5
AO1 Lithium 5-1 50,19,20,21,19.5,0.5,0.5,1.5
NCO1 Lithium 5-1 18,89,72,82,80.5,8.5,8.5,1.5
CO1 Control 5-1 40,47,38,37,42.5,4.5,4.5,5.5
AO1 Lithium 5-1 1,29,23,26,26.0,3.0,3.0,0.0
NCO1 Control 5-1 12,70,50,54,60.0,10.0,10.0,6.0
CO1 Lithium 5-1 36,75,61,67,68.0,7.0,7.0,1.0
CO1 Control 5-1 4,99,75,83,87.0,12.0,12.0,4.0
