RootImage,BotSum,HumanSum
ACO1 Lithium 5-4 4,3,2
ACO1 Lithium 5-4 22,33,24
CO1 Lithium 5-4 9,64,62
AO1 Lithium 5-4 28,1,0
AO1 Lithium 5-4 44,14,20
ACO1 Lithium 5-4 50,8,4
nCO1 Control 5-4 5,72,80
AO1 Control 5-4 1,22,12
CO1 Lithium 5-4 43,61,52
ACO1 Control 5-4 22,39,29
nCO1 Lithium 5-4 41,94,76
CO1 Control 5-4 31,84,81
nCO1 Lithium 5-4 36,132,121
nCO1 Control 5-4 7,56,56
AO1 Lithium 5-4 21,18,14
nCO1 Control 5-4 34,64,68
ACO1 Lithium 5-4 17,43,34
ACO1 Control 5-4 50,8,3
AO1 Control 5-4 46,30,7
AO1 Control 5-4 23,0,0
ACO1 Control 5-4 6,54,34
nCO1 Control 5-4 19,97,72
ACO1 Lithium 5-4 16,17,16
CO1 Control 5-4 17,90,86
ACO1 Control 5-4 14,10,1
AO1 Lithium 5-4 37,50,42
nCO1 Control 5-4 15,68,54
nCO1 Control 5-4 20,104,85
nCO1 Lithium 5-4 14,76,70
ACO1 Lithium 5-4 20,18,19
nCO1 Control 5-4 29,71,63
nCO1 Control 5-4 14,58,48
ACO1 Control 5-4 8,0,0
CO1 Control 5-4 5,0,0
nCO1 Control 5-4 21,67,44
CO1 Control 5-4 41,55,43
CO1 Control 5-4 48,24,28
CO1 Control 5-4 10,67,71
ACO1 Lithium 5-4 45,42,37
CO1 Lithium 5-4 33,104,95
nCO1 Lithium 5-4 9,85,80
nCO1 Lithium 5-4 21,64,56
ACO1 Control 5-4 47,28,22
ACO1 Lithium 5-4 21,7,4
CO1 Control 5-4 40,102,100
ACO1 Control 5-4 46,54,46
nCO1 Lithium 5-4 8,67,48
CO1 Lithium 5-4 19,85,80
nCO1 Lithium 5-4 19,75,50
AO1 Lithium 5-4 46,0,0
nCO1 Control 5-4 32,91,76
CO1 Lithium 5-4 3,87,89
AO1 Control 5-4 2,24,18
AO1 Lithium 5-4 35,0,2
CO1 Control 5-4 15,90,82
AO1 Control 5-4 36,20,6
nCO1 Control 5-4 44,131,113
AO1 Control 5-4 28,0,0
AO1 Lithium 5-4 34,0,0
CO1 Control 5-4 18,0,0
CO1 Control 5-4 7,71,64
CO1 Control 5-4 22,0,0
nCO1 Control 5-4 16,0,0
CO1 Control 5-4 14,67,73
nCO1 Control 5-4 43,76,72
CO1 Lithium 5-4 20,73,61
AO1 Control 5-4 3,43,39
ACO1 Lithium 5-4 14,2,0
AO1 Control 5-4 14,29,18
CO1 Control 5-4 19,0,0
ACO1 Control 5-4 1,0,0
AO1 Control 5-4 37,0,9
nCO1 Lithium 5-4 22,20,0
CO1 Control 5-4 4,37,39
ACO1 Lithium 5-4 7,4,0
CO1 Lithium 5-4 38,69,59
nCO1 Lithium 5-4 20,138,119
CO1 Lithium 5-4 26,88,87
AO1 Lithium 5-4 1,49,41
CO1 Lithium 5-4 39,65,70
CO1 Lithium 5-4 16,0,0
