RootImage,BotSum,HumanSum
C1 46,7,18
C1 47,8,12
C1 19,0,6
C1 48,19,20
C1 43,10,18
C1 39,6,12
C1 21,4,9
C1 12,3,6
C1 28,9,18
C1 17,16,27
C1 18,6,25
C1 25,3,13
C1 33,2,7
C1 10,15,25
C1 37,3,12
C1 26,19,24
C1 7,11,22
C1 6,10,30
C1 51,4,7
C1 9,4,14
C1 58,0,3
C1 23,8,14
C1 11,8,21
C1 14,3,14
C1 57,16,27
C1 5,6,21
C1 53,13,24
C1 1,2,8
C1 15,8,12
C1 41,10,15
C1 36,0,12
C1 30,3,12
C1 44,8,21
C1 38,23,36
C1 27,3,21
C1 55,11,18
C1 32,2,17
C1 60,5,22
C1 8,6,13
C1 29,4,20
C1 13,13,19
C1 52,16,19
C1 59,10,36
C1 31,7,14
C1 3,7,27
C1 2,1,9
C1 50,0,11
C1 35,1,6
C1 4,1,12
C1 56,2,5
C1 16,0,5
C1 45,8,17
C1 34,11,21
C1 20,1,8
C1 42,16,22
C1 22,6,14
C1 54,2,4
C1 24,5,21
C1 49,7,15
C1 40,6,13
