RootImage,BotSum,HumanSum
C1 46,8,18
C1 47,8,12
C1 19,2,6
C1 48,19,20
C1 43,11,18
C1 39,6,12
C1 21,5,9
C1 12,3,6
C1 28,9,18
C1 17,20,27
C1 18,7,25
C1 25,3,13
C1 33,2,7
C1 10,15,25
C1 37,3,12
C1 26,19,24
C1 7,11,22
C1 6,10,30
C1 51,5,7
C1 9,5,14
C1 58,0,3
C1 23,8,14
C1 11,10,21
C1 14,3,14
C1 57,19,27
C1 5,6,21
C1 53,13,24
C1 1,4,8
C1 15,8,12
C1 41,10,15
C1 36,1,12
C1 30,3,12
C1 44,9,21
C1 38,23,36
C1 27,3,21
C1 55,12,18
C1 32,2,17
C1 60,7,22
C1 8,8,13
C1 29,5,20
C1 13,15,19
C1 52,17,19
C1 59,11,36
C1 31,8,14
C1 3,8,27
C1 2,1,9
C1 50,1,11
C1 35,1,6
C1 4,2,12
C1 56,4,5
C1 16,1,5
C1 45,9,17
C1 34,14,21
C1 20,1,8
C1 42,16,22
C1 22,8,14
C1 54,2,4
C1 24,6,21
C1 49,8,15
C1 40,9,13
