CD_RootImage,BotSum,HumanSum
3 3 C5 1.jpg,60,64.0
3 9 D4 51.jpg,26,36.0
3 3 C1 13.jpg,83,85.0
2 21 C1 24.jpg,9,25.0
3 1 D4 21.jpg,100,92.0
3 6 C4 5.jpg,0,0.0
3 2 D5 55.jpg,83,55.0
3 9 C5 19.jpg,43,51.0
3 5 D2 5.jpg,47,58.0
3 5 D3 25.jpg,53,52.0
3 1 D1 11.jpg,90,82.0
2 24 C2 18.jpg,60,56.0
3 2 D2 43.jpg,70,79.0
2 28 C5 60.jpg,51,50.0
2 28 D4 37.jpg,70,40.0
2 25 C4 39.jpg,31,24.0
2 27 D2 52.jpg,69,55.0
2 27 C5 23.jpg,67,51.0
2 23 C3 15.jpg,17,14.0
3 5 C1 56.jpg,94,69.0
3 5 C5 59.jpg,9,0.0
3 9 C4 38.jpg,76,68.0
2 27 D1 13.jpg,35,64.0
3 2 D4 36.jpg,44,72.0
3 6 C4 7.jpg,61,73.0
3 9 C5 60.jpg,51,41.0
2 27 D3 13.jpg,48,46.0
2 27 C3 2.jpg,23,30.0
3 7 C4 46.jpg,41,52.0
2 24 D2 46.jpg,65,62.0
3 4 D4 59.jpg,50,62.0
2 24 C2 29.jpg,47,59.0
3 5 C5 46.jpg,36,43.0
3 7 C4 5.jpg,1,1.0
2 25 C1 18.jpg,70,48.0
3 2 C4 31.jpg,79,52.0
2 27 D2 30.jpg,52,63.0
2 24 C2 37.jpg,50,58.0
3 2 D5 30.jpg,70,71.0
2 27 C5 34.jpg,38,47.0
2 21 C1 9.jpg,4,18.0
2 25 D1 21.jpg,54,64.0
2 26 D4 40.jpg,80,84.0
2 27 C3 43.jpg,21,30.0
3 7 D5 40.jpg,54,59.0
3 3 D4 48.jpg,52,15.0
3 3 D3 36.jpg,69,63.0
2 23 C1 27.jpg,22,44.0
2 24 D4 55.jpg,15,13.0
3 3 C5 39.jpg,116,65.0
2 25 C3 8.jpg,90,92.0
3 8 C5 4.jpg,77,56.0
2 25 D3 60.jpg,6,15.0
3 5 D3 38.jpg,19,16.0
3 4 D4 55.jpg,27,40.0
2 23 D1 36.jpg,6,2.0
2 22 C2 20.jpg,9,12.0
3 10 C5 16.jpg,39,43.0
3 2 C1 49.jpg,86,92.0
3 1 D5 24.jpg,41,53.0
3 6 C1 31.jpg,66,62.0
2 27 C3 29.jpg,53,49.0
3 9 C5 29.jpg,27,29.0
3 4 D2 7.jpg,74,90.0
3 3 C1 23.jpg,60,55.0
3 3 C1 54.jpg,39,61.0
2 28 C2 36.jpg,64,55.0
3 1 C1 22.jpg,59,83.0
2 27 D4 11.jpg,35,47.0
3 7 C4 55.jpg,66,67.0
3 9 D5 21.jpg,1,3.0
2 25 D1 9.jpg,13,46.0
2 27 D3 52.jpg,38,42.0
3 1 D5 25.jpg,92,65.0
3 3 D5 41.jpg,66,24.0
2 28 D4 43.jpg,60,80.0
2 26 C3 45.jpg,60,63.0
2 27 D5 24.jpg,28,40.0
3 4 C5 8.jpg,46,76.0
3 2 C1 1.jpg,22,38.0
3 4 C4 5.jpg,3,1.0
2 25 D4 16.jpg,63,68.0
2 28 C5 4.jpg,43,53.0
2 26 D4 34.jpg,57,51.0
3 2 D4 30.jpg,36,40.0
2 24 D4 41.jpg,21,33.0
3 7 D2 29.jpg,0,0.0
3 6 C3 39.jpg,18,17.0
3 2 D1 21.jpg,2,0.0
2 22 D1 5.jpg,35,40.0
3 1 C5 12.jpg,11,19.0
3 3 D4 56.jpg,63,48.0
2 26 D3 48.jpg,29,42.0
3 3 D3 21.jpg,76,59.0
3 4 C5 36.jpg,51,48.0
2 28 C1 56.jpg,58,71.0
3 5 D2 9.jpg,36,45.0
2 22 D1 56.jpg,54,62.0
3 6 D2 28.jpg,59,50.0
3 8 D5 17.jpg,74,83.0
2 26 C2 47.jpg,47,46.0
3 6 C5 8.jpg,45,44.0
3 7 C2 22.jpg,7,0.0
2 27 D4 20.jpg,66,69.0
3 4 C5 4.jpg,30,59.0
3 6 C5 59.jpg,1,1.0
3 2 D5 39.jpg,50,56.0
3 6 D5 6.jpg,59,60.0
3 7 D5 54.jpg,64,65.0
2 23 D1 45.jpg,40,51.0
2 26 C5 23.jpg,47,56.0
3 6 C1 3.jpg,70,69.0
2 26 C3 8.jpg,115,82.0
2 28 D5 58.jpg,75,80.0
2 25 C1 27.jpg,42,40.0
3 3 C5 31.jpg,130,70.0
3 1 D4 2.jpg,38,46.0
2 26 D1 46.jpg,38,45.0
3 6 C1 4.jpg,33,36.0
3 3 D4 26.jpg,71,67.0
2 26 C4 53.jpg,53,51.0
2 22 D1 11.jpg,58,59.0
3 3 D5 30.jpg,92,45.0
3 3 C5 30.jpg,58,33.0
3 4 C5 30.jpg,36,45.0
3 2 C3 44.jpg,69,77.0
2 25 C4 24.jpg,46,40.0
3 6 D2 57.jpg,62,38.0
3 1 C3 19.jpg,58,90.0
3 4 C5 19.jpg,39,80.0
2 27 D2 38.jpg,61,57.0
2 27 C1 59.jpg,82,93.0
3 9 C5 26.jpg,54,69.0
3 4 D4 54.jpg,62,57.0
2 22 C2 18.jpg,3,10.0
3 2 C2 33.jpg,47,53.0
2 26 C4 18.jpg,72,88.0
2 28 C3 20.jpg,95,95.0
2 24 D3 1.jpg,43,52.0
2 26 C5 5.jpg,69,65.0
2 27 D2 33.jpg,64,61.0
3 1 C1 6.jpg,65,64.0
2 25 C1 21.jpg,34,40.0
3 1 C3 25.jpg,48,56.0
3 5 C3 9.jpg,44,46.0
3 3 D4 55.jpg,76,50.0
3 9 C5 33.jpg,38,35.0
2 26 C3 11.jpg,29,45.0
2 22 D2 35.jpg,7,14.0
3 3 D5 23.jpg,57,47.0
2 28 C2 15.jpg,41,62.0
3 7 D4 19.jpg,45,55.0
3 2 C5 10.jpg,45,47.0
2 26 D5 36.jpg,32,35.0
3 7 C4 43.jpg,60,58.0
