CD_RootImage,BotSum,HumanSum
2 24 D2 17.jpg,78,72.0
2 23 D2 19.jpg,61,56.0
2 28 D3 47.jpg,70,68.0
2 27 C4 31.jpg,58,52.0
3 2 C2 5.jpg,52,48.0
3 3 C3 39.jpg,40,64.0
3 1 C4 56.jpg,77,79.0
3 2 C1 21.jpg,4,12.0
2 26 D2 52.jpg,56,65.0
3 7 C4 6.jpg,29,20.0
3 7 C4 13.jpg,19,26.0
2 25 D1 7.jpg,50,64.0
3 8 D4 44.jpg,0,0.0
2 22 C1 12.jpg,24,29.0
2 22 D2 57.jpg,20,19.0
3 1 D5 20.jpg,54,53.0
3 3 D2 43.jpg,69,62.0
3 3 C3 20.jpg,72,68.0
2 28 C3 28.jpg,59,52.0
3 2 D2 40.jpg,80,74.0
3 3 D3 50.jpg,45,55.0
2 28 D1 19.jpg,56,83.0
2 23 C1 7.jpg,24,49.0
3 6 D5 30.jpg,63,65.0
3 8 D3 2.jpg,59,66.0
3 4 D1 42.jpg,47,37.0
3 2 C2 45.jpg,18,21.0
3 4 C4 28.jpg,33,32.0
2 26 D5 26.jpg,30,51.0
3 8 C3 60.jpg,5,8.0
3 4 C3 25.jpg,72,56.0
2 22 C1 37.jpg,16,34.0
3 6 D1 46.jpg,11,15.0
2 23 D3 43.jpg,1,2.0
2 25 D5 8.jpg,28,19.0
2 22 D1 1.jpg,7,23.0
2 28 C3 50.jpg,71,73.0
3 6 D5 34.jpg,53,52.0
3 4 D2 33.jpg,47,42.0
2 28 C2 14.jpg,71,102.0
2 26 C4 4.jpg,12,2.0
3 1 C5 55.jpg,13,28.0
3 4 C1 23.jpg,54,40.0
2 27 C1 13.jpg,75,72.0
3 9 D4 43.jpg,42,54.0
3 3 D5 37.jpg,96,62.0
2 28 C5 57.jpg,6,4.0
3 6 D3 45.jpg,46,40.0
3 4 D4 1.jpg,5,3.0
2 25 C4 35.jpg,80,67.0
3 7 D5 7.jpg,14,17.0
3 1 C1 19.jpg,65,84.0
2 21 C1 38.jpg,49,38.0
2 26 C3 41.jpg,24,43.0
2 24 C2 1.jpg,0,1.0
3 6 D1 19.jpg,75,62.0
3 8 D5 60.jpg,63,51.0
3 9 D5 40.jpg,14,18.0
2 27 D5 27.jpg,40,64.0
2 25 C3 49.jpg,44,61.0
3 3 D5 35.jpg,46,35.0
2 24 D4 6.jpg,29,30.0
2 25 D4 55.jpg,45,45.0
3 8 C3 24.jpg,0,0.0
2 24 C2 7.jpg,55,51.0
3 4 C3 29.jpg,41,30.0
2 22 D1 54.jpg,45,65.0
3 6 C5 25.jpg,52,54.0
3 1 D3 30.jpg,70,61.0
3 3 C3 29.jpg,51,42.0
3 8 D4 47.jpg,71,69.0
2 24 C2 12.jpg,30,49.0
3 1 C2 53.jpg,32,40.0
2 28 C4 18.jpg,81,57.0
3 7 C4 23.jpg,77,67.0
2 25 C5 48.jpg,17,20.0
3 7 D3 2.jpg,91,86.0
3 4 D1 37.jpg,84,54.0
3 3 D3 4.jpg,79,83.0
3 7 D4 23.jpg,88,69.0
3 6 D2 4.jpg,48,62.0
2 27 C3 4.jpg,70,73.0
2 28 C4 41.jpg,66,69.0
3 3 C4 17.jpg,65,78.0
2 24 C1 49.jpg,58,55.0
2 28 C2 17.jpg,55,67.0
3 4 C2 7.jpg,51,42.0
3 5 C3 52.jpg,61,61.0
2 25 C3 17.jpg,41,50.0
3 3 D3 41.jpg,65,67.0
3 1 D4 25.jpg,68,57.0
2 25 C1 37.jpg,42,47.0
2 23 C1 9.jpg,27,38.0
3 3 C1 36.jpg,51,51.0
2 28 C3 58.jpg,72,63.0
2 28 C4 8.jpg,59,63.0
2 28 C5 29.jpg,47,33.0
2 26 C3 49.jpg,29,49.0
2 28 C1 50.jpg,23,24.0
3 7 C4 53.jpg,51,44.0
2 28 C5 1.jpg,101,71.0
3 1 C1 17.jpg,71,93.0
2 26 C4 46.jpg,54,71.0
3 8 C5 39.jpg,33,44.0
3 4 C2 34.jpg,90,71.0
3 7 C5 44.jpg,45,46.0
2 24 C1 8.jpg,61,49.0
3 1 C4 44.jpg,60,80.0
3 1 C2 13.jpg,126,117.0
2 25 C3 31.jpg,49,49.0
2 26 C1 10.jpg,41,57.0
2 22 C1 11.jpg,36,61.0
2 28 D4 52.jpg,68,63.0
2 24 C2 25.jpg,34,51.0
2 28 D4 13.jpg,69,71.0
2 26 C3 36.jpg,73,80.0
3 10 D5 44.jpg,40,52.0
3 1 C3 58.jpg,55,65.0
2 28 D4 51.jpg,106,99.0
2 27 C5 35.jpg,68,64.0
3 3 C5 59.jpg,26,1.0
3 7 C5 41.jpg,56,46.0
2 23 C2 1.jpg,34,34.0
3 6 D3 21.jpg,27,22.0
2 25 C2 57.jpg,31,62.0
2 26 C2 26.jpg,50,37.0
3 5 C3 50.jpg,4,4.0
3 1 D1 3.jpg,38,43.0
3 2 C2 10.jpg,41,19.0
2 26 C1 30.jpg,33,25.0
2 27 C2 51.jpg,55,58.0
2 22 D1 21.jpg,54,56.0
2 28 D3 1.jpg,81,81.0
2 26 C4 29.jpg,68,70.0
3 4 D4 31.jpg,50,33.0
2 27 D1 37.jpg,37,69.0
3 2 D5 28.jpg,58,72.0
2 26 D3 32.jpg,49,49.0
3 6 D5 27.jpg,76,63.0
2 28 D4 21.jpg,110,117.0
3 5 C1 18.jpg,40,55.0
2 27 D2 46.jpg,81,65.0
2 28 D4 58.jpg,11,10.0
2 25 C1 50.jpg,64,64.0
3 4 D2 57.jpg,50,55.0
2 27 C1 4.jpg,44,50.0
2 24 C3 8.jpg,59,59.0
3 1 D5 1.jpg,67,65.0
3 1 D2 52.jpg,61,68.0
3 6 D5 8.jpg,83,75.0
2 27 C2 29.jpg,66,64.0
3 2 C1 27.jpg,43,34.0
3 3 C3 19.jpg,74,78.0
2 24 C1 5.jpg,21,46.0
2 23 C1 23.jpg,44,55.0
3 3 D5 9.jpg,73,64.0
3 7 C3 50.jpg,0,0.0
2 24 C3 48.jpg,24,30.0
2 26 D1 40.jpg,2,0.0
2 25 D5 32.jpg,26,16.0
3 5 C3 43.jpg,50,59.0
3 4 D5 27.jpg,93,80.0
2 28 D3 29.jpg,42,46.0
2 24 D2 38.jpg,47,55.0
3 4 C4 10.jpg,81,53.0
2 21 C1 34.jpg,24,25.0
2 25 D4 56.jpg,53,63.0
3 4 C3 44.jpg,62,42.0
3 2 C1 34.jpg,61,62.0
3 6 D4 40.jpg,6,8.0
3 9 C5 1.jpg,63,70.0
3 2 D1 54.jpg,51,83.0
2 26 C5 1.jpg,101,84.0
2 23 C3 44.jpg,10,10.0
2 25 D2 4.jpg,77,80.0
3 10 C5 2.jpg,53,44.0
2 26 C1 34.jpg,56,60.0
2 26 D2 44.jpg,45,74.0
3 4 C2 19.jpg,30,21.0
2 27 C2 56.jpg,56,40.0
2 28 D3 42.jpg,56,57.0
2 26 D4 2.jpg,50,55.0
2 28 D3 25.jpg,58,71.0
2 26 C2 53.jpg,57,54.0
3 2 D5 11.jpg,58,76.0
3 2 C2 54.jpg,28,33.0
3 2 D4 37.jpg,30,38.0
3 4 D3 51.jpg,76,64.0
3 4 D3 2.jpg,85,69.0
3 7 C3 2.jpg,17,18.0
3 5 C4 17.jpg,40,54.0
2 24 C1 60.jpg,38,28.0
2 24 C3 40.jpg,36,55.0
3 4 C4 47.jpg,0,0.0
3 4 D3 13.jpg,51,53.0
3 4 D4 39.jpg,44,37.0
2 26 C4 51.jpg,50,57.0
2 21 D1 25.jpg,5,24.0
3 6 C3 59.jpg,2,0.0
2 23 D1 6.jpg,61,58.0
2 23 D1 44.jpg,29,48.0
3 9 D4 41.jpg,16,28.0
2 28 C2 34.jpg,58,76.0
3 6 C1 11.jpg,24,35.0
3 3 C5 14.jpg,42,54.0
3 3 D5 50.jpg,38,64.0
2 28 D2 60.jpg,56,67.0
3 1 C3 44.jpg,65,59.0
2 27 D4 17.jpg,103,95.0
2 22 D1 34.jpg,23,55.0
2 26 C2 36.jpg,77,64.0
2 27 C5 54.jpg,38,30.0
2 24 C1 47.jpg,51,52.0
3 5 D5 53.jpg,45,42.0
2 27 C4 48.jpg,47,36.0
2 27 C1 52.jpg,88,64.0
3 1 C2 31.jpg,58,73.0
2 23 D2 53.jpg,49,55.0
3 6 C5 35.jpg,48,61.0
2 24 C2 58.jpg,50,51.0
2 25 D5 54.jpg,12,26.0
2 28 C4 3.jpg,43,68.0
3 1 C2 17.jpg,79,78.0
2 24 C4 30.jpg,73,70.0
2 23 C2 38.jpg,54,54.0
3 10 C5 13.jpg,57,70.0
3 6 D5 17.jpg,87,85.0
2 28 D2 4.jpg,62,79.0
2 28 D5 30.jpg,56,49.0
3 5 C3 18.jpg,29,31.0
2 25 C1 12.jpg,64,58.0
2 28 C4 5.jpg,1,1.0
3 3 D3 44.jpg,71,64.0
3 8 C5 42.jpg,41,32.0
3 3 C4 25.jpg,63,70.0
3 3 D2 22.jpg,50,62.0
3 4 D3 52.jpg,18,22.0
2 24 C1 43.jpg,41,63.0
2 28 D2 48.jpg,82,88.0
2 23 C1 31.jpg,55,61.0
3 6 D1 37.jpg,47,59.0
2 27 D5 45.jpg,48,49.0
3 2 C5 56.jpg,83,57.0
2 25 C1 48.jpg,35,65.0
2 24 D3 22.jpg,20,34.0
2 25 C3 60.jpg,10,29.0
3 5 D5 10.jpg,31,38.0
2 26 C5 20.jpg,62,48.0
2 21 D1 21.jpg,10,30.0
2 24 C1 31.jpg,71,67.0
3 8 C4 45.jpg,50,41.0
2 26 C4 55.jpg,60,74.0
3 6 D5 41.jpg,37,49.0
3 3 D1 38.jpg,91,91.0
3 4 C1 20.jpg,40,60.0
2 22 D1 58.jpg,35,69.0
2 26 D2 8.jpg,70,67.0
2 25 D1 51.jpg,87,76.0
3 7 D4 41.jpg,54,48.0
2 23 D1 55.jpg,45,56.0
2 23 C3 13.jpg,27,30.0
2 27 D1 47.jpg,100,109.0
3 4 C3 32.jpg,51,52.0
3 2 C2 21.jpg,30,54.0
2 28 C3 16.jpg,47,41.0
3 6 C2 45.jpg,26,39.0
2 26 C5 28.jpg,77,68.0
3 2 C3 48.jpg,29,35.0
2 27 C5 2.jpg,23,27.0
2 26 D1 21.jpg,44,55.0
2 27 D4 10.jpg,97,88.0
2 28 C4 60.jpg,65,74.0
3 3 D1 59.jpg,40,33.0
3 5 D1 4.jpg,87,88.0
3 6 D3 9.jpg,43,44.0
2 27 C5 9.jpg,67,67.0
2 24 D1 35.jpg,51,74.0
3 5 C4 32.jpg,4,0.0
3 6 C1 15.jpg,15,22.0
3 7 D3 4.jpg,64,69.0
3 3 D4 29.jpg,89,55.0
3 6 C4 12.jpg,53,60.0
2 27 D1 38.jpg,90,106.0
3 1 C5 22.jpg,114,97.0
3 2 D5 5.jpg,10,33.0
3 1 C2 24.jpg,60,81.0
3 7 D2 38.jpg,33,38.0
3 7 C2 2.jpg,68,55.0
2 27 D3 27.jpg,100,78.0
3 1 C4 3.jpg,53,54.0
2 23 D1 47.jpg,120,114.0
3 6 D1 25.jpg,0,0.0
3 3 D2 27.jpg,80,75.0
3 2 D1 46.jpg,61,56.0
2 25 D4 4.jpg,50,48.0
2 25 C2 15.jpg,74,61.0
3 3 C3 18.jpg,31,39.0
3 3 D1 13.jpg,69,95.0
2 23 D1 35.jpg,66,68.0
3 5 D1 50.jpg,5,4.0
2 26 C2 37.jpg,1,1.0
2 23 D1 58.jpg,78,74.0
2 28 C4 42.jpg,23,50.0
2 28 C4 6.jpg,99,81.0
3 10 C5 6.jpg,3,8.0
3 2 D3 44.jpg,40,55.0
3 1 C4 29.jpg,42,50.0
2 25 D2 19.jpg,53,49.0
3 6 D4 51.jpg,68,58.0
3 5 C4 6.jpg,34,60.0
3 7 C5 24.jpg,63,64.0
2 27 D3 29.jpg,35,43.0
3 1 C2 54.jpg,26,47.0
2 27 C1 28.jpg,55,47.0
2 27 D5 28.jpg,48,36.0
3 6 D5 5.jpg,75,59.0
2 25 C3 4.jpg,58,62.0
2 22 D1 23.jpg,30,50.0
2 25 D5 4.jpg,45,47.0
2 25 C4 23.jpg,65,70.0
3 9 D5 17.jpg,57,61.0
3 7 C4 12.jpg,27,35.0
2 25 D4 31.jpg,19,19.0
3 1 C1 27.jpg,37,48.0
3 3 D2 7.jpg,71,77.0
2 25 D4 57.jpg,31,41.0
3 1 C3 34.jpg,5,7.0
3 2 D3 14.jpg,64,79.0
2 24 D2 53.jpg,30,37.0
3 5 C1 7.jpg,65,59.0
2 25 D1 50.jpg,43,54.0
3 10 D5 33.jpg,40,42.0
3 6 C3 45.jpg,24,25.0
3 5 C2 49.jpg,34,36.0
2 26 D2 1.jpg,38,54.0
2 27 C4 12.jpg,68,54.0
2 23 D1 25.jpg,55,58.0
2 21 D1 50.jpg,9,13.0
3 6 C3 10.jpg,55,47.0
2 26 D3 15.jpg,55,59.0
3 3 D5 5.jpg,75,47.0
2 24 D2 11.jpg,74,65.0
2 26 C1 29.jpg,37,38.0
2 25 C5 55.jpg,8,6.0
3 9 C4 28.jpg,65,61.0
2 24 C4 52.jpg,7,0.0
2 26 D3 7.jpg,65,77.0
2 23 C1 54.jpg,41,59.0
3 5 C1 52.jpg,74,88.0
3 6 C2 59.jpg,41,29.0
3 5 C2 13.jpg,54,74.0
2 21 C1 27.jpg,12,21.0
2 27 D4 46.jpg,48,59.0
3 10 D5 21.jpg,21,35.0
2 23 C1 46.jpg,79,75.0
3 3 C2 43.jpg,20,38.0
3 3 C5 8.jpg,85,69.0
2 24 C1 48.jpg,77,61.0
3 10 D5 18.jpg,0,1.0
2 26 D5 48.jpg,54,78.0
3 2 C4 3.jpg,84,86.0
3 7 D5 12.jpg,1,0.0
2 23 C1 34.jpg,65,69.0
2 28 C5 7.jpg,57,58.0
3 7 D3 14.jpg,74,66.0
3 5 C1 2.jpg,45,49.0
3 2 C3 11.jpg,47,52.0
3 1 C3 32.jpg,67,71.0
3 3 D4 24.jpg,87,91.0
3 9 D4 9.jpg,33,48.0
3 3 C2 29.jpg,67,65.0
3 6 C3 51.jpg,20,45.0
2 24 C3 12.jpg,11,4.0
2 24 D4 5.jpg,9,8.0
3 5 D2 50.jpg,34,41.0
3 3 C1 10.jpg,49,56.0
2 28 C2 19.jpg,46,62.0
2 28 C2 41.jpg,62,62.0
3 6 D3 4.jpg,15,47.0
2 24 C3 13.jpg,75,75.0
2 22 C2 44.jpg,13,13.0
3 2 C2 13.jpg,82,90.0
2 27 D4 43.jpg,56,50.0
3 2 D1 30.jpg,55,56.0
3 4 C3 41.jpg,23,34.0
2 27 D4 13.jpg,50,54.0
3 1 C2 36.jpg,43,79.0
3 7 D4 55.jpg,66,49.0
3 9 D5 11.jpg,56,67.0
2 23 D3 39.jpg,9,10.0
2 26 C2 11.jpg,77,69.0
3 3 D4 8.jpg,61,62.0
2 25 D5 55.jpg,53,14.0
3 10 C5 45.jpg,24,48.0
2 25 C3 55.jpg,89,66.0
2 27 C4 49.jpg,55,53.0
2 28 C2 9.jpg,40,66.0
3 5 C3 38.jpg,37,49.0
3 4 D2 11.jpg,91,80.0
2 27 D3 49.jpg,55,59.0
3 6 C4 44.jpg,1,0.0
2 28 C4 46.jpg,40,47.0
2 25 C4 1.jpg,59,41.0
3 6 D4 2.jpg,13,14.0
3 4 D4 22.jpg,49,49.0
2 23 D2 26.jpg,21,24.0
2 24 D4 51.jpg,25,13.0
2 24 D2 59.jpg,37,60.0
3 2 C3 9.jpg,29,39.0
3 6 D2 5.jpg,21,37.0
2 25 C4 21.jpg,52,54.0
3 7 D3 19.jpg,63,51.0
3 1 C4 21.jpg,65,65.0
2 26 D5 52.jpg,54,51.0
2 26 C4 8.jpg,62,73.0
3 1 D3 53.jpg,67,67.0
2 23 D2 28.jpg,28,54.0
3 7 C5 16.jpg,54,45.0
3 7 D5 9.jpg,66,77.0
3 4 C1 6.jpg,78,46.0
2 26 D2 16.jpg,3,0.0
2 22 C2 43.jpg,6,7.0
2 25 C4 55.jpg,97,71.0
3 2 C3 30.jpg,25,42.0
3 8 D5 12.jpg,0,0.0
3 3 D3 20.jpg,52,62.0
3 8 C3 8.jpg,23,16.0
3 4 D3 14.jpg,88,82.0
2 27 D5 40.jpg,45,36.0
2 22 D1 44.jpg,37,33.0
3 4 D1 19.jpg,66,62.0
3 2 C4 8.jpg,110,94.0
3 1 D2 37.jpg,66,66.0
3 6 D3 33.jpg,47,58.0
3 5 D1 59.jpg,29,33.0
2 22 C1 10.jpg,39,46.0
2 24 D3 60.jpg,16,31.0
3 8 C3 30.jpg,29,23.0
2 27 C3 8.jpg,77,80.0
3 2 C5 36.jpg,30,48.0
3 1 D3 32.jpg,87,60.0
3 2 C3 53.jpg,42,36.0
2 26 D4 50.jpg,85,82.0
3 6 C4 46.jpg,49,55.0
2 26 C2 7.jpg,69,72.0
2 25 C3 39.jpg,45,39.0
3 7 D4 57.jpg,77,64.0
3 5 C5 43.jpg,30,30.0
3 3 D4 18.jpg,0,0.0
2 28 C3 11.jpg,57,59.0
2 22 D1 9.jpg,14,45.0
2 23 D1 11.jpg,76,79.0
2 23 C3 5.jpg,23,56.0
3 1 D4 34.jpg,69,58.0
2 28 D1 35.jpg,45,62.0
2 22 D2 34.jpg,15,20.0
2 23 C3 54.jpg,5,9.0
2 25 D1 48.jpg,55,73.0
2 27 D2 21.jpg,52,51.0
2 28 C4 12.jpg,63,89.0
3 2 C2 41.jpg,51,45.0
2 27 D3 40.jpg,72,61.0
2 25 D4 20.jpg,67,66.0
3 4 D2 35.jpg,60,40.0
3 1 C1 38.jpg,69,91.0
3 8 C5 2.jpg,57,38.0
3 3 C3 52.jpg,50,80.0
3 3 C3 27.jpg,85,63.0
2 24 C3 33.jpg,33,42.0
2 22 D2 6.jpg,5,10.0
3 3 C5 55.jpg,28,9.0
2 24 C4 20.jpg,36,40.0
3 4 D5 49.jpg,45,51.0
3 9 D5 48.jpg,35,37.0
2 27 D4 40.jpg,40,54.0
3 6 D2 47.jpg,10,10.0
2 24 C4 48.jpg,1,2.0
2 22 D1 55.jpg,36,41.0
3 6 C4 4.jpg,43,62.0
3 3 C1 25.jpg,17,0.0
3 7 D2 24.jpg,28,35.0
3 3 D4 19.jpg,68,70.0
3 5 D1 19.jpg,40,54.0
2 28 D4 41.jpg,67,79.0
2 28 C2 11.jpg,42,87.0
2 25 D4 15.jpg,65,60.0
3 3 C3 3.jpg,65,56.0
3 9 C5 23.jpg,4,0.0
3 7 C5 36.jpg,4,2.0
2 21 C1 42.jpg,17,20.0
2 23 D3 38.jpg,11,15.0
2 28 C2 48.jpg,44,41.0
3 6 C2 13.jpg,96,92.0
3 3 D4 47.jpg,100,93.0
2 26 D1 33.jpg,87,83.0
2 24 D4 43.jpg,6,8.0
3 6 C2 9.jpg,33,43.0
2 27 D1 46.jpg,28,63.0
3 3 C3 34.jpg,1,1.0
3 2 C3 22.jpg,52,49.0
3 4 C2 36.jpg,6,0.0
2 23 D2 6.jpg,30,45.0
3 4 C4 49.jpg,101,66.0
3 1 D4 51.jpg,91,76.0
2 26 D1 59.jpg,42,49.0
3 5 C5 45.jpg,44,54.0
2 24 C1 39.jpg,48,52.0
3 2 D2 5.jpg,43,68.0
2 23 C2 21.jpg,24,59.0
2 26 C5 52.jpg,25,30.0
2 25 D3 13.jpg,42,53.0
3 3 D5 44.jpg,113,51.0
3 4 C1 29.jpg,21,12.0
3 7 C5 6.jpg,9,4.0
3 8 D3 43.jpg,16,15.0
2 28 C3 13.jpg,77,70.0
3 5 D2 8.jpg,13,29.0
3 6 C1 17.jpg,69,84.0
3 8 D5 23.jpg,37,56.0
3 4 D1 28.jpg,46,33.0
2 25 D3 25.jpg,73,76.0
3 5 D1 15.jpg,33,37.0
2 25 D5 23.jpg,38,20.0
3 8 C3 37.jpg,39,47.0
2 23 C2 49.jpg,49,40.0
3 7 D2 39.jpg,58,71.0
3 1 D1 10.jpg,3,1.0
3 4 C3 2.jpg,9,16.0
2 28 C1 18.jpg,51,52.0
2 26 D4 51.jpg,31,54.0
2 28 C5 6.jpg,31,33.0
2 21 D1 17.jpg,13,21.0
2 26 D4 58.jpg,63,72.0
2 28 D2 6.jpg,60,59.0
3 8 D5 35.jpg,40,63.0
2 21 D1 8.jpg,15,29.0
3 5 D2 38.jpg,24,58.0
2 27 C4 32.jpg,29,35.0
2 22 C2 52.jpg,8,9.0
3 6 D5 16.jpg,47,53.0
3 5 C4 20.jpg,81,84.0
2 23 D3 34.jpg,7,3.0
2 26 D3 37.jpg,40,52.0
2 25 D3 5.jpg,80,75.0
3 5 D3 51.jpg,65,65.0
2 22 D2 7.jpg,10,12.0
3 8 D3 4.jpg,67,83.0
3 5 D4 44.jpg,41,47.0
3 3 C5 54.jpg,73,55.0
2 23 C3 40.jpg,31,18.0
2 28 C1 4.jpg,27,44.0
3 6 D3 48.jpg,3,0.0
3 8 D4 58.jpg,0,0.0
3 4 C3 16.jpg,0,0.0
2 25 D1 60.jpg,67,47.0
3 6 D2 30.jpg,55,62.0
2 24 D2 47.jpg,59,58.0
2 26 C5 40.jpg,46,42.0
3 2 D3 16.jpg,74,61.0
3 2 D2 2.jpg,65,74.0
3 10 C5 54.jpg,58,65.0
3 7 C4 15.jpg,45,43.0
3 6 D3 28.jpg,50,46.0
3 1 D4 24.jpg,84,59.0
2 23 C2 28.jpg,43,60.0
3 10 D5 49.jpg,33,63.0
3 5 D5 7.jpg,78,69.0
2 22 C1 4.jpg,21,48.0
2 24 D2 18.jpg,56,62.0
2 23 C1 49.jpg,44,70.0
2 28 C2 26.jpg,7,10.0
2 24 D3 51.jpg,44,46.0
3 4 C4 27.jpg,45,31.0
3 5 D1 42.jpg,46,55.0
2 25 D1 56.jpg,41,43.0
3 5 C4 13.jpg,23,35.0
3 7 C5 4.jpg,39,44.0
3 3 D3 32.jpg,89,62.0
3 4 C3 45.jpg,44,44.0
2 25 C3 20.jpg,81,63.0
2 28 D3 51.jpg,95,82.0
2 24 D3 12.jpg,45,59.0
2 25 D2 18.jpg,82,83.0
2 27 C5 8.jpg,57,58.0
3 5 D4 21.jpg,58,80.0
3 3 C3 15.jpg,67,50.0
2 28 D5 7.jpg,77,75.0
2 28 C2 28.jpg,85,88.0
3 5 C5 4.jpg,19,36.0
2 24 C4 56.jpg,38,37.0
3 3 D5 18.jpg,10,0.0
2 24 C3 51.jpg,55,60.0
3 6 D1 8.jpg,58,54.0
2 26 C5 30.jpg,45,43.0
3 2 C4 10.jpg,64,65.0
3 3 D2 18.jpg,63,77.0
3 7 D3 31.jpg,33,55.0
2 26 C2 57.jpg,68,80.0
3 3 D2 45.jpg,41,38.0
2 25 D4 10.jpg,86,87.0
2 27 D2 39.jpg,77,76.0
2 27 D2 59.jpg,48,39.0
2 22 C1 55.jpg,18,30.0
3 1 D3 23.jpg,60,67.0
3 7 D4 9.jpg,44,74.0
2 28 C3 29.jpg,70,65.0
2 24 C4 31.jpg,10,1.0
3 3 C5 4.jpg,79,71.0
2 21 C1 15.jpg,9,19.0
2 21 C1 33.jpg,2,10.0
2 22 C2 34.jpg,19,15.0
2 27 D3 32.jpg,40,39.0
3 7 C4 22.jpg,32,27.0
2 22 C1 27.jpg,42,35.0
2 28 C4 53.jpg,66,72.0
3 5 D1 18.jpg,52,39.0
2 22 C2 37.jpg,3,3.0
2 27 C1 31.jpg,50,69.0
3 4 D2 27.jpg,62,49.0
2 27 C3 37.jpg,54,68.0
2 22 C2 60.jpg,12,15.0
3 2 D3 50.jpg,53,39.0
3 1 C3 41.jpg,50,50.0
2 24 D3 45.jpg,19,17.0
2 26 D2 53.jpg,63,82.0
3 4 D4 17.jpg,105,84.0
3 6 C4 32.jpg,4,0.0
2 26 C5 3.jpg,51,50.0
2 25 D3 27.jpg,92,82.0
2 26 D4 18.jpg,80,89.0
3 2 D4 32.jpg,61,55.0
3 8 D5 59.jpg,74,61.0
2 22 D2 51.jpg,13,17.0
3 7 D5 20.jpg,69,57.0
3 4 C5 45.jpg,48,69.0
2 25 C2 29.jpg,81,74.0
3 3 D5 20.jpg,42,44.0
3 5 C5 56.jpg,33,48.0
2 26 D4 7.jpg,65,86.0
3 1 D5 28.jpg,92,84.0
2 27 C1 48.jpg,48,60.0
3 1 C3 59.jpg,2,0.0
3 8 C4 52.jpg,46,40.0
3 5 D2 43.jpg,74,68.0
2 28 D3 39.jpg,83,71.0
3 2 D5 41.jpg,65,53.0
3 3 D3 52.jpg,61,58.0
2 23 C2 18.jpg,42,48.0
2 25 D2 35.jpg,71,57.0
2 25 C4 11.jpg,47,38.0
2 26 D3 45.jpg,50,73.0
2 23 C1 28.jpg,73,79.0
2 26 C4 24.jpg,33,45.0
3 2 C2 2.jpg,82,80.0
2 27 C2 9.jpg,58,42.0
2 27 D4 29.jpg,37,58.0
2 25 D4 54.jpg,57,69.0
3 1 C5 52.jpg,55,51.0
2 25 D1 5.jpg,46,56.0
2 25 C5 53.jpg,12,12.0
3 3 D5 27.jpg,126,78.0
3 1 D4 4.jpg,48,50.0
2 28 C4 1.jpg,81,79.0
2 25 D5 45.jpg,13,10.0
3 1 C5 35.jpg,80,71.0
2 28 D3 57.jpg,1,1.0
2 26 D2 36.jpg,21,24.0
2 28 C5 16.jpg,67,59.0
3 2 C5 60.jpg,64,54.0
3 5 D2 59.jpg,36,50.0
3 3 C2 7.jpg,27,23.0
2 25 C1 20.jpg,61,66.0
3 7 C5 2.jpg,41,60.0
3 2 D4 59.jpg,77,69.0
2 27 C4 19.jpg,60,43.0
3 8 D4 20.jpg,66,60.0
3 2 C2 59.jpg,47,66.0
2 24 D1 4.jpg,62,66.0
3 6 D5 10.jpg,41,35.0
3 4 C4 12.jpg,42,36.0
3 7 C4 25.jpg,56,59.0
3 8 D4 43.jpg,59,48.0
2 28 C3 56.jpg,60,50.0
3 2 C4 16.jpg,54,63.0
3 5 D3 33.jpg,25,39.0
3 7 C3 55.jpg,29,50.0
2 25 C4 33.jpg,70,62.0
3 2 D4 19.jpg,56,59.0
2 24 C3 36.jpg,60,57.0
3 4 D4 49.jpg,49,33.0
2 25 C2 22.jpg,113,96.0
3 5 D1 9.jpg,24,33.0
3 9 C5 45.jpg,38,35.0
3 1 D5 15.jpg,62,64.0
2 26 C2 34.jpg,88,69.0
3 1 C1 31.jpg,63,66.0
3 10 C5 39.jpg,54,57.0
2 28 D5 18.jpg,66,56.0
3 2 C5 49.jpg,46,49.0
3 6 D5 15.jpg,70,70.0
3 9 D4 56.jpg,7,2.0
3 2 C5 8.jpg,56,63.0
2 22 D2 55.jpg,7,11.0
3 3 D3 19.jpg,17,45.0
3 4 C3 43.jpg,33,33.0
3 3 D5 10.jpg,73,68.0
3 4 C1 52.jpg,90,82.0
3 2 D3 3.jpg,64,62.0
2 26 D1 23.jpg,71,60.0
2 25 C3 9.jpg,68,69.0
3 3 C2 32.jpg,30,22.0
2 26 D1 5.jpg,52,52.0
3 4 D1 34.jpg,69,70.0
2 26 C4 41.jpg,75,82.0
3 4 D3 12.jpg,0,0.0
3 5 C1 36.jpg,39,40.0
2 26 D5 31.jpg,46,54.0
3 3 D2 24.jpg,40,72.0
3 3 D1 4.jpg,83,82.0
3 1 C2 15.jpg,34,42.0
3 4 C4 34.jpg,38,39.0
3 8 C4 41.jpg,36,34.0
3 1 C3 49.jpg,41,44.0
2 27 D3 22.jpg,47,47.0
3 3 D2 49.jpg,71,71.0
2 23 C1 24.jpg,50,53.0
3 2 D5 2.jpg,48,50.0
3 6 C2 23.jpg,66,69.0
2 26 D2 4.jpg,88,95.0
3 7 D3 47.jpg,45,53.0
2 27 D2 15.jpg,10,20.0
2 25 C3 1.jpg,69,67.0
2 23 D1 20.jpg,42,43.0
2 24 D1 30.jpg,27,34.0
3 9 C4 17.jpg,45,34.0
